generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,257,43,757.27,0.0019,0.4894,0.129911,0.057889,0.1247,0.0025,0.0,0.94,0.786167,0.150913,0.785,0.0,0.0,0.973333,0.78895,0.157538,0.766667,0.0,198,0.7704,1.9906,11.563708
1,253,47,291.86,0.0007,0.4949,0.131694,0.08365,0.1249,0.0026,0.0,0.94,0.848715,0.133779,0.915,0.005,0.0,0.973333,0.874598,0.141463,0.946667,0.006666,208,0.8221,1.9906,11.055025
2,258,42,289.62,0.0014,0.5485,0.149417,0.099719,0.1259,0.0029,0.0,0.94,0.831609,0.161944,0.915,0.005,0.0,0.973333,0.860207,0.169973,0.946667,0.006666,222,0.8605,1.8515,11.001125
3,269,31,298.59,0.0014,0.5485,0.161203,0.106469,0.126,0.0038,0.0,0.94,0.824647,0.178266,0.915,0.005,0.0,0.973333,0.85259,0.18452,0.946667,0.006666,224,0.8327,1.8515,10.905117
4,267,33,306.47,0.001,0.5485,0.164596,0.116176,0.1262,0.0043,0.0,0.95,0.799682,0.196457,0.91,0.03,0.0,0.973333,0.824794,0.206021,0.94,0.033333,234,0.8764,1.8515,10.977501
5,262,38,335.55,0.0017,0.5515,0.162038,0.121431,0.12575,0.00545,0.0,0.945,0.764122,0.216278,0.905,0.035,0.0,0.973333,0.787583,0.223553,0.93,0.043333,238,0.9084,1.8502,11.141855
6,251,49,293.38,0.0012,0.5498,0.181237,0.137431,0.1265,0.0057,0.0,0.955,0.776355,0.203202,0.89,0.05,0.0,0.973333,0.801408,0.21056,0.926667,0.046666,221,0.8805,1.8502,10.597249
7,256,44,300.38,0.0012,0.5571,0.201962,0.162218,0.12745,0.0203,0.0,0.955,0.730332,0.202919,0.72,0.1775,0.0,0.973333,0.754245,0.212222,0.726666,0.199999,219,0.8555,1.8429,10.283819
8,256,44,286.52,0.0014,0.5998,0.227504,0.178066,0.12765,0.03485,0.0,0.94,0.703262,0.185626,0.65,0.09,0.0,0.973333,0.726693,0.193119,0.693333,0.136667,218,0.8516,1.8429,10.004839
9,249,51,292.0,0.002,0.6419,0.245609,0.194172,0.1277,0.0632,0.0,0.94,0.679096,0.182938,0.65,0.09,0.0,0.973333,0.702249,0.188963,0.686667,0.08,219,0.8795,1.8429,9.443066
10,249,51,284.23,0.0009,0.6251,0.276488,0.210062,0.1293,0.1155,0.0,0.94,0.643153,0.152232,0.645,0.02,0.0,0.973333,0.667256,0.157789,0.68,0.04,217,0.8715,1.8236,8.868091
11,267,33,306.91,0.0015,0.6164,0.28593,0.214295,0.1307,0.1193,0.0,0.955,0.613315,0.117444,0.645,0.015,0.0,0.973333,0.635506,0.125763,0.68,0.02,225,0.8427,1.8027,8.765906
12,246,54,324.34,0.0061,0.6175,0.249089,0.214953,0.12565,0.1048,0.0,0.925,0.604919,0.1391,0.645,0.015,0.0,0.953333,0.627425,0.146407,0.68,0.026667,224,0.9106,1.743,9.392455
13,250,50,294.59,0.0029,0.6226,0.266072,0.21593,0.12575,0.10145,0.0,0.945,0.60972,0.114741,0.64,0.015,0.0,0.946667,0.630773,0.123384,0.673333,0.026666,220,0.88,1.743,9.069528
14,240,60,283.16,0.002,0.6275,0.270522,0.229466,0.1259,0.1147,0.105,0.915,0.616875,0.106829,0.64,0.015,0.066667,0.953333,0.641861,0.115197,0.68,0.02,205,0.8542,1.743,8.845312
15,243,57,258.04,0.002,0.6564,0.28789,0.236783,0.1256,0.1126,0.0,0.915,0.619177,0.115769,0.64,0.015,0.0,0.953333,0.64727,0.122687,0.68,0.02,206,0.8477,1.7036,8.596637
16,259,41,278.94,0.002,0.6617,0.322917,0.239319,0.2323,0.2211,0.24,0.905,0.616448,0.093228,0.64,0.015,0.28,0.933333,0.645534,0.098655,0.686667,0.013334,220,0.8494,1.7036,8.118628
17,254,46,319.09,0.0043,0.6897,0.266159,0.242127,0.1263,0.10855,0.17,0.91,0.598858,0.108702,0.635,0.015,0.18,0.94,0.624646,0.112035,0.66,0.033333,236,0.9291,1.69,9.110061
18,259,41,309.92,0.0059,0.7045,0.26248,0.238421,0.1243,0.0958,0.0,0.915,0.603784,0.108598,0.635,0.02,0.0,0.946667,0.627078,0.114846,0.666667,0.026667,240,0.9266,1.69,9.058524
19,264,36,323.34,0.0058,0.6868,0.289864,0.238496,0.1286,0.11655,0.03,0.915,0.613996,0.11393,0.64,0.02,0.0,0.953333,0.640909,0.117097,0.68,0.02,253,0.9583,1.6582,8.769303
20,259,41,323.05,0.0041,0.6743,0.283993,0.237425,0.1291,0.1119,0.16,0.915,0.604537,0.104966,0.64,0.02,0.213333,0.946667,0.632973,0.106611,0.673333,0.026667,247,0.9537,1.6582,8.822957
21,254,46,304.73,0.0019,0.683,0.303505,0.244582,0.14485,0.12795,0.08,0.91,0.612953,0.102881,0.64,0.02,0.126667,0.94,0.642415,0.105134,0.68,0.02,236,0.9291,1.657,8.465157
22,257,43,324.28,0.0019,0.6803,0.2994,0.249479,0.1358,0.1177,0.1,0.92,0.614805,0.099462,0.64,0.02,0.066667,0.946667,0.642335,0.103072,0.673333,0.026667,247,0.9611,1.6555,8.389238
23,258,42,342.36,0.0019,0.6744,0.263816,0.238992,0.12465,0.11095,0.03,0.935,0.607384,0.103146,0.635,0.025,0.066667,0.96,0.635556,0.105428,0.666667,0.033333,250,0.969,1.6555,9.477191
24,267,33,332.13,0.0025,0.6737,0.245857,0.230015,0.1245,0.0866,0.0,0.935,0.611629,0.106132,0.635,0.025,0.033333,0.96,0.6402,0.107857,0.666667,0.033333,252,0.9438,1.6555,9.799087
25,260,40,353.85,0.0036,0.6737,0.229607,0.226366,0.12315,0.08675,0.0,0.91,0.599885,0.135509,0.635,0.03,0.0,0.933333,0.629641,0.136654,0.666667,0.033333,253,0.9731,1.6534,10.035239
26,268,32,320.55,0.0024,0.6734,0.275738,0.240363,0.1275,0.1158,0.0,0.915,0.63041,0.134267,0.645,0.025,0.0,0.933333,0.660497,0.133864,0.686667,0.033334,252,0.9403,1.6534,9.033665
27,264,36,350.79,0.0015,0.6763,0.254689,0.226299,0.1266,0.09755,0.0,0.92,0.605966,0.158182,0.635,0.035,0.0,0.953333,0.633611,0.159132,0.666667,0.033333,255,0.9659,1.6534,9.651372
28,279,21,336.09,0.0014,0.685,0.269945,0.238707,0.1282,0.1147,0.0,0.92,0.640609,0.129158,0.645,0.025,0.033333,0.953333,0.670657,0.125551,0.693333,0.046666,264,0.9462,1.635,8.9426
29,283,17,348.76,0.0015,0.685,0.226678,0.215995,0.1252,0.0694,0.0,0.92,0.617933,0.136796,0.64,0.025,0.0,0.953333,0.649022,0.134156,0.68,0.026667,266,0.9399,1.635,10.04781
30,280,20,336.67,0.001,0.685,0.244275,0.226322,0.1265,0.0971,0.0,0.925,0.63,0.142364,0.64,0.03,0.0,0.953333,0.658214,0.141732,0.68,0.04,267,0.9536,1.635,9.636868
31,278,22,351.92,0.001,0.6936,0.255336,0.234932,0.12675,0.1078,0.0,0.94,0.632536,0.14274,0.64,0.03,0.0,0.96,0.661487,0.143764,0.673333,0.04,266,0.9568,1.635,9.4138
32,280,20,345.86,0.0017,0.6904,0.298525,0.248239,0.1362,0.119,0.0,0.93,0.615982,0.161836,0.64,0.03,0.0,0.953333,0.646214,0.162838,0.68,0.033333,258,0.9214,1.635,8.705904
33,287,13,371.48,0.0028,0.698,0.275906,0.249745,0.1289,0.1052,0.0,0.93,0.613136,0.163855,0.64,0.03,0.0,0.953333,0.64137,0.164771,0.673333,0.033333,273,0.9512,1.622,9.166603
34,291,9,377.8,0.0031,0.7,0.262173,0.240443,0.127,0.0953,0.0,0.915,0.603814,0.165095,0.635,0.035,0.0,0.953333,0.631844,0.164387,0.673333,0.04,284,0.9759,1.62,9.561195
35,291,9,395.78,0.0021,0.7,0.237423,0.22677,0.1263,0.091,0.0,0.925,0.608007,0.164143,0.635,0.035,0.0,0.953333,0.636838,0.162654,0.66,0.04,280,0.9622,1.62,10.015155
36,290,10,375.97,0.002,0.7,0.242945,0.227554,0.12525,0.09185,0.0,0.925,0.614741,0.186313,0.635,0.075,0.0,0.953333,0.644138,0.187399,0.68,0.08,276,0.9517,1.62,9.949744
37,295,5,356.86,0.0021,0.7,0.26526,0.245302,0.1258,0.1092,0.0,0.92,0.606712,0.17076,0.64,0.03,0.0,0.953333,0.638508,0.168805,0.68,0.04,272,0.922,1.62,9.469045
38,296,4,381.13,0.0009,0.7,0.268608,0.239916,0.1284,0.1038,0.0,0.925,0.585253,0.193565,0.6375,0.04,0.0,0.953333,0.616036,0.193471,0.673333,0.046666,283,0.9561,1.62,9.570446
39,296,4,400.64,0.0009,0.7087,0.255316,0.23962,0.1247,0.09555,0.0,0.925,0.573767,0.18283,0.6225,0.0475,0.0,0.953333,0.603086,0.183469,0.64,0.06,288,0.973,1.62,9.552927
40,298,2,359.83,0.0017,0.7087,0.267282,0.244382,0.12555,0.0992,0.0,0.925,0.577953,0.173272,0.63,0.04,0.0,0.953333,0.607472,0.174643,0.65,0.05,286,0.9597,1.6199,9.323792
41,296,4,370.9,0.0017,0.7001,0.259264,0.237571,0.12995,0.10425,0.0,0.925,0.581047,0.164876,0.63,0.04,0.0,0.953333,0.611441,0.163967,0.653333,0.046666,283,0.9561,1.6199,9.668709
42,300,0,389.11,0.0017,0.7001,0.254017,0.23391,0.12785,0.10285,0.0,0.925,0.601617,0.153318,0.63,0.0375,0.0,0.953333,0.6308,0.154627,0.666667,0.033333,290,0.9667,1.6199,9.631383
43,292,8,378.88,0.001,0.7001,0.225711,0.220932,0.12445,0.0847,0.0,0.925,0.577757,0.179271,0.625,0.045,0.0,0.953333,0.607466,0.180215,0.646667,0.053333,278,0.9521,1.6199,10.308947
44,295,5,382.58,0.0017,0.7001,0.230201,0.226923,0.1252,0.0981,0.0,0.925,0.612627,0.175932,0.64,0.03,0.0,0.953333,0.642463,0.172926,0.673333,0.04,283,0.9593,1.6199,10.040104
45,296,4,369.65,0.0017,0.7001,0.243429,0.228186,0.1256,0.0916,0.0,0.925,0.602568,0.193301,0.64,0.05,0.0,0.953333,0.631554,0.192441,0.673333,0.046666,278,0.9392,1.6199,9.748125
46,300,0,417.82,0.0013,0.7001,0.229173,0.224414,0.1259,0.0825,0.0,0.925,0.592733,0.188948,0.6275,0.0525,0.0,0.953333,0.622333,0.187334,0.646667,0.053333,294,0.98,1.6199,10.297627
47,297,3,386.35,0.0013,0.7001,0.224142,0.22066,0.1257,0.0821,0.0,0.925,0.620993,0.177637,0.635,0.035,0.0,0.953333,0.649674,0.179845,0.673333,0.04,281,0.9461,1.6199,10.285488
48,297,3,379.65,0.0009,0.7018,0.225876,0.227881,0.125,0.0989,0.0,0.925,0.658519,0.157754,0.645,0.04,0.0,0.953333,0.690595,0.157519,0.68,0.046667,284,0.9562,1.6182,9.960387
49,295,5,406.21,0.001,0.7018,0.224292,0.223327,0.1243,0.0856,0.0,0.925,0.632407,0.18217,0.64,0.04,0.0,0.953333,0.662893,0.180919,0.68,0.046667,285,0.9661,1.1586,10.203573
50,294,6,380.38,0.001,0.7001,0.231656,0.219592,0.1269,0.0909,0.0,0.925,0.666922,0.167806,0.65,0.075,0.033333,0.953333,0.698481,0.165055,0.686667,0.073334,281,0.9558,1.0952,9.890521
51,296,4,359.88,0.0011,0.7001,0.247183,0.238677,0.126,0.0994,0.0,0.93,0.652872,0.180262,0.65,0.0525,0.0,0.953333,0.683964,0.179309,0.693333,0.066666,275,0.9291,0.9974,9.459033
