generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,209,91,662.56,0.0008,0.4922,0.234511,0.182716,0.2517,0.2217,0.36,0.875,0.688517,0.090327,0.7,0.03,0.386667,0.906667,0.730877,0.102719,0.746667,0.06,144,0.689,1.1365,10.528168
1,249,51,287.43,0.0004,0.4982,0.22652,0.229377,0.1241,0.1226,0.24,0.875,0.764618,0.131622,0.83,0.015,0.313333,0.906667,0.799384,0.134454,0.86,0.026667,161,0.6466,1.027,8.020227
2,192,108,222.69,0.0006,0.5007,0.259448,0.235688,0.45855,0.04205,0.36,0.915,0.810495,0.116335,0.87,0.005,0.4,0.953333,0.842118,0.116187,0.9,0.006667,115,0.599,1.0193,6.863156
3,288,12,339.96,0.0004,0.5007,0.138827,0.116031,0.1247,0.0029,0.36,0.925,0.851528,0.11474,0.915,0.0,0.373333,0.953333,0.883125,0.123972,0.953333,0.0,162,0.5625,1.0193,10.760617
4,275,25,325.76,0.0007,0.5007,0.111592,0.146978,0.1202,0.1165,0.245,0.925,0.856855,0.118131,0.915,0.01,0.233333,0.953333,0.887539,0.122311,0.953333,0.0,142,0.5164,1.0193,10.479171
5,273,27,320.46,0.0008,0.5007,0.168018,0.137857,0.1273,0.005,0.22,0.925,0.840934,0.121902,0.915,0.01,0.226667,0.953333,0.874725,0.123838,0.946667,0.006666,194,0.7106,1.0193,10.332714
6,283,17,346.17,0.0006,0.5007,0.181763,0.13207,0.1281,0.1204,0.36,0.925,0.846961,0.124289,0.915,0.01,0.4,0.953333,0.878634,0.123837,0.953333,0.0,160,0.5654,1.0193,10.511665
7,281,19,343.52,0.0005,0.502,0.18341,0.148435,0.1291,0.1217,0.38,0.925,0.845765,0.116726,0.915,0.01,0.426667,0.953333,0.87656,0.116225,0.953333,0.0,190,0.6762,1.018,10.330327
8,279,21,330.8,0.0009,0.502,0.179752,0.14316,0.1272,0.1203,0.19,0.925,0.837133,0.135102,0.915,0.01,0.266667,0.953333,0.868937,0.133062,0.953333,0.0,202,0.724,1.018,10.432291
9,288,12,352.13,0.0012,0.502,0.171255,0.132612,0.1271,0.12,0.0,0.93,0.851076,0.134545,0.915,0.01,0.0,0.953333,0.882616,0.130909,0.953333,0.0,203,0.7049,0.7853,10.662634
10,300,0,373.89,0.0016,0.4972,0.221584,0.140976,0.24195,0.1154,0.025,0.94,0.862083,0.132481,0.92,0.01,0.013333,0.96,0.886356,0.136711,0.946667,0.006666,204,0.68,0.7828,9.696749
11,300,0,385.24,0.001,0.4972,0.184079,0.171255,0.1256,0.1209,0.225,0.94,0.865117,0.121214,0.92,0.01,0.22,0.96,0.884178,0.128687,0.946667,0.013333,182,0.6067,0.7828,9.522121
12,297,3,371.12,0.0013,0.5036,0.265524,0.175258,0.2452,0.1235,0.2,0.94,0.86032,0.133018,0.92,0.01,0.246667,0.96,0.880225,0.138008,0.946667,0.0,214,0.7205,0.7764,8.094543
13,300,0,389.77,0.0001,0.5036,0.191126,0.179083,0.1288,0.12405,0.405,0.94,0.865983,0.124248,0.92,0.01,0.426667,0.96,0.890356,0.12735,0.946667,0.013333,217,0.7233,0.7764,9.211608
14,299,1,370.91,0.0001,0.5036,0.253357,0.180386,0.2441,0.152,0.14,0.94,0.857508,0.138103,0.92,0.01,0.186667,0.96,0.880959,0.138945,0.946667,0.006666,243,0.8127,0.7764,8.206242
15,299,1,366.04,0.0,0.5065,0.233657,0.196674,0.2405,0.2367,0.395,0.95,0.87791,0.107931,0.92,0.01,0.42,0.96,0.902252,0.112018,0.946667,0.013333,226,0.7559,0.7764,8.211226
