generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,245,55,736.39,0.0044,0.4856,0.080028,0.086178,0.0678,0.0585,0.0035,0.5425,0.107218,0.118476,0.1015,0.0698,0.0063,0.5403,0.130105,0.11786,0.1233,0.027,0.0016,0.5771,0.127229,0.129461,0.1201,0.0557,0.0036,0.5372,0.12735,0.095431,0.1233,0.013,0.0018,0.5436,0.139829,0.126869,0.1232,0.03,0.0046,0.5557,0.185133,0.149622,0.1249,0.0233,0.0033,0.5117,0.103107,0.093267,0.1191,0.0462,214,0.8735,1.8987,14.71126
1,279,21,348.19,0.0049,0.5247,0.088434,0.097141,0.0701,0.0567,0.0029,0.5425,0.08953,0.111255,0.0616,0.0549,0.0064,0.5611,0.133837,0.119349,0.1239,0.0426,0.0017,0.6091,0.136922,0.14477,0.1216,0.0513,0.0061,0.5372,0.128837,0.090008,0.122,0.0101,0.0037,0.5807,0.128772,0.119585,0.1213,0.0163,0.0046,0.6016,0.163199,0.157409,0.1222,0.0495,0.0025,0.5175,0.130469,0.136336,0.1191,0.0781,253,0.9068,1.8898,13.368814
2,283,17,361.5,0.0043,0.4856,0.112321,0.122704,0.1177,0.0889,0.0036,0.5425,0.093188,0.117131,0.0639,0.0566,0.0051,0.5895,0.133365,0.113076,0.1238,0.0133,0.0042,0.6112,0.123831,0.12956,0.1205,0.0491,0.0056,0.5796,0.146991,0.118464,0.1236,0.0115,0.0052,0.5838,0.110071,0.09779,0.1172,0.0145,0.0037,0.5961,0.166241,0.161841,0.1226,0.0502,0.0044,0.5285,0.113991,0.111878,0.1196,0.0552,268,0.947,1.8898,13.303253
3,293,7,383.62,0.0041,0.5362,0.102074,0.115027,0.0742,0.0545,0.0041,0.59,0.094074,0.116539,0.0681,0.0549,0.009,0.6002,0.139871,0.128644,0.1231,0.0368,0.0037,0.6112,0.114027,0.108334,0.118,0.0466,0.0051,0.5998,0.141502,0.132038,0.1223,0.0157,0.0055,0.5868,0.125585,0.130204,0.119,0.0498,0.0037,0.5903,0.177146,0.171497,0.123,0.0809,0.0044,0.5975,0.105721,0.110665,0.1087,0.059,281,0.959,1.8025,13.314006
4,288,12,363.34,0.0044,0.5541,0.118099,0.148491,0.06635,0.0549,0.005,0.5883,0.089071,0.102544,0.0645,0.0504,0.0053,0.6018,0.134381,0.133402,0.11965,0.01915,0.0042,0.6125,0.131332,0.141346,0.1106,0.0311,0.0047,0.6884,0.129843,0.139784,0.11665,0.0175,0.0053,0.5865,0.125036,0.128159,0.11005,0.01845,0.0059,0.6049,0.161416,0.173695,0.11325,0.0486,0.0044,0.6029,0.110821,0.137293,0.09545,0.05985,266,0.9236,1.7971,12.467513
5,293,7,370.23,0.0043,0.5981,0.099511,0.134064,0.0389,0.0315,0.0045,0.6638,0.10306,0.119994,0.0822,0.0527,0.0057,0.6018,0.13563,0.13944,0.1179,0.0292,0.0046,0.6112,0.113788,0.117987,0.108,0.0251,0.007,0.6973,0.107998,0.112828,0.1114,0.0388,0.0052,0.6825,0.142737,0.156075,0.1125,0.0422,0.0045,0.6895,0.185485,0.185454,0.1201,0.0575,0.0048,0.6029,0.111792,0.136122,0.0813,0.0444,274,0.9352,1.7971,12.449369
6,291,9,377.38,0.0045,0.6983,0.089003,0.123205,0.0458,0.031,0.005,0.6692,0.092678,0.115624,0.0639,0.0459,0.0058,0.6998,0.142806,0.166376,0.1138,0.0688,0.0055,0.6806,0.120417,0.130535,0.1044,0.0355,0.0048,0.6969,0.117699,0.151621,0.1025,0.0499,0.0056,0.6825,0.135262,0.155284,0.1084,0.0413,0.0037,0.6938,0.182467,0.19641,0.1171,0.0665,0.0062,0.7471,0.119668,0.144805,0.0747,0.0469,273,0.9381,1.7639,12.737308
7,297,3,408.49,0.0055,0.6983,0.088162,0.136506,0.043,0.0255,0.0047,0.6721,0.092698,0.121375,0.0602,0.046,0.0057,0.7104,0.124626,0.145118,0.1085,0.0593,0.0068,0.6911,0.12912,0.14366,0.1059,0.0465,0.0058,0.6999,0.138626,0.165143,0.1151,0.0638,0.0065,0.7081,0.1203,0.129008,0.1023,0.0508,0.006,0.6938,0.183079,0.201022,0.1111,0.07,0.0059,0.7542,0.123389,0.146844,0.0851,0.041,286,0.963,1.7639,13.6789
8,299,1,383.95,0.0051,0.6989,0.076978,0.12197,0.0299,0.0186,0.0049,0.6876,0.10769,0.145915,0.065,0.0426,0.0054,0.6937,0.128303,0.156346,0.102,0.0587,0.0073,0.6841,0.128581,0.148631,0.0826,0.0405,0.0055,0.703,0.131185,0.171727,0.0679,0.055,0.006,0.6825,0.119155,0.141523,0.0741,0.0476,0.008,0.7027,0.182321,0.206926,0.1086,0.0735,0.0079,0.7513,0.125787,0.155236,0.0757,0.0422,274,0.9164,1.7639,13.496888
9,297,3,384.7,0.0039,0.6992,0.101974,0.158105,0.0445,0.0249,0.0043,0.6733,0.10914,0.14034,0.0694,0.0469,0.0056,0.6946,0.1364,0.158233,0.1037,0.0625,0.0065,0.6841,0.116976,0.136113,0.0737,0.0484,0.004,0.7138,0.138402,0.18178,0.0673,0.0547,0.0046,0.6862,0.104966,0.115014,0.072,0.0489,0.0066,0.6989,0.172429,0.203978,0.0779,0.0512,0.0055,0.7898,0.119713,0.158221,0.072,0.042,280,0.9428,1.6902,13.666819
10,299,1,394.27,0.0047,0.7061,0.070133,0.109327,0.0315,0.0184,0.005,0.6777,0.107643,0.152707,0.0649,0.0502,0.0056,0.703,0.145931,0.176383,0.1099,0.0633,0.006,0.6947,0.121133,0.146168,0.0699,0.0488,0.004,0.703,0.134821,0.178856,0.074,0.0532,0.0052,0.6965,0.131013,0.15622,0.086,0.0402,0.0065,0.6921,0.164248,0.189282,0.0782,0.0502,0.0062,0.7898,0.125078,0.152196,0.0766,0.0451,285,0.9532,1.6902,13.625557
11,297,3,385.06,0.0048,0.6994,0.080059,0.123025,0.03,0.0185,0.0048,0.6777,0.0926,0.120592,0.0665,0.0502,0.0055,0.7012,0.128608,0.172259,0.0654,0.0559,0.0045,0.699,0.124305,0.154282,0.0725,0.0501,0.004,0.7837,0.122166,0.169891,0.0635,0.0535,0.0045,0.696,0.124344,0.154422,0.0764,0.0492,0.0073,0.7033,0.192466,0.213329,0.1131,0.0797,0.0062,0.7925,0.135451,0.179048,0.0759,0.0472,276,0.9293,1.667,13.013438
