generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,247,53,742.0,0.0015,0.4821,0.12669,0.04408,0.1258,0.0021,0.0,0.94,0.743866,0.1925,0.78,0.0,0.0,0.973333,0.750445,0.196472,0.773333,0.0,189,0.7652,1.8579,11.951853
1,244,56,287.51,0.0014,0.4821,0.129388,0.056399,0.12535,0.003,0.0,0.95,0.834631,0.131346,0.885,0.035,0.0,0.973333,0.854645,0.142667,0.916667,0.036666,208,0.8525,1.8579,11.425612
2,247,53,293.61,0.0014,0.4821,0.137069,0.061131,0.1259,0.0034,0.0,0.95,0.847409,0.158164,0.915,0.005,0.0,0.973333,0.873711,0.166513,0.946667,0.006666,207,0.8381,1.8579,11.388275
3,267,33,338.05,0.0006,0.4821,0.152294,0.083103,0.1261,0.0037,0.0,0.95,0.859213,0.139162,0.915,0.01,0.0,0.973333,0.885243,0.14684,0.946667,0.006666,233,0.8727,1.8579,11.153249
4,257,43,310.33,0.001,0.579,0.17025,0.106462,0.1272,0.0076,0.08,0.955,0.840739,0.14634,0.915,0.01,0.08,0.973333,0.864955,0.153848,0.946667,0.006666,230,0.8949,1.855,11.077688
5,270,30,311.79,0.0014,0.579,0.180099,0.109585,0.12935,0.1136,0.0,0.955,0.830741,0.177297,0.915,0.0125,0.0,0.973333,0.854592,0.182279,0.946667,0.006666,242,0.8963,0.7681,11.08953
6,270,30,312.05,0.0001,0.579,0.197963,0.136365,0.13295,0.11275,0.12,0.955,0.844759,0.130893,0.915,0.015,0.206667,0.973333,0.868963,0.135542,0.946667,0.006667,235,0.8704,0.7638,10.348926
7,271,29,328.39,0.0006,0.5817,0.205912,0.14843,0.1312,0.1146,0.135,0.955,0.81524,0.156389,0.915,0.02,0.246667,0.973333,0.837146,0.160688,0.946667,0.02,250,0.9225,0.746,10.167815
8,284,16,345.06,0.0007,0.5817,0.219063,0.166831,0.2401,0.11645,0.0,0.955,0.851004,0.143129,0.925,0.01,0.0,0.973333,0.87446,0.14711,0.953333,0.006667,250,0.8803,0.7445,9.393472
9,279,21,341.2,0.0013,0.5817,0.250674,0.161442,0.2419,0.1171,0.0,0.955,0.855036,0.131354,0.92,0.015,0.0,0.973333,0.876917,0.138262,0.953333,0.006667,249,0.8925,0.7445,8.856566
10,291,9,364.12,0.0006,0.9777,0.250706,0.174716,0.2443,0.1217,0.025,0.945,0.874502,0.113059,0.925,0.01,0.02,0.973333,0.897113,0.117588,0.953333,0.006667,255,0.8763,0.2423,8.673968
11,295,5,391.54,0.0009,0.9777,0.246529,0.179419,0.2437,0.1201,0.0,0.945,0.891593,0.095865,0.925,0.01,0.0,0.96,0.913717,0.101434,0.953333,0.0,265,0.8983,0.2423,8.801064
12,294,6,378.26,0.0011,0.9777,0.259253,0.188106,0.2452,0.1232,0.415,0.945,0.897823,0.070859,0.925,0.01,0.44,0.966667,0.920249,0.075331,0.953333,0.0,258,0.8776,0.2423,8.258298
13,297,3,353.78,0.0003,0.9777,0.267232,0.197802,0.2465,0.129,0.0,0.955,0.889158,0.118257,0.925,0.01,0.0,0.973333,0.911313,0.119483,0.953333,0.0,263,0.8855,0.2423,8.262465
14,300,0,376.08,0.0002,0.9777,0.268027,0.202283,0.24605,0.1225,0.0,0.95,0.889917,0.116061,0.925,0.01,0.0,0.966667,0.911222,0.120644,0.953333,0.0,267,0.89,0.2271,8.39844
15,300,0,370.43,0.0002,0.9777,0.278195,0.219062,0.2468,0.20555,0.45,0.95,0.902233,0.078148,0.925,0.01,0.46,0.966667,0.923733,0.082831,0.953333,0.0,265,0.8833,0.2271,7.979539
16,300,0,363.42,0.0003,0.9793,0.328144,0.265767,0.24865,0.2344,0.0,0.95,0.8983,0.091585,0.925,0.01,0.0,0.966667,0.918911,0.097208,0.953333,0.006666,257,0.8567,0.2243,7.225189
17,300,0,376.23,0.0007,0.9797,0.346148,0.287578,0.24875,0.23375,0.25,0.95,0.89625,0.093083,0.925,0.01,0.26,0.966667,0.917555,0.098244,0.953333,0.006667,267,0.89,0.2233,7.235519
18,300,0,357.06,0.001,0.9797,0.374254,0.314896,0.24995,0.2386,0.465,0.95,0.906233,0.070744,0.93,0.01,0.453333,0.966667,0.927244,0.074631,0.953333,0.006667,256,0.8533,0.222,6.834146
19,300,0,370.9,0.0002,0.9797,0.431212,0.331519,0.4735,0.2352,0.44,0.955,0.9026,0.078822,0.9275,0.0125,0.453333,0.966667,0.922067,0.083894,0.953333,0.006667,261,0.87,0.222,6.191721
20,299,1,341.14,0.0002,0.9794,0.427649,0.352998,0.2534,0.2372,0.44,0.955,0.898445,0.087098,0.93,0.015,0.453333,0.966667,0.917949,0.092525,0.953333,0.006667,246,0.8227,0.222,6.563856
21,300,0,364.28,0.0,0.978,0.395302,0.347972,0.24845,0.2403,0.425,0.95,0.90305,0.080132,0.925,0.015,0.433333,0.966667,0.923489,0.08504,0.953333,0.006667,252,0.84,0.222,6.892498
22,299,1,373.07,0.0004,0.978,0.400387,0.342446,0.2505,0.2368,0.605,0.955,0.908462,0.065274,0.925,0.015,0.673333,0.966667,0.928829,0.070374,0.953333,0.006667,245,0.8194,0.222,6.81861
23,300,0,389.61,0.0,0.978,0.395417,0.35236,0.2493,0.23985,0.44,0.95,0.9045,0.071661,0.93,0.015,0.453333,0.966667,0.924089,0.077146,0.953333,0.006667,251,0.8367,0.222,6.986583
24,300,0,381.01,0.0,0.9782,0.369417,0.337032,0.24825,0.24035,0.0,0.955,0.901533,0.089063,0.925,0.015,0.033333,0.966667,0.921889,0.093045,0.953333,0.006667,257,0.8567,0.222,7.124516
