generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,263,37,828.75,0.0038,0.4577,0.083962,0.080632,0.0633,0.0558,0.0028,0.5715,0.118492,0.097958,0.1203,0.0509,0.0053,0.625,0.122071,0.104818,0.119,0.0521,0.0055,0.5056,0.133262,0.111558,0.1202,0.0541,0.0047,0.549,0.137909,0.117673,0.1232,0.0371,0.0055,0.4866,0.128892,0.101504,0.1221,0.0515,0.0049,0.6069,0.152323,0.131455,0.1234,0.053,0.0063,0.58,0.123089,0.117153,0.1101,0.0463,236,0.8973,1.834,14.687482
1,276,24,421.95,0.0039,0.4637,0.086543,0.090875,0.05645,0.04555,0.0027,0.6226,0.109292,0.115259,0.0932,0.0406,0.0041,0.625,0.129739,0.12521,0.1199,0.053,0.0042,0.5912,0.126546,0.113213,0.1174,0.0513,0.0047,0.6218,0.138426,0.121704,0.12425,0.0463,0.0061,0.5822,0.130937,0.121869,0.11175,0.04185,0.0065,0.6615,0.165028,0.152266,0.12375,0.05665,0.0075,0.7236,0.113488,0.117495,0.0879,0.04975,268,0.971,1.834,14.789773
2,300,0,416.84,0.004,0.4745,0.104913,0.095057,0.0808,0.04595,0.0045,0.7147,0.128815,0.14328,0.09575,0.04925,0.003,0.617,0.108742,0.100378,0.0871,0.048,0.0034,0.6544,0.116328,0.105113,0.09985,0.0493,0.0067,0.6921,0.13905,0.141199,0.12165,0.061,0.0066,0.5897,0.117405,0.106321,0.09615,0.0456,0.0054,0.616,0.145464,0.137984,0.1214,0.06145,0.0068,0.7254,0.139283,0.155426,0.10095,0.05535,293,0.9767,1.834,15.118317
3,300,0,409.45,0.0046,0.7232,0.117116,0.116398,0.07735,0.04815,0.0044,0.7533,0.128123,0.148824,0.07925,0.04675,0.0025,0.7353,0.11995,0.124332,0.08835,0.0548,0.0056,0.6472,0.109202,0.101056,0.0864,0.0444,0.0038,0.7935,0.136472,0.143213,0.11945,0.06295,0.0047,0.7376,0.117397,0.112636,0.09235,0.0467,0.004,0.6563,0.139788,0.130101,0.11835,0.0592,0.0032,0.7323,0.131953,0.14813,0.1023,0.0695,287,0.9567,1.834,15.355247
4,298,2,423.42,0.0031,0.7706,0.129926,0.162036,0.08,0.05565,0.0017,0.7731,0.132827,0.163772,0.08005,0.05775,0.0039,0.7303,0.107233,0.119518,0.0703,0.051,0.0019,0.6472,0.12593,0.126518,0.0917,0.06725,0.0024,0.806,0.150922,0.190579,0.089,0.0619,0.0016,0.7391,0.124238,0.142566,0.0878,0.05385,0.0029,0.6681,0.105865,0.100471,0.07675,0.04985,0.0027,0.7679,0.123059,0.143253,0.0832,0.0568,292,0.9799,1.834,15.56741
5,300,0,420.04,0.0013,0.7748,0.118335,0.132977,0.08425,0.058,0.0018,0.7653,0.115828,0.134304,0.08405,0.0574,0.0021,0.7673,0.133339,0.141795,0.1001,0.0625,0.0019,0.9179,0.143532,0.136539,0.1184,0.0718,0.0018,0.806,0.116311,0.141087,0.08095,0.06035,0.0023,0.7984,0.129079,0.144713,0.09895,0.0566,0.0024,0.751,0.119147,0.138718,0.0843,0.05665,0.0027,0.7862,0.124429,0.144238,0.0964,0.0658,290,0.9667,1.834,14.833171
6,300,0,411.2,0.0017,0.7841,0.119183,0.141767,0.0855,0.06635,0.002,0.8164,0.142787,0.166794,0.119,0.09505,0.0033,0.773,0.115531,0.136929,0.08415,0.06155,0.0037,0.9179,0.148069,0.181066,0.1214,0.0858,0.0019,0.7805,0.11043,0.143226,0.086,0.0666,0.0018,0.8068,0.118497,0.148244,0.0956,0.07405,0.0029,0.7787,0.117919,0.152944,0.0846,0.0675,0.0023,0.7971,0.127584,0.159842,0.09665,0.0753,284,0.9467,1.834,13.836816
7,300,0,423.05,0.0015,0.7841,0.131066,0.161213,0.11935,0.08885,0.0018,0.7465,0.124448,0.12695,0.1196,0.0938,0.0011,0.9161,0.134094,0.159584,0.12015,0.08395,0.0017,0.9179,0.137167,0.161181,0.12205,0.08045,0.0033,0.7942,0.114474,0.126643,0.11965,0.07205,0.0029,0.8079,0.127474,0.154668,0.1216,0.08155,0.0029,0.8047,0.118971,0.150165,0.09885,0.0771,0.0026,0.7799,0.112305,0.131551,0.1043,0.082,291,0.97,1.834,13.556161
8,300,0,410.87,0.0013,0.7841,0.116965,0.152601,0.0823,0.06915,0.0014,0.771,0.143709,0.171711,0.09925,0.08765,0.0011,0.9161,0.110377,0.150011,0.08035,0.06455,0.0014,0.9198,0.14185,0.183124,0.1063,0.09065,0.0012,0.7805,0.113444,0.152147,0.07785,0.06635,0.0025,0.798,0.123927,0.160219,0.0802,0.0675,0.0011,0.8032,0.118234,0.144696,0.0843,0.072,0.0005,0.9087,0.131495,0.157915,0.1176,0.09945,288,0.96,1.834,13.338705
9,300,0,405.06,0.0012,0.7841,0.132133,0.15909,0.1205,0.10105,0.0021,0.771,0.120218,0.148519,0.0932,0.07775,0.0014,0.9161,0.147402,0.172382,0.12325,0.0881,0.0019,0.9257,0.154934,0.190728,0.1223,0.1031,0.0014,0.7849,0.115596,0.145852,0.11835,0.10105,0.0024,0.798,0.119796,0.162936,0.1087,0.0956,0.0003,0.8443,0.109953,0.147406,0.0849,0.07165,0.0023,0.905,0.099967,0.125643,0.08885,0.07745,283,0.9433,1.834,12.824766
