generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,251,49,750.11,0.005,0.5394,0.110762,0.092625,0.1198,0.05,0.0033,0.5406,0.135672,0.118257,0.1224,0.0461,0.0039,0.5375,0.100549,0.107643,0.0697,0.0553,0.0033,0.5397,0.12858,0.133479,0.1082,0.0451,0.0056,0.5212,0.128049,0.124984,0.1196,0.0532,0.005,0.5437,0.140704,0.132898,0.1214,0.0537,0.0045,0.5344,0.130735,0.13113,0.1089,0.0441,0.0049,0.5541,0.12495,0.134234,0.1157,0.047,224,0.8924,1.8517,13.675377
1,237,63,301.5,0.0042,0.5418,0.110824,0.108735,0.0713,0.0422,0.0041,0.5457,0.16084,0.15282,0.1225,0.054,0.0028,0.5444,0.101881,0.12152,0.0673,0.0312,0.0043,0.5472,0.114115,0.125743,0.0684,0.0523,0.0083,0.5347,0.116913,0.136143,0.0664,0.0341,0.0059,0.5449,0.150263,0.156486,0.0711,0.0506,0.0055,0.5406,0.112504,0.102187,0.0698,0.0466,0.006,0.5425,0.13266,0.130189,0.0858,0.0356,216,0.9114,1.8453,12.999121
2,267,33,341.34,0.0062,0.702,0.123384,0.123584,0.0714,0.0334,0.0049,0.541,0.142858,0.136536,0.0908,0.034,0.0059,0.5455,0.113977,0.125986,0.0676,0.031,0.0041,0.5463,0.123106,0.128165,0.0685,0.0356,0.0062,0.5347,0.104404,0.109564,0.0667,0.0279,0.0051,0.5446,0.153469,0.157851,0.0693,0.0396,0.0059,0.5466,0.118778,0.11529,0.071,0.0287,0.0048,0.565,0.120024,0.122878,0.0699,0.043,238,0.8914,1.8453,13.97275
3,278,22,342.26,0.0052,0.7037,0.121594,0.136973,0.0706,0.0433,0.0049,0.5506,0.161709,0.163499,0.1134,0.04885,0.005,0.5445,0.121731,0.136366,0.06875,0.04995,0.0045,0.7021,0.114101,0.119328,0.0686,0.0456,0.005,0.5871,0.114571,0.124242,0.0676,0.0383,0.0054,0.5432,0.140949,0.150581,0.0721,0.04615,0.0044,0.5366,0.107644,0.104792,0.06965,0.04955,0.0045,0.5673,0.117701,0.119388,0.0699,0.0319,239,0.8597,1.8453,13.04989
4,279,21,357.29,0.0081,0.702,0.151932,0.175721,0.0724,0.0442,0.0062,0.5839,0.140846,0.15144,0.0698,0.0514,0.0046,0.5819,0.124415,0.14902,0.0677,0.0451,0.0039,0.7094,0.126662,0.159824,0.068,0.0344,0.005,0.5926,0.116815,0.132441,0.0676,0.0279,0.0055,0.6201,0.131543,0.151916,0.0689,0.0475,0.0047,0.5979,0.100306,0.097291,0.0676,0.0369,0.0049,0.5528,0.10748,0.118862,0.0668,0.0317,254,0.9104,1.8391,12.731285
5,292,8,377.71,0.0063,0.7082,0.14005,0.161392,0.0813,0.042,0.0065,0.5933,0.125467,0.147111,0.06885,0.0474,0.0045,0.582,0.134283,0.157431,0.067,0.0545,0.004,0.7094,0.127111,0.157871,0.07,0.04365,0.0069,0.6017,0.125538,0.144301,0.0657,0.0385,0.0049,0.6422,0.11876,0.144034,0.0653,0.04835,0.006,0.748,0.12499,0.147265,0.0691,0.0487,0.0034,0.5586,0.1038,0.11336,0.06455,0.03815,272,0.9315,1.8391,13.067749
6,292,8,394.0,0.006,0.7082,0.124987,0.146917,0.07445,0.0499,0.0068,0.5929,0.099519,0.111809,0.06565,0.04915,0.0048,0.669,0.118539,0.129679,0.0647,0.0529,0.0041,0.7011,0.118306,0.136121,0.0709,0.0499,0.0058,0.6313,0.134654,0.148514,0.0709,0.04935,0.0058,0.6447,0.126308,0.145056,0.07025,0.05155,0.006,0.755,0.159271,0.194849,0.0721,0.05,0.0067,0.5767,0.118416,0.129224,0.0698,0.0441,274,0.9384,1.8391,13.289524
7,286,14,397.68,0.0053,0.7151,0.146178,0.16598,0.0744,0.04435,0.0064,0.7125,0.111049,0.133883,0.05805,0.0399,0.004,0.6742,0.104495,0.129647,0.0512,0.0318,0.0052,0.677,0.116747,0.151497,0.0534,0.03545,0.0056,0.6707,0.115372,0.133958,0.0616,0.0325,0.0062,0.7137,0.127022,0.153981,0.0622,0.0316,0.0054,0.7262,0.160339,0.187159,0.0756,0.0475,0.0061,0.711,0.118798,0.145042,0.0574,0.03385,275,0.9615,1.8391,13.62288
8,297,3,394.53,0.0055,0.7149,0.142544,0.168407,0.0687,0.048,0.0034,0.7248,0.123905,0.163579,0.0587,0.0381,0.0052,0.7238,0.104626,0.140419,0.0493,0.025,0.0026,0.6803,0.12399,0.161602,0.0515,0.0358,0.0058,0.7108,0.10357,0.130749,0.0564,0.0267,0.0029,0.7169,0.141983,0.177023,0.0586,0.0366,0.0051,0.731,0.136696,0.163467,0.0671,0.047,0.0044,0.7314,0.122686,0.173071,0.0548,0.0337,269,0.9057,1.8391,13.995757
9,298,2,390.51,0.0071,0.6851,0.139706,0.158104,0.07375,0.05015,0.0052,0.7306,0.11224,0.153681,0.04725,0.0334,0.0052,0.7225,0.129983,0.17571,0.05435,0.03625,0.0057,0.6566,0.11368,0.152743,0.04635,0.03205,0.0088,0.745,0.101477,0.131227,0.05445,0.02075,0.0053,0.7221,0.126617,0.161763,0.0651,0.0386,0.0056,0.7299,0.16899,0.192285,0.10245,0.06895,0.0056,0.7357,0.107307,0.141705,0.0504,0.0319,263,0.8826,1.8391,13.86047
