generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,281,19,765.95,0.0066,0.5367,0.201586,0.138675,0.1274,0.0322,0.005,0.915,0.649448,0.164219,0.71,0.07,0.02,0.953333,0.668161,0.177086,0.733333,0.073333,201,0.7153,1.8433,11.168592
1,252,48,295.6,0.0088,0.5395,0.201852,0.135578,0.1562,0.0711,0.365,0.93,0.757222,0.136498,0.815,0.0875,0.36,0.953333,0.78082,0.150229,0.846667,0.086667,185,0.7341,1.8416,10.737513
2,260,40,302.38,0.0072,0.5458,0.215212,0.148415,0.15625,0.06605,0.4,0.93,0.76425,0.131448,0.825,0.09,0.393333,0.953333,0.789846,0.141833,0.86,0.093333,206,0.7923,1.8342,10.189327
3,261,39,316.83,0.0092,0.5458,0.207535,0.141034,0.1346,0.0822,0.165,0.93,0.757184,0.157652,0.835,0.08,0.173333,0.953333,0.781379,0.169208,0.873333,0.08,225,0.8621,1.1977,10.767561
4,272,28,337.3,0.0012,0.5026,0.227268,0.145251,0.2225,0.0973,0.365,0.945,0.820404,0.100883,0.8375,0.0425,0.346667,0.953333,0.848799,0.111008,0.873333,0.04,230,0.8456,0.7174,10.277879
5,273,27,350.78,0.0005,0.9191,0.251705,0.195329,0.2385,0.2173,0.195,0.95,0.846886,0.133382,0.915,0.03,0.2,0.96,0.864591,0.136792,0.94,0.013333,222,0.8132,0.4057,8.979796
6,291,9,334.47,0.0004,0.919,0.331805,0.294011,0.2457,0.2078,0.445,0.945,0.851667,0.103974,0.92,0.025,0.44,0.953333,0.866621,0.106856,0.926667,0.026666,225,0.7732,0.401,8.340566
7,300,0,385.18,0.0003,0.9765,0.317812,0.352661,0.14085,0.12945,0.37,0.945,0.8431,0.111515,0.915,0.015,0.413333,0.953333,0.859289,0.110383,0.926667,0.02,223,0.7433,0.2835,8.543122
8,300,0,356.57,0.0003,0.9791,0.4218,0.397686,0.2448,0.23705,0.355,0.945,0.836533,0.135289,0.92,0.015,0.36,0.966667,0.848311,0.139444,0.926667,0.02,212,0.7067,0.2809,7.3654
9,300,0,373.49,0.0002,0.9798,0.34555,0.326364,0.2447,0.2341,0.2,0.95,0.839367,0.136832,0.915,0.03,0.22,0.96,0.853422,0.139501,0.926667,0.026666,242,0.8067,0.2802,7.996984
