generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,259,41,744.66,0.0063,0.4765,0.125062,0.102945,0.121,0.0476,0.0034,0.5802,0.128495,0.128985,0.1219,0.0555,0.0053,0.4699,0.095808,0.087243,0.0726,0.0537,0.0029,0.5256,0.100596,0.085077,0.1056,0.0393,0.0057,0.4876,0.138585,0.139426,0.1203,0.0548,0.0029,0.5469,0.17788,0.168389,0.124,0.058,0.0046,0.5273,0.117442,0.104506,0.1212,0.05,0.0025,0.5363,0.116132,0.109962,0.1162,0.047,221,0.8533,1.8524,13.486357
1,241,59,272.39,0.0024,0.5454,0.116272,0.107819,0.1196,0.0506,0.0031,0.581,0.138577,0.134704,0.1218,0.0306,0.0016,0.4715,0.098599,0.11509,0.0681,0.055,0.001,0.592,0.116484,0.136133,0.0715,0.0546,0.0028,0.5598,0.108169,0.119013,0.0692,0.0553,0.0021,0.549,0.156566,0.162977,0.1173,0.0538,0.0019,0.5824,0.135522,0.142414,0.1194,0.0513,0.0021,0.5539,0.129811,0.138399,0.1203,0.0493,208,0.8631,1.8518,12.985524
2,278,22,358.73,0.0043,0.5454,0.134151,0.116601,0.1222,0.0507,0.0047,0.5802,0.128191,0.12501,0.1214,0.05395,0.0029,0.5825,0.089718,0.098851,0.0676,0.05685,0.0024,0.559,0.10034,0.117983,0.0689,0.05675,0.0046,0.5598,0.122621,0.139081,0.06825,0.05585,0.0048,0.5766,0.172536,0.160623,0.1232,0.06275,0.0021,0.5824,0.114026,0.116927,0.0975,0.0334,0.002,0.5588,0.138418,0.142655,0.12115,0.05725,258,0.9281,1.8491,12.520977
3,254,46,305.19,0.0058,0.5454,0.13439,0.113313,0.117,0.0472,0.0037,0.5896,0.147459,0.144455,0.12305,0.05645,0.0025,0.5825,0.099189,0.110937,0.06725,0.0557,0.0019,0.5702,0.118336,0.140481,0.0686,0.05735,0.0045,0.5357,0.119195,0.132704,0.07025,0.0547,0.0043,0.5757,0.148944,0.154894,0.1173,0.0574,0.0024,0.5887,0.112526,0.127498,0.06855,0.0534,0.0016,0.5688,0.119962,0.125656,0.0696,0.05505,229,0.9016,1.8491,12.435215
4,266,34,324.09,0.0039,0.5444,0.141961,0.123059,0.1222,0.0472,0.0043,0.5964,0.135625,0.128945,0.12205,0.05455,0.0016,0.5825,0.092626,0.102508,0.0693,0.0564,0.0021,0.559,0.111989,0.133476,0.0673,0.05775,0.0031,0.5594,0.137754,0.138846,0.11795,0.05415,0.0027,0.579,0.141009,0.154754,0.09695,0.0576,0.0025,0.5909,0.107739,0.119416,0.07025,0.0537,0.0024,0.5688,0.131297,0.138063,0.11865,0.0539,245,0.9211,1.8491,12.476983
5,279,21,336.79,0.0033,0.5444,0.146007,0.119495,0.1225,0.0554,0.0014,0.5717,0.124654,0.125436,0.118,0.0548,0.0027,0.6505,0.110934,0.137235,0.0682,0.0576,0.0024,0.559,0.103362,0.122906,0.0671,0.057,0.0036,0.5325,0.114779,0.121275,0.0714,0.0549,0.0027,0.552,0.157972,0.164347,0.104,0.0622,0.0024,0.5892,0.113459,0.119913,0.0703,0.0551,0.0015,0.5655,0.128832,0.137143,0.0766,0.0528,258,0.9247,1.8491,12.937049
6,284,16,354.09,0.0026,0.5408,0.139527,0.114449,0.12295,0.0509,0.003,0.5769,0.1324,0.119081,0.1237,0.05345,0.0025,0.6652,0.101919,0.118301,0.072,0.05745,0.0026,0.5676,0.126688,0.139711,0.0979,0.07825,0.0037,0.5425,0.125441,0.135057,0.11595,0.08095,0.0047,0.554,0.132537,0.146267,0.0968,0.0629,0.0016,0.633,0.11575,0.135255,0.07725,0.0522,0.0028,0.5535,0.125737,0.137543,0.11165,0.0607,266,0.9366,1.8491,12.574488
7,289,11,375.44,0.0035,0.5426,0.147892,0.110097,0.1245,0.0524,0.0021,0.5964,0.147412,0.136194,0.1232,0.0737,0.0028,0.6637,0.101919,0.104866,0.0683,0.0585,0.0029,0.5504,0.115801,0.128091,0.0799,0.0649,0.0017,0.5244,0.116346,0.129016,0.0738,0.0523,0.0021,0.554,0.137056,0.141182,0.0892,0.0682,0.0017,0.639,0.121561,0.136338,0.0746,0.0594,0.0011,0.6114,0.112012,0.111438,0.0897,0.0601,276,0.955,1.8491,13.092719
8,297,3,376.04,0.0048,0.5441,0.133562,0.101975,0.1219,0.0563,0.0029,0.5737,0.135968,0.131588,0.1217,0.0879,0.002,0.6637,0.116838,0.144182,0.0719,0.0591,0.0021,0.587,0.115617,0.128581,0.0754,0.0621,0.004,0.5203,0.117737,0.11716,0.0927,0.0678,0.0022,0.6383,0.127471,0.1303,0.0989,0.0683,0.0017,0.635,0.126253,0.134041,0.0962,0.0529,0.0011,0.6284,0.126555,0.137932,0.1099,0.0739,273,0.9192,1.8491,13.080984
9,298,2,404.82,0.0037,0.5383,0.1517,0.118277,0.1249,0.06895,0.0031,0.6595,0.145229,0.139488,0.12265,0.08075,0.0021,0.6743,0.107624,0.121306,0.06835,0.0585,0.0012,0.6482,0.112688,0.130631,0.06815,0.05805,0.0014,0.5899,0.12126,0.13154,0.0713,0.05835,0.003,0.6383,0.137739,0.14338,0.10035,0.07665,0.0015,0.635,0.10876,0.10825,0.0882,0.0625,0.0011,0.6563,0.115,0.136017,0.0709,0.05895,287,0.9631,1.8491,12.932364
10,297,3,386.17,0.0035,0.6722,0.13465,0.112398,0.1206,0.053,0.0028,0.6595,0.1335,0.140753,0.12,0.0729,0.002,0.6761,0.110159,0.121705,0.0861,0.0473,0.0016,0.6433,0.132101,0.140567,0.1065,0.073,0.0006,0.5431,0.105947,0.111217,0.0879,0.0672,0.0017,0.6594,0.129563,0.144547,0.1011,0.0741,0.0009,0.6628,0.121227,0.125659,0.1065,0.056,0.0013,0.7386,0.132854,0.14049,0.1192,0.0737,274,0.9226,1.8151,13.133716
11,298,2,406.2,0.0023,0.6566,0.1575,0.125286,0.126,0.0755,0.0021,0.6664,0.139268,0.145711,0.12125,0.09065,0.0012,0.6761,0.11665,0.123703,0.10135,0.0849,0.0002,0.7443,0.114957,0.124783,0.1049,0.08315,0.0014,0.6152,0.123704,0.133374,0.0895,0.075,0.0013,0.7493,0.12611,0.140413,0.10215,0.08825,0.001,0.6539,0.10694,0.113961,0.09385,0.07585,0.0007,0.9384,0.114871,0.13951,0.09745,0.08335,286,0.9597,0.7868,12.742135
