generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,247,53,737.48,0.0102,0.46,0.126259,0.036154,0.1249,0.0026,0.0,0.935,0.788543,0.158717,0.78,0.0,0.0,0.96,0.798083,0.166788,0.773333,0.0,186,0.753,11.0406,11.780623
1,262,38,289.43,0.0019,0.2594,0.131843,0.036382,0.1262,0.0027,0.0,0.94,0.864962,0.112088,0.915,0.01,0.0,0.973333,0.89028,0.122725,0.953333,0.006666,216,0.8244,11.0406,11.411516
2,267,33,329.89,0.0013,0.2594,0.143802,0.050641,0.1262,0.0029,0.0,0.94,0.881798,0.121873,0.915,0.01,0.0,0.973333,0.910562,0.128636,0.953333,0.0,213,0.7978,11.0406,11.367659
3,270,30,314.66,0.0012,0.4948,0.158536,0.072654,0.1272,0.0049,0.0,0.955,0.872352,0.15231,0.92,0.005,0.0,0.973333,0.898617,0.159839,0.953333,0.0,236,0.8741,0.7652,11.303464
4,276,24,326.42,0.0011,0.497,0.182439,0.082841,0.179,0.0631,0.0,0.955,0.895743,0.084501,0.925,0.005,0.026667,0.973333,0.922995,0.090733,0.953333,0.0,214,0.7754,0.763,11.090169
5,274,26,332.37,0.0008,0.4979,0.183489,0.100338,0.2403,0.1091,0.475,0.955,0.896898,0.066781,0.925,0.01,0.526667,0.973333,0.924087,0.072558,0.953333,0.0,212,0.7737,0.7457,10.900453
6,289,11,331.37,0.0007,0.499,0.21026,0.12024,0.2449,0.0846,0.55,0.955,0.895017,0.074507,0.925,0.01,0.533333,0.973333,0.920184,0.082911,0.953333,0.0,223,0.7716,0.7417,10.275415
7,289,11,328.79,0.0012,0.9755,0.22339,0.148822,0.2449,0.1181,0.36,0.97,0.895536,0.086605,0.925,0.01,0.386667,0.973333,0.920646,0.092847,0.953333,0.0,225,0.7785,0.2445,9.602769
8,294,6,352.72,0.0003,0.9755,0.244402,0.173176,0.2463,0.1222,0.445,0.97,0.898724,0.075117,0.925,0.01,0.446667,0.973333,0.923537,0.08068,0.953333,0.006666,241,0.8197,0.2445,8.779748
9,298,2,380.11,0.0002,0.9755,0.253176,0.180915,0.2457,0.12465,0.08,0.97,0.893423,0.093018,0.925,0.01,0.14,0.973333,0.918098,0.094583,0.953333,0.006667,252,0.8456,0.2445,8.152998
10,297,3,357.04,0.0009,0.9755,0.26151,0.191562,0.2463,0.1266,0.51,0.97,0.897256,0.074809,0.925,0.01,0.506667,0.973333,0.91899,0.082398,0.953333,0.006666,250,0.8418,0.2445,7.984484
11,296,4,350.26,0.0012,0.9755,0.268354,0.193536,0.24585,0.12505,0.55,0.97,0.902432,0.069661,0.925,0.01,0.533333,0.973333,0.924842,0.074559,0.953333,0.006666,264,0.8919,0.2445,7.946241
12,296,4,362.19,0.0002,0.9794,0.276913,0.223397,0.24475,0.12625,0.275,0.97,0.891807,0.09342,0.925,0.01,0.346667,0.973333,0.91241,0.09688,0.953333,0.006666,264,0.8919,0.2406,7.912614
13,300,0,384.85,0.0001,0.9794,0.275592,0.2362,0.2448,0.2371,0.55,0.97,0.89515,0.076679,0.925,0.01,0.533333,0.973333,0.915778,0.083323,0.953333,0.006666,264,0.88,0.225,7.843808
14,298,2,366.84,0.0001,0.9772,0.289821,0.234974,0.2469,0.23645,0.58,0.97,0.89698,0.072009,0.925,0.015,0.58,0.973333,0.916555,0.07891,0.953333,0.006666,262,0.8792,0.225,7.632327
15,298,2,384.0,0.0,0.9766,0.281573,0.241904,0.2448,0.23125,0.42,0.97,0.892768,0.085124,0.925,0.01,0.413333,0.973333,0.913892,0.091065,0.953333,0.006666,269,0.9027,0.2244,8.060105
16,297,3,381.25,0.0,0.9766,0.278926,0.248865,0.246,0.2335,0.125,0.97,0.895438,0.093062,0.925,0.01,0.22,0.973333,0.916812,0.096419,0.953333,0.006666,255,0.8586,0.2238,8.210031
17,297,3,369.88,0.0,0.9797,0.27666,0.272551,0.241,0.2347,0.45,0.97,0.893215,0.082249,0.925,0.015,0.493333,0.973333,0.913625,0.090281,0.953333,0.006667,265,0.8923,0.2238,8.254856
18,300,0,381.99,0.0,0.9784,0.29433,0.273047,0.2439,0.2364,0.345,0.97,0.896833,0.085646,0.925,0.01,0.44,0.98,0.918511,0.088709,0.953333,0.006667,271,0.9033,0.2216,7.918337
19,300,0,375.95,0.0,0.9813,0.315403,0.303988,0.2453,0.2399,0.39,0.98,0.902233,0.080298,0.925,0.01,0.4,0.986667,0.923489,0.086182,0.953333,0.006667,261,0.87,0.0987,7.775664
20,300,0,379.63,0.0,0.9813,0.291196,0.310391,0.1876,0.184,0.23,0.98,0.899717,0.100152,0.925,0.015,0.22,0.986667,0.920933,0.10438,0.953333,0.006667,264,0.88,0.0987,8.109937
21,296,4,376.35,0.0,0.9844,0.28314,0.302959,0.239,0.2329,0.19,0.98,0.894848,0.107104,0.925,0.015,0.193333,0.986667,0.91509,0.109285,0.953333,0.013333,263,0.8885,0.0956,8.434766
22,297,3,368.87,0.0,0.9857,0.302366,0.306207,0.2403,0.2262,0.28,0.98,0.897542,0.097803,0.93,0.02,0.346667,0.986667,0.917104,0.09994,0.953333,0.013334,270,0.9091,0.0943,8.211843
23,298,2,360.96,0.0001,0.9857,0.337354,0.323401,0.24765,0.2347,0.0,0.985,0.887517,0.140521,0.935,0.02,0.0,0.993333,0.903982,0.14123,0.953333,0.02,263,0.8826,0.0943,7.85929
