generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,256,44,757.44,0.0086,0.4496,0.133017,0.097251,0.12235,0.01015,0.0096,0.5336,0.12732,0.106631,0.1232,0.01085,0.0058,0.4886,0.088796,0.097952,0.0668,0.05545,0.0066,0.4894,0.144086,0.144731,0.1211,0.06855,0.0054,0.889,0.1332,0.20809,0.0779,0.06135,0.0051,0.8856,0.142496,0.141463,0.12335,0.07855,0.0066,0.5537,0.107527,0.08292,0.12135,0.02485,0.0091,0.4868,0.123557,0.107075,0.12185,0.0402,229,0.8945,2.7597,14.95886
1,277,23,369.58,0.0064,0.8647,0.125809,0.111781,0.1212,0.0336,0.0061,0.55,0.122729,0.114791,0.1227,0.0332,0.0058,0.4817,0.112746,0.125713,0.0755,0.0539,0.0053,0.508,0.137962,0.148353,0.1146,0.0743,0.0045,0.889,0.128712,0.197484,0.0689,0.0563,0.0038,0.886,0.131422,0.144405,0.1207,0.066,0.0054,0.7517,0.122439,0.127331,0.1208,0.0402,0.0053,0.5228,0.118181,0.117314,0.1203,0.0514,264,0.9531,1.9183,14.977218
2,261,39,335.36,0.0056,0.8814,0.132826,0.161027,0.1203,0.0501,0.0051,0.5415,0.116088,0.128061,0.1192,0.0563,0.0058,0.4817,0.082077,0.095156,0.0533,0.0413,0.0049,0.6054,0.124717,0.14304,0.0856,0.0621,0.004,0.89,0.151118,0.206381,0.1155,0.0816,0.0055,0.8876,0.139577,0.191317,0.0763,0.052,0.0052,0.7578,0.140285,0.170202,0.1175,0.0557,0.005,0.5493,0.113313,0.130173,0.0707,0.0551,238,0.9119,1.9183,14.424743
3,271,29,358.06,0.0075,0.8904,0.156037,0.192911,0.1208,0.0543,0.0076,0.5432,0.126426,0.136364,0.1203,0.0866,0.0063,0.5329,0.108806,0.129738,0.0661,0.0534,0.0062,0.6054,0.135726,0.162564,0.071,0.054,0.0054,0.89,0.115631,0.167243,0.0647,0.0556,0.0051,0.8889,0.123537,0.17404,0.0773,0.0525,0.005,0.8907,0.124483,0.151262,0.1083,0.0487,0.006,0.5982,0.109355,0.116736,0.1056,0.0782,255,0.941,1.9183,14.134146
4,262,38,333.6,0.0051,0.8904,0.135758,0.189848,0.10835,0.04725,0.005,0.5443,0.105837,0.120215,0.07565,0.05425,0.0063,0.5329,0.085661,0.108953,0.02945,0.022,0.0062,0.6054,0.137728,0.167635,0.0787,0.061,0.0051,0.8912,0.160216,0.234601,0.076,0.05495,0.0047,0.8953,0.136474,0.198476,0.07125,0.05345,0.0053,0.8935,0.141446,0.19025,0.1115,0.0702,0.0063,0.8807,0.096879,0.124703,0.0635,0.05075,244,0.9313,1.9183,14.015942
5,273,27,342.9,0.0059,0.8925,0.138674,0.209811,0.0773,0.0492,0.0064,0.8793,0.096338,0.127124,0.0588,0.0459,0.0057,0.8862,0.093597,0.129034,0.0375,0.0289,0.0032,0.6054,0.119433,0.158027,0.0651,0.0531,0.0044,0.8909,0.1614,0.239125,0.0878,0.0653,0.0062,0.9276,0.135747,0.193097,0.0819,0.0571,0.0059,0.8907,0.124144,0.171093,0.1036,0.0762,0.0071,0.8855,0.130668,0.193077,0.0726,0.053,249,0.9121,1.9183,13.901129
6,272,28,348.04,0.0034,0.8925,0.126502,0.177661,0.10185,0.07515,0.0041,0.8793,0.118951,0.184122,0.0659,0.0542,0.0037,0.8862,0.099294,0.160992,0.0417,0.0318,0.0032,0.6054,0.121268,0.161284,0.0634,0.05405,0.0045,0.8917,0.135786,0.201042,0.0673,0.05415,0.0054,0.9276,0.141406,0.224407,0.0669,0.0533,0.0032,0.8863,0.136685,0.189993,0.10605,0.08425,0.0033,0.8857,0.120108,0.174864,0.08335,0.06035,246,0.9044,1.9183,13.960632
7,276,24,375.19,0.0059,0.8925,0.130849,0.183866,0.10355,0.0778,0.0054,0.8849,0.111996,0.164628,0.05635,0.04385,0.0046,0.8883,0.09832,0.157563,0.02935,0.0217,0.0028,0.8816,0.127783,0.170332,0.06185,0.0523,0.0043,0.8871,0.140233,0.208539,0.05875,0.05115,0.0052,0.9276,0.14162,0.208882,0.0694,0.055,0.0054,0.8872,0.120974,0.158495,0.1052,0.0834,0.0063,0.8857,0.128227,0.181705,0.09995,0.08085,265,0.9601,1.9183,14.326897
8,272,28,364.78,0.0054,0.8925,0.129525,0.193675,0.0781,0.0576,0.0066,0.907,0.093674,0.136805,0.03205,0.0207,0.0046,0.8883,0.118927,0.186902,0.0659,0.0543,0.0032,0.8905,0.11844,0.185519,0.0594,0.05015,0.006,0.8899,0.156186,0.2114,0.0871,0.06355,0.0064,0.9276,0.14464,0.21567,0.0754,0.055,0.0053,0.8885,0.130023,0.1831,0.07525,0.05845,0.0057,0.8867,0.108585,0.145679,0.0634,0.05275,253,0.9301,1.9183,14.457985
9,294,6,379.34,0.0043,0.9082,0.122487,0.195965,0.0414,0.0299,0.0051,0.9078,0.119963,0.201469,0.0261,0.01685,0.0039,0.8911,0.106421,0.177535,0.02805,0.02225,0.0032,0.8924,0.110675,0.185939,0.0254,0.0195,0.0039,0.924,0.19441,0.274767,0.0989,0.08015,0.0051,0.9276,0.122477,0.203757,0.0288,0.02145,0.0057,0.8885,0.114137,0.164903,0.05195,0.04365,0.0065,0.8875,0.109428,0.183598,0.02395,0.01375,268,0.9116,1.9183,14.039905
