generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,231,69,726.84,0.0018,0.5007,0.195461,0.108742,0.2419,0.0857,0.0,0.94,0.639957,0.372326,0.855,0.07,0.0,0.973333,0.662713,0.383789,0.886667,0.066666,181,0.7835,1.0514,13.101682
1,228,72,270.51,0.0014,0.9731,0.256272,0.162258,0.24645,0.11935,0.0,0.94,0.842105,0.150449,0.88,0.045,0.0,0.973333,0.869532,0.152765,0.906667,0.046666,171,0.75,0.5469,9.093991
2,260,40,314.21,0.0015,0.977,0.290707,0.248742,0.24635,0.11525,0.0,0.925,0.879712,0.091882,0.915,0.01,0.0,0.953333,0.906795,0.099168,0.953333,0.0,177,0.6808,0.543,9.732216
3,253,47,305.8,0.0019,0.9771,0.318798,0.283897,0.2456,0.1183,0.445,0.935,0.876107,0.08149,0.915,0.01,0.46,0.96,0.902977,0.089457,0.953333,0.0,186,0.7352,0.5429,9.160965
4,247,53,276.18,0.0008,0.9771,0.291896,0.353925,0.1266,0.1224,0.48,0.945,0.856802,0.101377,0.87,0.065,0.513333,0.973333,0.882915,0.103783,0.906667,0.053333,164,0.664,0.5429,8.892234
5,219,81,238.31,0.0018,0.9771,0.405946,0.269978,0.2533,0.2295,0.38,0.955,0.833539,0.10819,0.875,0.035,0.453333,0.973333,0.85726,0.105535,0.906667,0.02,139,0.6347,0.5429,6.51104
6,277,23,300.14,0.0019,0.9771,0.321115,0.294876,0.2466,0.119,0.02,0.955,0.833845,0.153579,0.87,0.085,0.053333,0.973333,0.857088,0.151552,0.906667,0.066666,165,0.5957,0.5429,9.430149
7,257,43,311.06,0.0099,0.9771,0.551094,0.359862,0.489,0.3654,0.175,0.955,0.795584,0.130467,0.865,0.005,0.22,0.973333,0.825344,0.129963,0.893333,0.013334,194,0.7549,0.5429,5.313264
8,275,25,349.28,0.0012,0.9771,0.276928,0.259292,0.2417,0.1154,0.195,0.955,0.794891,0.172962,0.865,0.09,0.22,0.973333,0.817479,0.17133,0.893333,0.08,188,0.6836,0.5429,10.016236
9,273,27,342.46,0.004,0.9771,0.540349,0.364854,0.4883,0.3659,0.04,0.95,0.783205,0.146917,0.865,0.005,0.053333,0.973333,0.813724,0.146737,0.893333,0.013334,195,0.7143,0.5429,5.319505
10,233,67,273.01,0.0023,0.9771,0.318885,0.286463,0.2417,0.1164,0.04,0.955,0.84382,0.141296,0.87,0.08,0.053333,0.973333,0.869671,0.139413,0.906667,0.066666,159,0.6824,0.5429,9.159913
11,241,59,281.39,0.0028,0.9771,0.383276,0.337262,0.2458,0.1224,0.22,0.955,0.830975,0.143507,0.87,0.08,0.246667,0.973333,0.859723,0.139671,0.906667,0.066666,188,0.7801,0.5429,8.139296
12,261,39,321.04,0.0028,0.9771,0.384242,0.331869,0.2468,0.1234,0.3,0.955,0.826667,0.133336,0.87,0.08,0.326667,0.973333,0.853512,0.132092,0.906667,0.066666,210,0.8046,0.5429,8.282271
13,248,52,271.09,0.0023,0.9771,0.455043,0.326012,0.4843,0.35545,0.245,0.955,0.814254,0.108244,0.87,0.005,0.286667,0.973333,0.844409,0.110499,0.906667,0.006666,180,0.7258,0.5429,6.086328
14,241,59,285.17,0.0023,0.9771,0.324743,0.288009,0.2471,0.1218,0.245,0.965,0.835768,0.142256,0.87,0.085,0.286667,0.973333,0.861881,0.13962,0.906667,0.066666,176,0.7303,0.5429,9.133017
15,251,49,291.16,0.001,0.9771,0.408953,0.335286,0.2485,0.1255,0.3,0.955,0.830578,0.127683,0.87,0.08,0.326667,0.973333,0.856175,0.127488,0.906667,0.066666,203,0.8088,0.5429,7.603397
16,261,39,299.96,0.0024,0.9771,0.45399,0.303881,0.4852,0.2419,0.3,0.95,0.819195,0.126877,0.87,0.04,0.326667,0.973333,0.843244,0.126206,0.906667,0.02,203,0.7778,0.5429,5.828616
17,270,30,318.41,0.0012,0.9771,0.35204,0.279498,0.2475,0.17825,0.195,0.955,0.818889,0.155868,0.87,0.08,0.22,0.973333,0.841136,0.152785,0.906667,0.06,201,0.7444,0.5429,8.705737
18,289,11,362.64,0.0021,0.9771,0.366212,0.27683,0.2509,0.2287,0.04,0.955,0.7941,0.183082,0.87,0.08,0.053333,0.973333,0.81361,0.181961,0.906667,0.053333,228,0.7889,0.5429,7.858771
19,283,17,323.9,0.0024,0.9771,0.364894,0.277959,0.2526,0.227,0.195,0.95,0.795742,0.173985,0.87,0.08,0.24,0.973333,0.815948,0.171078,0.906667,0.06,228,0.8057,0.5429,7.600548
20,288,12,337.78,0.0022,0.9771,0.430274,0.32574,0.4739,0.3449,0.095,0.95,0.785,0.178101,0.87,0.08,0.186667,0.973333,0.808704,0.176467,0.906667,0.053333,246,0.8542,0.5429,7.020004
21,294,6,366.86,0.0022,0.9771,0.39107,0.321459,0.2488,0.1863,0.1,0.95,0.788486,0.160157,0.865,0.08,0.106667,0.966667,0.812449,0.158736,0.893333,0.066667,257,0.8741,0.5429,7.577433
22,279,21,343.13,0.0102,0.9771,0.564222,0.368767,0.4889,0.3677,0.215,0.94,0.769803,0.153426,0.865,0.005,0.24,0.973333,0.80012,0.153498,0.893333,0.013334,204,0.7312,0.5429,5.442588
23,264,36,317.43,0.0033,0.9771,0.255642,0.269017,0.12625,0.00365,0.185,0.955,0.819545,0.148086,0.87,0.07,0.24,0.973333,0.846389,0.148452,0.906667,0.066666,171,0.6477,0.5429,9.761631
24,266,34,307.79,0.0004,0.9771,0.369658,0.33602,0.2486,0.1248,0.275,0.955,0.823571,0.141985,0.87,0.085,0.326667,0.973333,0.8499,0.13848,0.906667,0.066666,170,0.6391,0.5429,8.591695
25,250,50,317.87,0.0014,0.9771,0.512574,0.367558,0.4845,0.3612,0.245,0.94,0.78676,0.132372,0.865,0.005,0.273333,0.973333,0.81688,0.133185,0.893333,0.013334,186,0.744,0.5429,6.100386
26,269,31,329.3,0.004,0.9771,0.295787,0.305912,0.1268,0.0042,0.23,0.955,0.841691,0.121158,0.87,0.07,0.293333,0.973333,0.869467,0.122725,0.906667,0.066666,171,0.6357,0.5429,9.032614
27,275,25,345.25,0.0006,0.9771,0.367338,0.323721,0.2478,0.1238,0.225,0.955,0.813891,0.149212,0.87,0.085,0.24,0.973333,0.838424,0.14865,0.906667,0.066666,201,0.7309,0.5429,8.686189
28,267,33,328.66,0.0033,0.9771,0.567747,0.357046,0.4894,0.3673,0.285,0.915,0.7897,0.130843,0.865,0.005,0.286667,0.953333,0.819351,0.134207,0.893333,0.013334,197,0.7378,0.5429,5.280942
29,287,13,326.03,0.0044,0.9771,0.286299,0.299699,0.1274,0.0053,0.39,0.925,0.844721,0.107417,0.87,0.045,0.42,0.953333,0.874471,0.114814,0.906667,0.046666,182,0.6341,0.5429,9.20938
30,283,17,340.89,0.002,0.9771,0.369889,0.325171,0.2487,0.1242,0.27,0.94,0.841025,0.107942,0.87,0.055,0.246667,0.973333,0.865913,0.116867,0.906667,0.046666,210,0.742,0.5429,8.509828
31,290,10,355.25,0.0015,0.9771,0.321303,0.288135,0.2467,0.1185,0.185,0.925,0.846259,0.128398,0.915,0.01,0.233333,0.953333,0.872092,0.134123,0.953333,0.0,228,0.7862,0.5429,9.328145
32,291,9,371.21,0.0021,0.9783,0.295111,0.276792,0.2417,0.116,0.3,0.935,0.838488,0.11529,0.87,0.055,0.326667,0.96,0.86142,0.123532,0.906667,0.046666,237,0.8144,0.5417,9.632724
33,288,12,386.55,0.0018,0.9783,0.277485,0.250758,0.24145,0.1149,0.16,0.93,0.830955,0.135363,0.9,0.0275,0.2,0.953333,0.856829,0.139279,0.923334,0.029999,241,0.8368,0.5417,9.801473
34,295,5,376.74,0.0015,0.9783,0.254253,0.212202,0.2432,0.1143,0.215,0.935,0.844915,0.130037,0.915,0.01,0.24,0.966667,0.869198,0.135774,0.953333,0.0,240,0.8136,0.5417,10.416934
35,287,13,355.69,0.0,0.9783,0.288595,0.308632,0.1278,0.1165,0.065,0.95,0.82507,0.139602,0.87,0.065,0.08,0.973333,0.851405,0.141607,0.906667,0.06,232,0.8084,0.5417,9.390221
36,279,21,336.55,0.0025,0.9783,0.373666,0.261359,0.2498,0.2168,0.16,0.94,0.792957,0.158965,0.87,0.03,0.186667,0.973333,0.818805,0.157131,0.906667,0.02,219,0.7849,0.5417,7.225116
37,281,19,353.32,0.0012,0.9783,0.320811,0.299853,0.2386,0.1163,0.165,0.955,0.81452,0.155711,0.87,0.065,0.186667,0.973333,0.840546,0.157267,0.906667,0.06,228,0.8114,0.5417,8.502961
38,288,12,356.71,0.0015,0.9783,0.382115,0.268467,0.25175,0.2274,0.095,0.955,0.795538,0.162371,0.87,0.04,0.093333,0.973333,0.819468,0.158936,0.906667,0.02,235,0.816,0.5417,6.921843
39,299,1,373.03,0.0024,0.9783,0.349093,0.258775,0.2494,0.1305,0.185,0.935,0.830652,0.143731,0.875,0.06,0.206667,0.96,0.852018,0.148522,0.906667,0.046666,193,0.6455,0.5417,7.281476
