generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,227,73,699.6,0.0016,0.4885,0.217849,0.154139,0.1305,0.1131,0.295,0.925,0.723546,0.135782,0.735,0.115,0.32,0.953333,0.738385,0.143012,0.746667,0.12,142,0.6256,2.0315,11.843913
1,232,68,283.21,0.0016,0.4885,0.178455,0.114806,0.12835,0.1155,0.325,0.925,0.830797,0.135285,0.915,0.01,0.353333,0.953333,0.854253,0.144421,0.953333,0.0,155,0.6681,2.0315,11.412148
2,248,52,278.15,0.0022,0.4885,0.203302,0.122375,0.2386,0.1117,0.085,0.925,0.829536,0.142796,0.915,0.01,0.06,0.953333,0.851586,0.154161,0.953333,0.0,165,0.6653,2.0315,11.397908
3,242,58,268.72,0.0016,0.4885,0.200844,0.131617,0.18505,0.06335,0.33,0.925,0.821715,0.144345,0.915,0.01,0.313333,0.953333,0.843939,0.155392,0.953333,0.0,180,0.7438,1.9766,11.347007
4,265,35,274.32,0.0016,0.4834,0.213852,0.129152,0.2431,0.1156,0.295,0.925,0.818377,0.141759,0.915,0.01,0.32,0.953333,0.841459,0.149856,0.953333,0.0,178,0.6717,1.9766,10.493771
5,263,37,300.58,0.0018,0.4841,0.190419,0.121724,0.1303,0.115,0.27,0.925,0.816882,0.144455,0.915,0.01,0.253333,0.953333,0.838682,0.153895,0.953333,0.0,194,0.7376,1.9759,10.933688
6,263,37,314.95,0.001,0.4841,0.177781,0.134025,0.1272,0.1176,0.295,0.925,0.807586,0.144759,0.915,0.01,0.32,0.953333,0.82986,0.153361,0.953333,0.0,196,0.7452,1.9759,10.907467
7,253,47,301.61,0.0021,0.4889,0.19183,0.1287,0.1286,0.1165,0.405,0.925,0.818182,0.143234,0.915,0.01,0.426667,0.953333,0.841238,0.152586,0.953333,0.0,189,0.747,1.9711,10.626352
8,262,38,326.28,0.0015,0.4894,0.173279,0.111105,0.1283,0.1153,0.215,0.925,0.839008,0.139145,0.915,0.01,0.24,0.953333,0.863206,0.147413,0.953333,0.0,194,0.7405,1.9706,11.050843
9,256,44,295.79,0.0014,0.4894,0.187033,0.129321,0.129,0.1154,0.295,0.925,0.817188,0.149657,0.915,0.01,0.253333,0.953333,0.841041,0.159587,0.953333,0.0,207,0.8086,1.9706,10.880155
10,261,39,326.65,0.0022,0.4894,0.179606,0.115632,0.1269,0.1138,0.09,0.925,0.815192,0.148971,0.915,0.01,0.086667,0.953333,0.837267,0.157565,0.953333,0.0,215,0.8238,1.9706,11.02323
11,270,30,326.48,0.0019,0.4894,0.174977,0.111932,0.1281,0.1141,0.295,0.955,0.818981,0.150069,0.915,0.01,0.32,0.973333,0.842617,0.157869,0.953333,0.0,225,0.8333,1.9706,11.14169
12,234,66,267.35,0.0005,0.4894,0.193582,0.131063,0.12815,0.1179,0.285,0.955,0.794081,0.168167,0.85,0.105,0.32,0.973333,0.812507,0.170885,0.88,0.093333,146,0.6239,1.9706,11.031803
13,239,61,273.75,0.0006,0.4894,0.189279,0.125322,0.128,0.1148,0.0,0.955,0.790941,0.192532,0.91,0.045,0.0,0.973333,0.809986,0.195017,0.913333,0.06,170,0.7113,1.9706,11.358838
14,261,39,295.09,0.0007,0.4894,0.185781,0.131704,0.1274,0.1127,0.09,0.955,0.744943,0.195278,0.76,0.18,0.086667,0.973333,0.762912,0.196474,0.766667,0.206666,201,0.7701,1.9706,11.489621
15,251,49,305.58,0.0005,0.4894,0.176127,0.12772,0.1271,0.1104,0.175,0.955,0.78247,0.1711,0.78,0.16,0.22,0.973333,0.800983,0.173399,0.78,0.193333,206,0.8207,1.9706,11.494789
16,275,25,316.96,0.0009,0.4894,0.20418,0.139009,0.1291,0.1094,0.0,0.955,0.764291,0.174252,0.76,0.15,0.0,0.973333,0.783733,0.175721,0.773333,0.153334,217,0.7891,1.9706,11.37742
17,272,28,347.12,0.0006,0.4894,0.171617,0.121023,0.1259,0.0063,0.0,0.955,0.746857,0.203745,0.76,0.18,0.0,0.973333,0.765833,0.205427,0.773333,0.183333,235,0.864,1.9706,11.661986
18,284,16,340.38,0.0008,0.4894,0.192187,0.135423,0.12795,0.11475,0.0,0.955,0.745845,0.199929,0.76,0.18,0.0,0.973333,0.766925,0.200712,0.773333,0.2,215,0.757,1.9706,10.949504
19,286,14,345.86,0.0005,0.535,0.183761,0.122636,0.1276,0.0711,0.2,0.955,0.761836,0.19528,0.76,0.18,0.24,0.973333,0.78359,0.193752,0.773333,0.2,240,0.8392,1.945,11.314351
20,283,17,360.49,0.0007,0.535,0.18239,0.131238,0.1269,0.0585,0.0,0.955,0.741466,0.197116,0.76,0.18,0.0,0.973333,0.764358,0.195466,0.773333,0.2,246,0.8693,1.945,11.536267
21,284,16,352.19,0.0005,0.535,0.197518,0.142072,0.12885,0.11045,0.0,0.955,0.748715,0.195963,0.76,0.1775,0.0,0.973333,0.770892,0.196027,0.766667,0.193333,243,0.8556,1.945,11.105722
22,284,16,367.81,0.0006,0.535,0.177483,0.12214,0.127,0.0876,0.19,0.955,0.750775,0.178664,0.76,0.15,0.206667,0.973333,0.770141,0.179141,0.766667,0.16,255,0.8979,1.945,11.467305
23,285,15,338.97,0.0007,0.5404,0.19617,0.143128,0.129,0.1086,0.17,0.955,0.757456,0.178959,0.76,0.15,0.186667,0.973333,0.775626,0.181103,0.773333,0.14,247,0.8667,1.9196,11.072251
24,281,19,341.46,0.001,0.5404,0.197107,0.138295,0.1284,0.0872,0.0,0.955,0.757651,0.181756,0.76,0.15,0.0,0.973333,0.777865,0.182248,0.773333,0.153334,254,0.9039,1.9196,11.168302
