generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,213,87,690.3,0.0071,0.4916,0.295108,0.198619,0.4623,0.0293,0.26,0.94,0.639742,0.076207,0.66,0.0,0.286667,0.973333,0.686416,0.078224,0.713333,0.0,141,0.662,1.8382,8.108366
1,198,102,213.3,0.0017,0.4939,0.205396,0.14943,0.1265,0.00345,0.0,0.95,0.784268,0.183954,0.8175,0.1225,0.0,0.973333,0.816633,0.186861,0.86,0.113333,119,0.601,1.8261,9.789352
2,264,36,298.99,0.0041,0.5439,0.191558,0.138894,0.16325,0.03805,0.01,0.945,0.781004,0.186589,0.8925,0.0475,0.006667,0.973333,0.811338,0.190869,0.923334,0.049999,171,0.6477,1.7161,10.358669
3,264,36,305.09,0.006,0.5529,0.193014,0.153599,0.1628,0.03895,0.09,0.945,0.738163,0.224046,0.745,0.185,0.113333,0.973333,0.765808,0.231474,0.793333,0.166667,192,0.7273,1.7136,10.642213
4,261,39,289.68,0.0003,0.5679,0.209801,0.168366,0.1647,0.0416,0.0,0.95,0.767203,0.193211,0.83,0.11,0.0,0.973333,0.797676,0.19737,0.86,0.113333,213,0.8161,1.7136,9.921004
5,266,34,318.89,0.0027,0.5464,0.191479,0.155597,0.12945,0.0475,0.125,0.945,0.742162,0.203418,0.745,0.185,0.113333,0.973333,0.771253,0.209279,0.793333,0.166667,227,0.8534,1.7136,10.486491
6,245,55,297.42,0.0029,0.5464,0.235239,0.159814,0.2419,0.1166,0.02,0.945,0.706204,0.172952,0.705,0.13,0.033333,0.973333,0.736708,0.178607,0.74,0.126667,204,0.8327,0.9188,10.388924
7,256,44,309.04,0.0001,0.5011,0.270288,0.176361,0.24385,0.1644,0.0,0.95,0.739258,0.191881,0.83,0.07,0.0,0.973333,0.771693,0.196077,0.866667,0.066666,194,0.7578,0.8953,8.533696
8,285,15,374.66,0.0002,0.5021,0.273966,0.183823,0.246,0.2305,0.0,0.94,0.76114,0.190153,0.88,0.03,0.0,0.973333,0.788678,0.197296,0.913333,0.033333,253,0.8877,0.8592,8.349613
9,289,11,354.42,0.0005,0.5008,0.230008,0.164919,0.1327,0.1115,0.0,0.955,0.787907,0.195153,0.89,0.035,0.0,0.973333,0.819308,0.195538,0.926667,0.026666,250,0.8651,0.8592,9.510338
10,277,23,344.66,0.0004,0.8284,0.217711,0.154171,0.2394,0.1142,0.145,0.965,0.818899,0.165084,0.905,0.035,0.14,0.973333,0.847437,0.166233,0.933333,0.04,239,0.8628,0.6116,9.846044
11,297,3,409.72,0.0006,0.8382,0.247381,0.208757,0.2386,0.1171,0.0,0.97,0.767593,0.216721,0.88,0.075,0.0,0.973333,0.793939,0.214698,0.913333,0.06,267,0.899,0.6018,10.067973
12,292,8,371.36,0.0004,0.8382,0.306301,0.246722,0.24575,0.21645,0.0,0.97,0.76387,0.181988,0.86,0.04,0.0,0.973333,0.794269,0.184715,0.886667,0.046666,252,0.863,0.5647,8.219658
13,288,12,360.11,0.0004,0.8389,0.23088,0.206677,0.1289,0.11405,0.0,0.955,0.804844,0.184956,0.89,0.05,0.0,0.973333,0.83375,0.188301,0.92,0.053333,240,0.8333,0.5647,9.813911
14,291,9,373.32,0.0002,0.8414,0.318847,0.254568,0.2447,0.1781,0.0,0.94,0.77933,0.157852,0.88,0.03,0.0,0.973333,0.807743,0.162961,0.92,0.026667,249,0.8557,0.5639,8.540672
15,291,9,378.97,0.0005,0.8382,0.24811,0.244481,0.1264,0.1135,0.15,0.96,0.781031,0.181101,0.885,0.04,0.166667,0.973333,0.812761,0.181052,0.92,0.033333,250,0.8591,0.5639,9.394089
16,297,3,358.22,0.0009,0.8382,0.21235,0.219774,0.1282,0.0523,0.04,0.97,0.805741,0.169022,0.89,0.05,0.093333,0.973333,0.835533,0.169376,0.92,0.053333,248,0.835,0.5639,10.184216
17,298,2,390.41,0.0008,0.9451,0.264806,0.249512,0.1617,0.0869,0.0,0.97,0.766661,0.191495,0.86,0.085,0.0,0.973333,0.795235,0.190944,0.883333,0.09,261,0.8758,0.5607,9.722509
18,299,1,384.02,0.0004,0.9778,0.406131,0.331214,0.251,0.2225,0.0,0.97,0.731472,0.175038,0.745,0.145,0.0,0.973333,0.754582,0.181035,0.786667,0.133333,259,0.8662,0.4022,7.822966
