generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,242,58,750.75,0.0021,0.2556,0.125514,0.039305,0.1254,0.0025,0.0,0.94,0.779339,0.152989,0.755,0.0425,0.0,0.96,0.804435,0.157502,0.78,0.06,193,0.7975,11.0076,11.824156
1,252,48,316.11,0.0014,0.4926,0.133147,0.049949,0.12555,0.00295,0.0,0.94,0.855337,0.119656,0.915,0.01,0.0,0.96,0.883704,0.12693,0.943334,0.009999,216,0.8571,0.7674,11.427567
2,259,41,294.5,0.0014,0.4926,0.155611,0.077594,0.1267,0.0038,0.0,0.94,0.864846,0.149055,0.915,0.01,0.0,0.96,0.892844,0.153459,0.953333,0.006666,217,0.8378,0.7674,11.178752
3,264,36,308.22,0.0001,0.5016,0.173675,0.105293,0.1279,0.00655,0.0,0.94,0.864602,0.117859,0.915,0.015,0.0,0.966667,0.889141,0.123963,0.946667,0.006667,235,0.8902,0.7384,10.800189
4,270,30,331.04,0.0014,0.5016,0.204336,0.125736,0.19215,0.0647,0.0,0.95,0.874426,0.124668,0.925,0.01,0.0,0.973333,0.899284,0.128464,0.953333,0.006666,243,0.9,0.7384,10.317367
5,276,24,311.83,0.0016,0.5079,0.241004,0.149529,0.2438,0.1173,0.0,0.945,0.884475,0.098764,0.925,0.01,0.0,0.96,0.907391,0.103793,0.953333,0.006666,238,0.8623,0.7256,9.201315
6,266,34,355.98,0.0008,0.5055,0.237918,0.156105,0.24355,0.1187,0.0,0.95,0.872688,0.107277,0.9225,0.0125,0.0,0.973333,0.895714,0.11295,0.946667,0.006666,245,0.9211,0.7256,9.258172
7,264,36,345.21,0.0013,0.5055,0.249456,0.154,0.2451,0.12,0.5,0.95,0.883561,0.085839,0.92,0.015,0.48,0.973333,0.90649,0.09072,0.946667,0.006666,239,0.9053,0.7256,8.905695
8,268,32,323.0,0.0017,0.9766,0.265514,0.164869,0.2467,0.12105,0.635,0.95,0.896735,0.072126,0.925,0.01,0.64,0.973333,0.919726,0.075108,0.953333,0.006666,240,0.8955,0.2234,8.349038
9,270,30,338.13,0.0008,0.9766,0.264547,0.175249,0.2442,0.121,0.43,0.955,0.8705,0.111546,0.925,0.015,0.42,0.973333,0.891704,0.116653,0.953333,0.006667,246,0.9111,0.2234,8.105305
10,285,15,353.98,0.0015,0.9766,0.247969,0.179411,0.242,0.1189,0.2,0.95,0.861,0.120864,0.925,0.015,0.213333,0.966667,0.881637,0.126288,0.953333,0.006667,257,0.9018,0.2234,8.746627
11,279,21,352.24,0.0012,0.9774,0.269583,0.187466,0.2473,0.124,0.225,0.95,0.871075,0.118907,0.925,0.015,0.28,0.966667,0.891995,0.122515,0.953333,0.006667,257,0.9211,0.2234,8.271206
