generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,252,48,792.26,0.0019,0.4823,0.115014,0.106469,0.1005,0.05225,0.0014,0.5041,0.086338,0.088379,0.0531,0.04595,0.0021,0.9741,0.149699,0.197426,0.11495,0.0643,0.0013,0.5372,0.116348,0.10771,0.0973,0.04565,0.0002,0.5868,0.105785,0.101166,0.08575,0.0471,0.0006,0.5877,0.123157,0.124559,0.09135,0.04045,0.0049,0.5738,0.152358,0.149467,0.12045,0.06395,0.0013,0.6202,0.151301,0.150499,0.1213,0.06445,228,0.9048,1.0479,14.448515
1,248,52,317.25,0.0025,0.4939,0.113988,0.130364,0.06335,0.0502,0.0013,0.5041,0.094511,0.097335,0.06875,0.05195,0.0023,0.9741,0.14269,0.186624,0.09085,0.0432,0.0018,0.6196,0.127061,0.136793,0.08505,0.0584,0.0002,0.6141,0.118371,0.134823,0.0801,0.0449,0.0006,0.6287,0.124333,0.142703,0.08,0.04765,0.0016,0.6099,0.138782,0.153251,0.0871,0.0615,0.0013,0.6196,0.140265,0.152498,0.0882,0.0615,224,0.9032,1.045,13.46396
2,274,26,340.82,0.0022,0.4939,0.092722,0.117295,0.04755,0.04025,0.0009,0.5155,0.093003,0.111343,0.0653,0.05645,0.0018,0.9754,0.17442,0.231818,0.11055,0.0579,0.0008,0.6219,0.120661,0.147715,0.0756,0.055,0.0001,0.6141,0.111673,0.12848,0.08145,0.0497,0.0006,0.6035,0.133741,0.147341,0.1142,0.0599,0.0019,0.6099,0.127602,0.154926,0.0721,0.05405,0.0013,0.7012,0.146179,0.167897,0.1191,0.09035,244,0.8905,1.0446,13.071011
3,269,31,344.4,0.0018,0.4921,0.087478,0.102054,0.0509,0.0433,0.0016,0.4871,0.097792,0.110318,0.0552,0.0499,0.0018,0.9752,0.176,0.236607,0.0955,0.0581,0.0008,0.6257,0.120422,0.145487,0.0718,0.0574,0.0001,0.7031,0.130088,0.147926,0.1018,0.0578,0.0006,0.6571,0.125104,0.144161,0.0819,0.0555,0.0019,0.5927,0.128001,0.149583,0.0725,0.0554,0.0013,0.6238,0.135115,0.157581,0.0742,0.0578,246,0.9145,1.0446,12.920772
4,291,9,377.55,0.0017,0.4909,0.088548,0.099309,0.049,0.042,0.0013,0.7037,0.083832,0.098585,0.0466,0.0418,0.0013,0.9752,0.166139,0.204422,0.122,0.0693,0.0008,0.6143,0.118804,0.133333,0.1091,0.0689,0.0001,0.715,0.145972,0.179317,0.1176,0.0702,0.0006,0.6632,0.123051,0.153899,0.0807,0.048,0.0013,0.7058,0.14561,0.166414,0.1095,0.0769,0.0013,0.5963,0.128044,0.149679,0.1028,0.0614,265,0.9107,1.0446,12.695146
5,274,26,341.78,0.0016,0.499,0.087358,0.095474,0.04655,0.0378,0.001,0.7097,0.100227,0.141099,0.04465,0.03445,0.0025,0.9752,0.14882,0.20844,0.0772,0.047,0.0009,0.6615,0.118747,0.149519,0.04455,0.0357,0.0001,0.7211,0.156023,0.193121,0.1146,0.072,0.0007,0.7104,0.120368,0.148621,0.05415,0.04945,0.002,0.712,0.142569,0.182354,0.05595,0.04975,0.0014,0.7083,0.125887,0.155434,0.0688,0.05435,242,0.8832,1.044,12.991153
6,279,21,387.6,0.0022,0.6952,0.093776,0.115449,0.0463,0.0293,0.0012,0.7174,0.101289,0.147353,0.0447,0.0334,0.0033,0.9752,0.154215,0.207227,0.0745,0.0472,0.0014,0.6407,0.116656,0.144793,0.0465,0.0387,0.0001,0.7277,0.156341,0.200398,0.0739,0.0516,0.001,0.7158,0.111024,0.138976,0.0495,0.0429,0.0037,0.7147,0.149595,0.191975,0.0696,0.0507,0.0014,0.7083,0.117104,0.14735,0.051,0.0402,262,0.9391,1.0428,13.345889
7,284,16,386.46,0.0022,0.7204,0.127986,0.19638,0.0437,0.0327,0.0011,0.7064,0.083245,0.123218,0.04185,0.02945,0.0024,0.9752,0.160233,0.224108,0.0687,0.0451,0.0034,0.6462,0.09752,0.120531,0.04195,0.02995,0.0001,0.7315,0.174436,0.22444,0.09205,0.05115,0.0008,0.8411,0.122074,0.170038,0.0488,0.0411,0.0031,0.7133,0.130982,0.176631,0.0449,0.03155,0.0011,0.7079,0.103524,0.128839,0.0436,0.0323,252,0.8873,1.0428,13.086764
8,289,11,423.34,0.0032,0.7193,0.087175,0.126963,0.0416,0.0298,0.0006,0.7355,0.090943,0.129201,0.0423,0.0304,0.0068,0.9716,0.146848,0.182006,0.0912,0.0523,0.0025,0.7213,0.114162,0.143839,0.0459,0.0347,0.0003,0.7325,0.160689,0.201239,0.1187,0.0779,0.0005,0.8411,0.13061,0.166556,0.0549,0.0521,0.0053,0.7265,0.149939,0.188272,0.0776,0.0477,0.0018,0.8336,0.119635,0.159667,0.0476,0.0365,263,0.91,1.0396,13.405217
9,298,2,404.1,0.0021,0.7321,0.104638,0.168821,0.0402,0.028,0.0007,0.7355,0.100834,0.154707,0.03955,0.02875,0.0038,0.9716,0.155382,0.220456,0.0485,0.03585,0.0012,0.7329,0.124031,0.167302,0.0418,0.0321,0.0003,0.8527,0.150068,0.210537,0.0648,0.0537,0.0005,0.8585,0.115986,0.168136,0.0436,0.0348,0.0023,0.7357,0.122522,0.178008,0.0418,0.03115,0.0013,0.8406,0.126539,0.175051,0.0422,0.0321,255,0.8557,1.0265,13.282579
