generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,238,62,742.21,0.0029,0.887,0.220542,0.136883,0.2341,0.08945,0.0,0.915,0.582122,0.330165,0.79,0.0625,0.0,0.953333,0.595546,0.337298,0.806666,0.073333,195,0.8193,2.213,12.260298
1,236,64,307.03,0.0018,0.9065,0.308801,0.243111,0.24925,0.11905,0.0,0.915,0.680508,0.214299,0.7775,0.0875,0.0,0.953333,0.697938,0.216216,0.8,0.09,200,0.8475,0.97,10.31908
2,238,62,288.32,0.0018,0.9342,0.337166,0.239277,0.25205,0.20145,0.0,0.93,0.716765,0.224729,0.805,0.08,0.0,0.953333,0.745378,0.224585,0.84,0.073333,191,0.8025,0.9477,8.120733
3,236,64,290.15,0.002,0.939,0.347326,0.25802,0.2501,0.232,0.0,0.925,0.754004,0.170576,0.8075,0.0775,0.0,0.953333,0.783813,0.17036,0.84,0.073333,200,0.8475,0.9477,7.443776
4,249,51,324.58,0.0038,0.9396,0.335166,0.23982,0.2512,0.1853,0.0,0.95,0.733153,0.174718,0.79,0.095,0.0,0.96,0.759786,0.178054,0.833333,0.08,228,0.9157,0.7604,8.366761
5,258,42,326.7,0.0026,0.9464,0.327826,0.257907,0.2439,0.16755,0.0,0.925,0.709089,0.199046,0.7675,0.1175,0.0,0.953333,0.737959,0.201923,0.81,0.103333,237,0.9186,0.5336,8.498841
6,255,45,325.04,0.0021,0.9497,0.413787,0.354215,0.2499,0.2289,0.0,0.915,0.751529,0.166459,0.82,0.06,0.0,0.953333,0.780105,0.162952,0.853333,0.046667,215,0.8431,0.5303,7.898213
7,273,27,336.58,0.0028,0.9497,0.347349,0.273635,0.2511,0.1733,0.0,0.93,0.754249,0.191226,0.825,0.055,0.073333,0.946667,0.78083,0.187602,0.86,0.046667,234,0.8571,0.5303,9.218218
8,279,21,354.82,0.0013,0.9514,0.403012,0.336927,0.2531,0.2079,0.035,0.93,0.755771,0.179154,0.825,0.055,0.106667,0.96,0.783178,0.171695,0.86,0.04,244,0.8746,0.5286,8.240572
9,287,13,371.16,0.0011,0.9514,0.25578,0.259101,0.1296,0.0851,0.08,0.955,0.781672,0.171653,0.87,0.04,0.153333,0.973333,0.806481,0.170954,0.9,0.04,250,0.8711,0.5286,10.119272
10,297,3,382.3,0.0015,0.9514,0.282331,0.236235,0.2091,0.1088,0.0,0.95,0.810741,0.179936,0.88,0.06,0.0,0.973333,0.836453,0.178011,0.9,0.066667,257,0.8653,0.5286,10.094572
11,298,2,386.19,0.0009,0.9514,0.318258,0.244517,0.25235,0.14465,0.1,0.945,0.809497,0.153738,0.88,0.035,0.173333,0.973333,0.834206,0.152694,0.9,0.033333,269,0.9027,0.5286,8.926977
12,299,1,390.85,0.0005,0.9514,0.297859,0.235481,0.2426,0.1215,0.0,0.95,0.801589,0.188825,0.88,0.055,0.0,0.973333,0.825797,0.190169,0.9,0.06,271,0.9064,0.5286,9.728764
13,299,1,397.18,0.0003,0.9514,0.280524,0.246683,0.2273,0.1226,0.0,0.95,0.788043,0.19764,0.88,0.05,0.02,0.973333,0.811817,0.196792,0.9,0.06,277,0.9264,0.3713,9.996466
14,300,0,384.92,0.0,0.9516,0.411353,0.353967,0.27905,0.2433,0.0,0.95,0.799633,0.187585,0.88,0.04,0.0,0.973333,0.826445,0.18422,0.9,0.046667,253,0.8433,0.3684,7.82638
15,300,0,392.71,0.0,0.9564,0.385155,0.34514,0.24845,0.2222,0.0,0.95,0.8102,0.181982,0.91,0.02,0.006667,0.973333,0.837311,0.177842,0.94,0.02,253,0.8433,0.3036,8.175245
16,299,1,404.64,0.0,0.9702,0.371344,0.335563,0.2477,0.2055,0.0,0.95,0.820067,0.176845,0.915,0.02,0.053333,0.973333,0.846511,0.172954,0.946667,0.02,266,0.8896,0.2898,8.305244
17,297,3,395.83,0.0,0.9702,0.404828,0.34684,0.2522,0.2041,0.025,0.95,0.842256,0.14989,0.92,0.02,0.1,0.973333,0.867205,0.14948,0.946667,0.013334,267,0.899,0.2898,7.690795
18,296,4,408.05,0.0001,0.9702,0.354128,0.3218,0.2432,0.1952,0.0,0.95,0.822652,0.173876,0.92,0.02,0.0,0.973333,0.84732,0.175636,0.946667,0.026666,276,0.9324,0.2898,8.490196
19,298,2,401.47,0.0004,0.9726,0.414702,0.35119,0.259,0.22105,0.05,0.95,0.838138,0.172921,0.92,0.015,0.12,0.973333,0.866242,0.168831,0.96,0.013333,271,0.9094,0.2874,7.709258
20,299,1,399.49,0.0001,0.9726,0.35716,0.338324,0.2304,0.2009,0.0,0.96,0.823863,0.189158,0.92,0.02,0.0,0.973333,0.849855,0.190262,0.953333,0.02,282,0.9431,0.2874,8.609127
21,298,2,384.6,0.0002,0.9726,0.323404,0.28313,0.2419,0.2012,0.0,0.955,0.818272,0.213438,0.9275,0.0175,0.0,0.973333,0.843087,0.213982,0.96,0.013333,264,0.8859,0.2874,8.832838
22,299,1,389.37,0.0007,0.974,0.315913,0.265886,0.2423,0.1611,0.0,0.95,0.813562,0.229653,0.93,0.015,0.0,0.973333,0.837101,0.227026,0.96,0.013333,273,0.913,0.2774,8.926227
23,299,1,360.56,0.001,0.974,0.478594,0.367582,0.3595,0.2935,0.115,0.95,0.85194,0.158167,0.93,0.01,0.22,0.973333,0.877614,0.157226,0.96,0.006667,242,0.8094,0.2774,6.765821
24,300,0,408.1,0.0002,0.9726,0.355438,0.322924,0.24225,0.16805,0.0,0.95,0.82185,0.176882,0.925,0.02,0.0,0.973333,0.844756,0.177188,0.96,0.013333,265,0.8833,0.2369,8.559428
25,300,0,381.11,0.0,0.9729,0.411188,0.343462,0.24905,0.15575,0.105,0.955,0.847883,0.156495,0.935,0.01,0.193333,0.973333,0.870444,0.158482,0.96,0.013333,258,0.86,0.2348,7.730612
26,300,0,409.82,0.0002,0.9652,0.381051,0.324667,0.246,0.1409,0.0,0.95,0.817267,0.194209,0.93,0.02,0.0,0.973333,0.840289,0.193697,0.96,0.013333,268,0.8933,0.2348,8.254082
27,300,0,381.64,0.001,0.9652,0.410357,0.339238,0.251,0.166,0.0,0.955,0.845183,0.165955,0.935,0.015,0.006667,0.973333,0.8664,0.167905,0.966667,0.006666,258,0.86,0.2348,7.843843
