generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,254,46,764.47,0.0058,0.4946,0.178396,0.146254,0.12895,0.1072,0.0,0.93,0.50315,0.20099,0.535,0.125,0.0,0.96,0.5379,0.209487,0.563334,0.14,219,0.8622,4.8654,12.794202
1,295,5,388.93,0.0057,0.4946,0.15602,0.115114,0.1254,0.0048,0.0,0.94,0.714,0.219951,0.775,0.13,0.0,0.973333,0.744316,0.220359,0.78,0.133333,261,0.8847,1.131,11.862488
2,295,5,382.69,0.0038,0.5051,0.256829,0.193258,0.1389,0.1139,0.0,0.94,0.564814,0.324675,0.725,0.12,0.0,0.96,0.590893,0.336712,0.733333,0.153334,233,0.7898,1.1105,8.973747
3,299,1,373.54,0.0044,0.4993,0.27076,0.189807,0.1297,0.1194,0.0,0.945,0.724967,0.198716,0.835,0.055,0.0,0.973333,0.75233,0.208572,0.866667,0.06,235,0.786,1.1014,8.168705
4,300,0,372.91,0.0016,0.4986,0.177255,0.137432,0.1251,0.0031,0.0,0.945,0.762283,0.199703,0.845,0.075,0.0,0.973333,0.789022,0.206569,0.886667,0.073333,253,0.8433,1.1014,10.517678
5,300,0,361.39,0.0032,0.4986,0.201534,0.14969,0.12805,0.05635,0.0,0.94,0.735433,0.224349,0.845,0.045,0.0,0.973333,0.762933,0.233709,0.886667,0.04,216,0.72,1.044,10.290333
6,300,0,365.58,0.0035,0.4989,0.16998,0.12517,0.1256,0.00255,0.0,0.94,0.773717,0.19766,0.845,0.095,0.0,0.973333,0.800844,0.201598,0.886667,0.086666,231,0.77,1.044,10.737487
7,300,0,383.12,0.0022,0.4989,0.279886,0.193571,0.1301,0.12155,0.0,0.94,0.706467,0.194492,0.795,0.055,0.0,0.973333,0.736511,0.203025,0.843333,0.063333,225,0.75,1.044,8.133314
8,300,0,363.04,0.0006,0.4989,0.184955,0.146832,0.1257,0.00325,0.0,0.955,0.783817,0.17827,0.8475,0.0675,0.0,0.973333,0.812822,0.185987,0.886667,0.066666,243,0.81,1.044,10.150645
9,300,0,362.76,0.0023,0.4986,0.218605,0.141795,0.24555,0.1183,0.0,0.945,0.814867,0.169811,0.875,0.06,0.0,0.973333,0.837244,0.173977,0.9,0.06,195,0.65,1.0427,10.093929
