generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,277,23,810.79,0.0069,0.5175,0.163806,0.108864,0.1264,0.0364,0.0,0.915,0.525108,0.309869,0.69,0.09,0.0,0.953333,0.547485,0.321014,0.7,0.093333,230,0.8303,1.8906,12.719443
1,257,43,303.71,0.0085,0.4894,0.209081,0.125674,0.1547,0.0613,0.0,0.915,0.78463,0.168128,0.865,0.04,0.0,0.953333,0.812244,0.177362,0.913333,0.026666,171,0.6654,1.8906,10.850685
2,284,16,360.59,0.0036,0.4894,0.18849,0.120272,0.127,0.0284,0.0,0.915,0.742606,0.189963,0.855,0.05,0.0,0.953333,0.762207,0.196452,0.886667,0.05,210,0.7394,1.8906,11.529538
3,280,20,349.23,0.0026,0.4894,0.191249,0.119435,0.1282,0.0349,0.0,0.93,0.7425,0.207287,0.875,0.035,0.0,0.96,0.761857,0.217523,0.9,0.033333,226,0.8071,1.8906,11.548394
4,280,20,342.77,0.0083,0.5466,0.188309,0.127052,0.1299,0.01815,0.0,0.92,0.752696,0.199978,0.855,0.06,0.0,0.953333,0.773191,0.204396,0.893333,0.053334,227,0.8107,1.8906,11.339691
5,292,8,386.95,0.0026,0.5614,0.192455,0.130618,0.1286,0.02825,0.0,0.93,0.698219,0.261571,0.8525,0.0625,0.0,0.96,0.723333,0.261236,0.876667,0.076666,258,0.8836,1.8906,11.275764
6,295,5,376.51,0.0068,0.5635,0.200386,0.141763,0.1296,0.0732,0.0,0.92,0.662339,0.266805,0.78,0.125,0.0,0.953333,0.687187,0.265748,0.78,0.146667,265,0.8983,1.8906,11.139342
7,295,5,386.91,0.0061,0.5697,0.200994,0.131059,0.1307,0.0459,0.0,0.92,0.698169,0.256842,0.84,0.07,0.0,0.953333,0.724565,0.257289,0.866667,0.08,278,0.9424,1.8906,11.237582
8,290,10,364.87,0.0049,0.5564,0.200734,0.14266,0.1295,0.07935,0.0,0.92,0.652448,0.27812,0.8025,0.115,0.0,0.953333,0.679885,0.277745,0.83,0.116667,260,0.8966,1.8906,11.198231
9,286,14,359.24,0.0019,0.4894,0.187617,0.119065,0.13035,0.04885,0.0,0.925,0.732937,0.232831,0.86,0.045,0.0,0.953333,0.757413,0.235312,0.886667,0.04,256,0.8951,1.8906,11.280495
10,282,18,361.84,0.0075,0.5566,0.190508,0.122453,0.1281,0.0549,0.0,0.925,0.718138,0.231718,0.8425,0.0625,0.0,0.953333,0.739409,0.234978,0.866667,0.08,249,0.883,1.8906,11.375449
11,291,9,359.5,0.0025,0.5566,0.196188,0.137619,0.1291,0.0554,0.0,0.925,0.669192,0.287484,0.86,0.055,0.0,0.953333,0.696403,0.287671,0.886667,0.06,258,0.8866,1.8906,11.296801
12,286,14,393.52,0.0025,0.5566,0.186296,0.126478,0.1298,0.06275,0.0,0.92,0.68521,0.270684,0.8525,0.0575,0.0,0.953333,0.711842,0.271121,0.88,0.06,267,0.9336,1.8906,11.472375
13,286,14,369.67,0.0038,0.5566,0.19069,0.133863,0.1296,0.0643,0.0,0.925,0.67257,0.278217,0.825,0.08,0.0,0.953333,0.699114,0.277241,0.853333,0.086666,264,0.9231,1.8906,11.374974
14,290,10,376.58,0.0023,0.5584,0.182422,0.123155,0.1286,0.0651,0.0,0.925,0.657534,0.305726,0.8525,0.0575,0.0,0.953333,0.684161,0.307125,0.88,0.06,270,0.931,1.8906,11.696475
