generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,258,42,767.12,0.0095,0.4786,0.127876,0.033507,0.1255,0.00245,0.0,0.94,0.773779,0.193755,0.785,0.0,0.0,0.973333,0.780284,0.199749,0.773333,0.0,194,0.7519,11.0299,11.854062
1,258,42,293.9,0.001,0.2544,0.131783,0.037798,0.1255,0.003,0.0,0.94,0.870581,0.130221,0.915,0.005,0.0,0.973333,0.895323,0.14008,0.946667,0.006666,210,0.814,11.0256,11.446821
2,262,38,293.01,0.0009,0.2568,0.140069,0.053193,0.1256,0.0035,0.145,0.94,0.89624,0.07119,0.915,0.01,0.186667,0.973333,0.924758,0.077752,0.946667,0.006666,219,0.8359,11.0256,11.274969
3,267,33,301.19,0.001,0.3129,0.157447,0.071417,0.1277,0.0105,0.0,0.94,0.881086,0.111832,0.915,0.015,0.0,0.973333,0.907316,0.117209,0.953333,0.006666,227,0.8502,11.0245,11.341954
4,267,33,325.86,0.0006,0.2597,0.15609,0.082563,0.128,0.0893,0.0,0.95,0.90264,0.076848,0.92,0.01,0.0,0.973333,0.929388,0.083453,0.953333,0.0,213,0.7978,10.9471,11.237993
5,266,34,335.26,0.0006,0.3705,0.163231,0.081863,0.12795,0.10075,0.0,0.95,0.891842,0.098071,0.92,0.01,0.0,0.973333,0.916842,0.107705,0.953333,0.0,208,0.782,10.9471,11.316167
6,272,28,341.7,0.0007,0.3705,0.160031,0.084178,0.1277,0.08525,0.385,0.95,0.900809,0.07111,0.915,0.015,0.406667,0.973333,0.926887,0.076687,0.953333,0.0,212,0.7794,10.9453,11.236733
7,274,26,333.99,0.0008,0.4953,0.168807,0.080367,0.12775,0.05015,0.0,0.95,0.895456,0.08283,0.915,0.015,0.0,0.973333,0.921265,0.089864,0.953333,0.0,224,0.8175,0.7447,11.21747
8,267,33,312.6,0.0008,0.4953,0.168202,0.085251,0.1281,0.093,0.435,0.95,0.887266,0.094321,0.915,0.015,0.426667,0.973333,0.911635,0.100749,0.953333,0.006666,229,0.8577,0.7447,11.207828
9,259,41,318.34,0.0004,0.5346,0.166929,0.104447,0.1269,0.1155,0.0,0.955,0.877008,0.124056,0.925,0.015,0.0,0.973333,0.900206,0.129352,0.953333,0.02,222,0.8571,0.7447,11.060253
10,274,26,354.41,0.0008,0.5302,0.185934,0.115689,0.12965,0.08445,0.0,0.955,0.866131,0.143379,0.9225,0.0175,0.0,0.973333,0.888929,0.149844,0.953333,0.02,243,0.8869,0.7447,10.731803
11,268,32,312.92,0.0008,0.4968,0.209663,0.137603,0.23775,0.11115,0.0,0.955,0.881399,0.12003,0.925,0.015,0.0,0.973333,0.903109,0.127824,0.953333,0.02,232,0.8657,0.7441,10.040262
12,276,24,345.98,0.0007,0.8253,0.221894,0.14255,0.2371,0.1108,0.385,0.955,0.881993,0.104747,0.925,0.015,0.406667,0.973333,0.903816,0.112647,0.953333,0.02,246,0.8913,0.7441,9.764628
13,285,15,347.85,0.0012,0.8253,0.246119,0.160811,0.2431,0.1172,0.365,0.955,0.886298,0.102638,0.925,0.015,0.373333,0.973333,0.908421,0.110249,0.953333,0.006667,244,0.8561,0.7403,8.963074
14,293,7,359.32,0.0012,0.9753,0.249062,0.164656,0.2441,0.1196,0.185,0.955,0.864488,0.130354,0.915,0.025,0.2,0.973333,0.884915,0.139472,0.946667,0.013333,260,0.8874,0.2247,9.074556
15,295,5,360.45,0.0015,0.9753,0.272355,0.183339,0.2469,0.1265,0.305,0.955,0.880695,0.11327,0.925,0.015,0.373333,0.973333,0.902192,0.119021,0.953333,0.006667,257,0.8712,0.2247,8.12012
