generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,257,43,779.75,0.0015,0.6076,0.165258,0.109888,0.1272,0.0746,0.0,0.94,0.548249,0.385703,0.79,0.105,0.0,0.973333,0.568612,0.395638,0.833333,0.093334,222,0.8638,8.4524,13.607583
1,258,42,355.12,0.0011,0.6326,0.18704,0.150091,0.1283,0.0951,0.0,0.94,0.516492,0.387104,0.735,0.15,0.0,0.973333,0.535917,0.397159,0.753333,0.16,233,0.9031,2.1286,13.20079
2,298,2,420.72,0.0026,0.6391,0.200597,0.187607,0.12475,0.10165,0.0,0.94,0.414295,0.376563,0.4125,0.4125,0.0,0.973333,0.432483,0.386956,0.42,0.42,270,0.906,1.8547,13.906248
3,294,6,407.44,0.0039,0.6301,0.223132,0.200732,0.12665,0.1128,0.0,0.935,0.427585,0.375074,0.545,0.315,0.0,0.953333,0.446145,0.385062,0.546667,0.333333,268,0.9116,0.9811,13.539862
4,300,0,373.42,0.0018,0.6048,0.267284,0.230446,0.1817,0.17655,0.0,0.915,0.656683,0.26942,0.78,0.08,0.0,0.953333,0.686956,0.269893,0.826667,0.06,236,0.7867,0.9385,9.11765
5,300,0,372.34,0.0015,0.6449,0.189165,0.194622,0.1255,0.11775,0.0,0.925,0.7473,0.220851,0.845,0.025,0.0,0.953333,0.776444,0.225457,0.88,0.03,244,0.8133,0.9151,10.576768
6,300,0,357.61,0.001,0.6449,0.232651,0.179548,0.24095,0.11625,0.0,0.93,0.810167,0.193606,0.905,0.015,0.0,0.953333,0.839222,0.198382,0.933333,0.02,202,0.6733,0.9151,10.169082
7,300,0,374.85,0.0011,0.647,0.211101,0.16248,0.1635,0.08275,0.0,0.93,0.81315,0.190986,0.905,0.015,0.0,0.953333,0.841378,0.190531,0.93,0.023333,230,0.7667,0.913,10.634233
8,300,0,400.75,0.0011,0.647,0.196125,0.155476,0.1295,0.1116,0.0,0.93,0.8135,0.183296,0.905,0.015,0.0,0.953333,0.839245,0.188207,0.94,0.013333,262,0.8733,0.913,10.884408
9,300,0,368.22,0.0009,0.8984,0.20896,0.167631,0.18255,0.06485,0.0,0.93,0.819117,0.191526,0.91,0.01,0.0,0.953333,0.8466,0.19382,0.946667,0.006666,248,0.8267,0.6816,10.69624
10,300,0,385.99,0.0008,0.9429,0.249574,0.256359,0.183,0.0654,0.0,0.93,0.8179,0.170441,0.905,0.02,0.0,0.953333,0.849111,0.171467,0.936666,0.016667,250,0.8333,0.6438,10.254559
11,300,0,386.3,0.0016,0.9169,0.250894,0.252643,0.2173,0.09185,0.0,0.93,0.833733,0.155481,0.905,0.015,0.0,0.953333,0.865467,0.156225,0.94,0.013333,245,0.8167,0.6031,10.222973
12,300,0,382.61,0.0013,0.971,0.237247,0.23335,0.2336,0.10655,0.0,0.93,0.836183,0.166672,0.91,0.01,0.0,0.96,0.866533,0.170399,0.946667,0.006667,255,0.85,0.509,10.470486
13,300,0,391.66,0.0011,0.971,0.283394,0.277882,0.23205,0.1079,0.0,0.935,0.792783,0.197897,0.87,0.05,0.0,0.966667,0.826178,0.202507,0.906667,0.046667,245,0.8167,0.509,10.037606
14,300,0,405.06,0.0011,0.971,0.322471,0.317083,0.2307,0.2102,0.0,0.94,0.76305,0.203316,0.855,0.05,0.0,0.966667,0.796822,0.209154,0.9,0.046667,270,0.9,0.509,9.508196
15,300,0,412.47,0.0019,0.9758,0.285681,0.280686,0.2288,0.19785,0.0,0.945,0.755767,0.203818,0.86,0.06,0.0,0.966667,0.789156,0.208284,0.9,0.053333,279,0.93,0.2442,10.165453
16,300,0,403.37,0.0022,0.9792,0.419177,0.338525,0.2489,0.17375,0.0,0.955,0.873867,0.113372,0.925,0.02,0.0,0.973333,0.890156,0.121291,0.946667,0.013333,205,0.6833,0.2408,7.35389
17,300,0,389.65,0.0015,0.9796,0.368976,0.276974,0.2515,0.2292,0.48,0.955,0.88405,0.092695,0.925,0.02,0.44,0.973333,0.9026,0.100235,0.946667,0.02,231,0.77,0.2404,6.928158
18,300,0,401.34,0.0029,0.9797,0.418442,0.347874,0.2485,0.12975,0.455,0.955,0.870217,0.108941,0.92,0.025,0.44,0.973333,0.887489,0.117863,0.946667,0.013333,235,0.7833,0.2403,7.600691
19,300,0,387.23,0.0019,0.9797,0.355213,0.277905,0.2511,0.229,0.475,0.95,0.87895,0.099202,0.925,0.02,0.44,0.973333,0.897844,0.106394,0.946667,0.013334,248,0.8267,0.2403,7.16232
20,300,0,356.55,0.0028,0.9801,0.477177,0.360458,0.33055,0.2037,0.475,0.96,0.871183,0.109618,0.925,0.02,0.446667,0.966667,0.886489,0.117209,0.946667,0.013333,226,0.7533,0.2399,6.804757
21,300,0,391.69,0.0021,0.9801,0.441481,0.354833,0.2505,0.1319,0.0,0.95,0.869867,0.120547,0.925,0.02,0.0,0.973333,0.886089,0.127645,0.946667,0.013333,242,0.8067,0.2223,7.316719
