generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
30,300,0,399.74,0.0003,0.9714,0.1029,0.171327,0.05415,0.04915,0.0002,0.9762,0.14949,0.245581,0.07385,0.0631,0.0015,0.9761,0.160744,0.255371,0.0956,0.0809,0.0007,0.9741,0.133911,0.215401,0.0733,0.0618,0.0002,0.9296,0.100398,0.154351,0.06495,0.05905,0.0001,0.926,0.109032,0.17079,0.07025,0.05865,0.0004,0.9753,0.12741,0.1928,0.0842,0.07165,0.0003,0.9736,0.116117,0.177714,0.0677,0.0592,279,0.93,0.6464,12.700083
31,300,0,399.11,0.0003,0.9768,0.101384,0.182275,0.012,0.011,0.0001,0.9762,0.121735,0.202712,0.0406,0.0404,0.0003,0.9785,0.14037,0.242272,0.0234,0.0224,0.0001,0.9761,0.137967,0.236354,0.0437,0.0423,0.0001,0.9774,0.114894,0.204657,0.02455,0.02425,0.0002,0.9737,0.133157,0.229146,0.0409,0.04035,0.0002,0.9765,0.11036,0.194261,0.0137,0.0133,0.0001,0.9736,0.140133,0.241522,0.04585,0.0451,264,0.88,0.6464,11.763734
32,300,0,382.06,0.0002,0.9758,0.10547,0.191407,0.0128,0.0114,0.0002,0.9762,0.12302,0.215224,0.013,0.0128,0.0001,0.9766,0.175622,0.28909,0.06785,0.06305,0.0001,0.9737,0.118094,0.206053,0.01295,0.01265,0.0001,0.9774,0.115906,0.20475,0.0153,0.015,0.0001,0.9757,0.147059,0.250303,0.0245,0.0243,0.0001,0.9772,0.117119,0.211942,0.01315,0.01275,0.0001,0.9736,0.097711,0.186172,0.0094,0.0089,265,0.8833,0.6298,12.013222
33,300,0,379.75,0.0001,0.976,0.140593,0.245894,0.01975,0.01945,0.0001,0.9786,0.12355,0.222773,0.01255,0.01235,0.0001,0.9757,0.164373,0.26353,0.0655,0.0615,0.0002,0.9747,0.127169,0.219506,0.0527,0.0522,0.0001,0.9774,0.123863,0.230103,0.0122,0.0119,0.0002,0.9768,0.10955,0.211887,0.0087,0.0084,0.0,0.9765,0.125744,0.231507,0.01395,0.01375,0.0002,0.9748,0.085159,0.170586,0.00895,0.00855,268,0.8933,0.4452,12.056708
34,300,0,379.88,0.0,0.976,0.12983,0.224115,0.0351,0.0348,0.0,0.9776,0.109663,0.185769,0.03245,0.03195,0.0001,0.977,0.155948,0.251405,0.0663,0.0619,0.0001,0.9752,0.123451,0.19575,0.0454,0.045,0.0002,0.9774,0.114064,0.197979,0.031,0.0307,0.0003,0.9759,0.124031,0.224115,0.0293,0.0288,0.0001,0.9768,0.12297,0.200672,0.03525,0.03485,0.0001,0.9757,0.120044,0.196072,0.0367,0.0363,267,0.89,0.4452,11.735023
35,300,0,391.01,0.0,0.9768,0.102487,0.183044,0.01605,0.01575,0.0,0.9765,0.111533,0.190245,0.01815,0.01795,0.0,0.9765,0.155506,0.256051,0.05255,0.05215,0.0001,0.9765,0.154267,0.238304,0.07225,0.06695,0.0001,0.9778,0.114529,0.213831,0.01065,0.01035,0.0001,0.9766,0.10077,0.192444,0.01135,0.0109,0.0001,0.9768,0.124093,0.215384,0.0195,0.0193,0.0001,0.9768,0.136815,0.230987,0.0638,0.0614,273,0.91,0.4432,11.711851
36,300,0,375.24,0.0,0.9768,0.139161,0.246107,0.03075,0.03055,0.0,0.9768,0.091979,0.148213,0.0173,0.0171,0.0,0.9782,0.15286,0.238718,0.0762,0.0701,0.0,0.975,0.127625,0.196148,0.06645,0.06175,0.0001,0.9762,0.091306,0.178347,0.0094,0.0089,0.0,0.9771,0.115859,0.206428,0.0152,0.0148,0.0001,0.9773,0.112298,0.19147,0.01745,0.01705,0.0001,0.9768,0.168912,0.263994,0.0771,0.0727,261,0.87,0.4432,11.462422
37,300,0,377.76,0.0,0.9772,0.111161,0.204142,0.02275,0.0225,0.0,0.9762,0.105128,0.187697,0.0232,0.0229,0.0,0.9796,0.163,0.259973,0.06115,0.06045,0.0001,0.9778,0.137335,0.236319,0.02,0.0198,0.0002,0.9762,0.107134,0.199464,0.0103,0.01,0.0001,0.9766,0.11259,0.211559,0.0127,0.0123,0.0001,0.9773,0.144975,0.249895,0.0328,0.0324,0.0001,0.9773,0.118677,0.204585,0.0154,0.01505,264,0.88,0.4432,11.907456
38,300,0,393.11,0.0001,0.9772,0.123719,0.22647,0.01325,0.01305,0.0,0.9776,0.113444,0.205782,0.01025,0.0099,0.0,0.9778,0.142301,0.240155,0.0357,0.0356,0.0001,0.9778,0.116055,0.201822,0.01505,0.01475,0.0001,0.9762,0.103797,0.192775,0.00965,0.00925,0.0,0.9782,0.106659,0.188624,0.013,0.0126,0.0,0.9757,0.116084,0.184737,0.0211,0.0209,0.0001,0.9772,0.17794,0.281934,0.0739,0.0691,273,0.91,0.4432,10.67066
39,300,0,389.61,0.0001,0.9772,0.092457,0.164306,0.0156,0.01525,0.0001,0.9785,0.09388,0.170329,0.01775,0.01735,0.0,0.9774,0.149289,0.240842,0.07555,0.06945,0.0002,0.9778,0.141933,0.230951,0.06895,0.06285,0.0,0.976,0.110559,0.200814,0.01595,0.01555,0.0001,0.9782,0.113744,0.205844,0.0213,0.02095,0.0001,0.9754,0.135767,0.219274,0.0682,0.06205,0.0,0.9773,0.162371,0.247741,0.12135,0.1139,273,0.91,0.4432,11.032495
