generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,242,58,728.52,0.0025,0.5245,0.125388,0.037257,0.12465,0.00275,0.0,0.935,0.782087,0.16843,0.785,0.0,0.0,0.96,0.784849,0.175846,0.766667,0.0,184,0.7603,2.5755,11.748745
1,258,42,310.22,0.0016,0.5276,0.125903,0.041696,0.1247,0.0028,0.0,0.935,0.840581,0.15588,0.915,0.0,0.0,0.96,0.862946,0.168316,0.946667,0.006666,203,0.7868,2.5724,11.476655
2,262,38,292.68,0.0015,0.5276,0.133947,0.059043,0.1258,0.0027,0.0,0.94,0.865935,0.13434,0.915,0.0,0.0,0.973333,0.894249,0.144802,0.953333,0.0,193,0.7366,2.5724,11.295824
3,257,43,293.41,0.0019,0.5351,0.131931,0.064434,0.1255,0.0033,0.0,0.94,0.84321,0.184019,0.915,0.01,0.0,0.973333,0.870013,0.191075,0.953333,0.006667,211,0.821,2.3049,11.38768
4,267,33,310.66,0.0012,0.5351,0.13333,0.065884,0.1255,0.0029,0.0,0.94,0.831667,0.19488,0.915,0.015,0.0,0.973333,0.854057,0.203888,0.946667,0.013333,242,0.9064,2.3049,11.443149
5,271,29,335.31,0.0004,0.5351,0.141328,0.078151,0.1259,0.003,0.0,0.955,0.775387,0.256328,0.915,0.025,0.0,0.973333,0.794883,0.264776,0.946667,0.026666,239,0.8819,2.3049,11.609078
6,266,34,301.48,0.0016,0.5351,0.143722,0.081179,0.12575,0.003,0.0,0.94,0.822312,0.204451,0.93,0.01,0.0,0.973333,0.845464,0.212059,0.96,0.013333,217,0.8158,2.3049,11.243797
7,262,38,333.96,0.0013,0.5351,0.162381,0.121018,0.1264,0.0046,0.0,0.955,0.759828,0.253118,0.925,0.015,0.0,0.973333,0.781069,0.263103,0.953333,0.02,225,0.8588,2.3049,11.150215
8,258,42,316.22,0.0006,0.5362,0.179489,0.148754,0.1262,0.04955,0.0,0.955,0.702519,0.242899,0.7575,0.1825,0.0,0.973333,0.718501,0.25129,0.753333,0.213333,234,0.907,2.3038,10.848263
9,257,43,333.82,0.0018,0.5404,0.189009,0.15492,0.1265,0.0581,0.0,0.945,0.686518,0.23765,0.655,0.18,0.0,0.973333,0.701608,0.245696,0.673333,0.213334,240,0.9339,2.2996,10.792158
10,252,48,329.61,0.0011,0.5426,0.201544,0.165555,0.1264,0.05835,0.0,0.955,0.673036,0.222794,0.645,0.15,0.0,0.973333,0.686878,0.229264,0.653333,0.153333,242,0.9603,1.8374,10.584487
11,283,17,319.9,0.0007,0.5426,0.209445,0.175659,0.1259,0.0584,0.0,0.945,0.641643,0.220745,0.635,0.15,0.0,0.973333,0.651873,0.227624,0.64,0.14,252,0.8905,1.8374,10.363629
12,272,28,346.11,0.0007,0.5628,0.210192,0.172911,0.12665,0.0766,0.0,0.955,0.585919,0.249584,0.625,0.15,0.0,0.973333,0.598407,0.251096,0.633333,0.153333,256,0.9412,1.0528,10.935469
13,276,24,348.12,0.0029,0.5486,0.226836,0.177167,0.12735,0.093,0.0,0.955,0.634149,0.231841,0.6375,0.1425,0.0,0.973333,0.643357,0.235989,0.646667,0.133333,260,0.942,0.9138,10.199033
14,279,21,347.81,0.0014,0.5972,0.218616,0.190138,0.1246,0.0956,0.0,0.945,0.626183,0.228101,0.635,0.125,0.0,0.973333,0.636702,0.234439,0.646667,0.12,262,0.9391,0.8273,10.210774
15,289,11,353.7,0.0004,0.5972,0.214436,0.185097,0.1251,0.078,0.0,0.945,0.611211,0.233519,0.635,0.105,0.0,0.973333,0.622076,0.238277,0.646667,0.12,262,0.9066,0.8273,10.381689
