generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,253,47,759.46,0.0027,0.667,0.1354,0.075911,0.1252,0.0027,0.0,0.935,0.780593,0.176486,0.77,0.02,0.0,0.96,0.802635,0.181506,0.786667,0.026667,189,0.747,1.0087,11.656221
1,256,44,313.86,0.0011,0.6732,0.149288,0.09573,0.1254,0.0033,0.0,0.935,0.825879,0.205887,0.91,0.015,0.0,0.96,0.85276,0.213474,0.94,0.013333,237,0.9258,1.0087,11.409462
2,262,38,312.95,0.0011,0.7518,0.179586,0.127726,0.1268,0.005,0.0,0.95,0.770763,0.287296,0.9125,0.0125,0.0,0.973333,0.795827,0.295383,0.94,0.013333,238,0.9084,1.0045,11.335071
3,257,43,314.43,0.0007,0.9693,0.214293,0.156687,0.1295,0.0957,0.0,0.94,0.796323,0.244552,0.905,0.025,0.0,0.973333,0.82358,0.250906,0.933333,0.026666,240,0.9339,0.5707,10.239093
4,263,37,314.12,0.0012,0.9731,0.277207,0.186847,0.2463,0.1231,0.0,0.94,0.801749,0.214491,0.875,0.05,0.0,0.973333,0.827757,0.222522,0.906667,0.046666,234,0.8897,0.5273,8.639979
5,261,39,292.02,0.002,0.9737,0.361393,0.204831,0.4827,0.014,0.0,0.94,0.793142,0.192765,0.87,0.01,0.0,0.96,0.821737,0.198053,0.9,0.006667,220,0.8429,0.5269,6.113243
6,250,50,310.64,0.0007,0.9773,0.403836,0.250665,0.4849,0.01545,0.0,0.94,0.7815,0.187505,0.87,0.005,0.0,0.973333,0.811413,0.192054,0.9,0.006667,223,0.892,0.5227,5.813924
7,247,53,268.91,0.0034,0.9773,0.429734,0.292763,0.4852,0.2384,0.0,0.95,0.769474,0.212122,0.865,0.01,0.0,0.973333,0.799109,0.215804,0.9,0.006667,214,0.8664,0.5227,6.050995
8,261,39,298.23,0.0028,0.9805,0.4687,0.305923,0.4876,0.2416,0.0,0.915,0.766475,0.226888,0.87,0.005,0.0,0.953333,0.793768,0.235334,0.9,0.006667,220,0.8429,0.5195,5.745247
9,256,44,303.59,0.0023,0.9805,0.480218,0.320504,0.48485,0.2744,0.0,0.955,0.769414,0.208591,0.865,0.01,0.0,0.973333,0.798594,0.21289,0.9,0.006667,214,0.8359,0.5195,5.872204
10,253,47,312.15,0.0025,0.9805,0.441607,0.340253,0.4733,0.3475,0.0,0.955,0.735652,0.246038,0.865,0.01,0.0,0.973333,0.762925,0.251196,0.893333,0.006667,220,0.8696,0.5195,7.193571
11,269,31,333.3,0.0012,0.9805,0.45917,0.331686,0.4836,0.3537,0.0,0.955,0.750428,0.244811,0.87,0.005,0.0,0.973333,0.777125,0.253154,0.9,0.006667,233,0.8662,0.5195,6.533246
12,273,27,340.5,0.0027,0.9805,0.466064,0.339667,0.4807,0.3534,0.0,0.955,0.727601,0.262566,0.87,0.005,0.0,0.973333,0.754188,0.269101,0.9,0.006667,235,0.8608,0.5195,6.908735
13,266,34,321.84,0.0025,0.9805,0.502437,0.361444,0.4847,0.361,0.0,0.94,0.760564,0.216845,0.87,0.005,0.0,0.973333,0.787519,0.2229,0.9,0.006667,220,0.8271,0.5195,6.354856
14,235,65,291.94,0.0013,0.9805,0.505964,0.353934,0.4796,0.3535,0.0,0.955,0.782191,0.184996,0.87,0.005,0.0,0.973333,0.809305,0.191299,0.9,0.006667,200,0.8511,0.5195,6.490887
15,252,48,303.83,0.0013,0.9805,0.521701,0.352464,0.48295,0.35675,0.0,0.955,0.787004,0.186022,0.87,0.005,0.0,0.973333,0.814312,0.191687,0.9,0.006667,203,0.8056,0.5195,6.237505
16,262,38,311.84,0.0033,0.9805,0.522926,0.357085,0.48425,0.35805,0.0,0.955,0.783263,0.182333,0.87,0.0075,0.0,0.973333,0.811959,0.186711,0.9,0.006667,208,0.7939,0.4623,6.286768
17,255,45,310.28,0.0024,0.9805,0.5342,0.364469,0.484,0.3615,0.0,0.95,0.807255,0.149606,0.87,0.01,0.0,0.973333,0.836209,0.149642,0.9,0.006667,200,0.7843,0.4623,6.042427
18,232,68,264.22,0.0019,0.9805,0.515368,0.367474,0.4854,0.36175,0.0,0.955,0.804116,0.15465,0.875,0.01,0.0,0.973333,0.832184,0.155676,0.9,0.006667,182,0.7845,0.4621,6.051097
