generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,232,68,703.59,0.002,0.4733,0.22611,0.117684,0.2504,0.1192,0.0,0.925,0.771552,0.25455,0.925,0.0,0.0,0.953333,0.806178,0.246151,0.953333,0.0,103,0.444,11.0401,11.690528
1,243,57,289.48,0.0017,0.4789,0.209188,0.119038,0.2453,0.1176,0.14,0.925,0.79393,0.192674,0.915,0.01,0.173333,0.953333,0.821673,0.196146,0.953333,0.0,156,0.642,11.0401,11.615091
2,258,42,278.73,0.0019,0.4805,0.238883,0.126642,0.2458,0.1184,0.07,0.925,0.769535,0.194221,0.915,0.01,0.133333,0.953333,0.795271,0.199169,0.953333,0.0,188,0.7287,2.5995,11.644218
3,281,19,337.46,0.0016,0.4865,0.186957,0.118903,0.1284,0.1136,0.0,0.925,0.777206,0.170681,0.77,0.155,0.0,0.953333,0.806026,0.174324,0.793333,0.16,219,0.7794,1.8735,11.526637
4,282,18,343.13,0.002,0.4899,0.18196,0.115198,0.1282,0.1105,0.24,0.925,0.782039,0.169565,0.905,0.02,0.213333,0.953333,0.811418,0.171335,0.933333,0.02,226,0.8014,1.8701,11.54804
5,284,16,368.69,0.0013,0.49,0.195148,0.119861,0.1291,0.1139,0.075,0.925,0.779014,0.181029,0.915,0.01,0.086667,0.953333,0.808685,0.182784,0.946667,0.006666,231,0.8134,1.8374,11.231049
6,277,23,329.89,0.0017,0.4883,0.190968,0.11741,0.1312,0.1134,0.235,0.925,0.793231,0.159773,0.915,0.01,0.266667,0.953333,0.823947,0.159862,0.946667,0.006666,213,0.769,1.8317,10.986289
7,287,13,349.97,0.0018,0.4887,0.211428,0.121386,0.2429,0.1139,0.24,0.925,0.817944,0.146515,0.915,0.01,0.3,0.953333,0.847294,0.148423,0.953333,0.0,211,0.7352,1.8313,10.750245
8,279,21,330.41,0.0016,0.4891,0.213852,0.130513,0.2417,0.1151,0.23,0.925,0.788082,0.161185,0.905,0.02,0.26,0.953333,0.817921,0.162512,0.933333,0.02,222,0.7957,1.8309,10.809445
9,280,20,336.62,0.0012,0.4936,0.19587,0.121354,0.2382,0.11065,0.29,0.935,0.800036,0.15372,0.915,0.01,0.346667,0.953333,0.828071,0.15815,0.953333,0.0,233,0.8321,0.7664,11.175416
10,300,0,338.89,0.0033,0.5028,0.332041,0.160609,0.2511,0.1325,0.485,0.945,0.86955,0.094545,0.925,0.01,0.453333,0.966667,0.886733,0.102634,0.953333,0.0,93,0.31,0.7572,6.489759
11,300,0,362.1,0.0006,0.5028,0.204378,0.192755,0.129,0.1223,0.485,0.945,0.87535,0.09791,0.935,0.01,0.453333,0.966667,0.895133,0.104387,0.953333,0.006667,172,0.5733,0.7572,8.727556
12,300,0,333.49,0.0004,0.5028,0.200033,0.193283,0.12795,0.12125,0.495,0.945,0.87995,0.091929,0.935,0.01,0.466667,0.966667,0.898355,0.100003,0.953333,0.010001,187,0.6233,0.7572,8.780167
13,300,0,334.25,0.0016,0.5028,0.197221,0.198675,0.12685,0.1207,0.495,0.945,0.88615,0.089498,0.935,0.01,0.466667,0.966667,0.905467,0.096348,0.953333,0.013334,197,0.6567,0.7572,8.591512
14,300,0,355.96,0.0014,0.5028,0.317301,0.172447,0.253,0.2308,0.445,0.945,0.881483,0.090323,0.925,0.01,0.453333,0.966667,0.900244,0.097442,0.953333,0.0,206,0.6867,0.7572,6.556766
15,300,0,392.73,0.0008,0.5056,0.200313,0.186323,0.129,0.1217,0.52,0.945,0.884767,0.0837,0.925,0.01,0.5,0.966667,0.904467,0.090941,0.953333,0.0,234,0.78,0.7544,8.96062
16,300,0,358.88,0.0005,0.5056,0.200829,0.192032,0.1266,0.1206,0.525,0.945,0.88445,0.082768,0.925,0.01,0.493333,0.966667,0.9034,0.091443,0.953333,0.006667,236,0.7867,0.7544,8.761371
17,300,0,342.05,0.001,0.5056,0.214119,0.193679,0.2386,0.2314,0.0,0.945,0.877767,0.108133,0.925,0.01,0.0,0.966667,0.897555,0.11487,0.953333,0.0,233,0.7767,0.7544,8.541948
18,300,0,356.29,0.0001,0.5056,0.211999,0.194484,0.1292,0.12245,0.495,0.945,0.87825,0.093922,0.925,0.01,0.466667,0.966667,0.896778,0.103429,0.953333,0.006666,237,0.79,0.7544,8.575001
19,300,0,363.01,0.0,0.5056,0.195858,0.192229,0.12645,0.11985,0.54,0.945,0.882983,0.086252,0.925,0.01,0.56,0.966667,0.902578,0.092633,0.953333,0.006667,236,0.7867,0.7544,8.738875
20,300,0,371.2,0.0016,0.5056,0.194204,0.186597,0.1285,0.1215,0.43,0.945,0.89095,0.085762,0.925,0.01,0.46,0.966667,0.912022,0.092228,0.953333,0.0,226,0.7533,0.7542,8.941996
21,300,0,347.27,0.0011,0.5056,0.201645,0.198791,0.1265,0.12035,0.465,0.945,0.890883,0.088642,0.935,0.01,0.466667,0.966667,0.91,0.097662,0.953333,0.0,226,0.7533,0.7542,8.534822
22,300,0,383.19,0.0001,0.5033,0.150759,0.176153,0.1217,0.11755,0.52,0.945,0.877667,0.096365,0.925,0.01,0.493333,0.966667,0.896511,0.106212,0.953333,0.006667,238,0.7933,0.7542,9.638575
23,300,0,347.51,0.0014,0.5016,0.207997,0.2005,0.12795,0.12135,0.52,0.945,0.89175,0.086195,0.935,0.01,0.493333,0.966667,0.911978,0.093665,0.953333,0.0,230,0.7667,0.7542,8.358336
24,299,1,353.83,0.0001,0.9701,0.199198,0.204671,0.1268,0.1222,0.425,0.945,0.896288,0.083822,0.935,0.01,0.426667,0.966667,0.916767,0.09145,0.953333,0.0,231,0.7726,0.5299,8.540066
25,300,0,354.1,0.0002,0.9762,0.226571,0.288338,0.12475,0.1202,0.425,0.945,0.869767,0.094766,0.915,0.03,0.433333,0.966667,0.890444,0.102444,0.953333,0.013334,246,0.82,0.2451,8.994362
