generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,241,59,725.96,0.002,0.481,0.129027,0.054744,0.1244,0.0024,0.0,0.94,0.731245,0.210774,0.785,0.0,0.0,0.973333,0.733693,0.210919,0.766667,0.0,195,0.8091,1.879,11.997198
1,247,53,309.09,0.0011,0.481,0.128781,0.064075,0.1249,0.0024,0.0,0.94,0.829049,0.150386,0.895,0.02,0.0,0.973333,0.848205,0.160749,0.92,0.033333,206,0.834,1.879,11.441502
2,250,50,302.03,0.0011,0.486,0.134093,0.073463,0.1252,0.0027,0.0,0.955,0.85386,0.145498,0.915,0.0,0.0,0.973333,0.88232,0.154125,0.953333,0.0,199,0.796,1.874,11.200627
3,261,39,312.67,0.0014,0.486,0.149656,0.093148,0.1262,0.0037,0.0,0.955,0.835153,0.178258,0.915,0.01,0.0,0.973333,0.862529,0.186702,0.946667,0.006666,213,0.8161,1.874,11.126436
4,252,48,304.3,0.0008,0.5374,0.156706,0.116114,0.1257,0.0048,0.0,0.955,0.809802,0.176907,0.905,0.02,0.0,0.973333,0.834471,0.185818,0.94,0.013333,222,0.881,1.8626,10.877818
5,256,44,303.9,0.0016,0.5374,0.189011,0.139349,0.127,0.0077,0.3,0.94,0.79957,0.151818,0.905,0.02,0.32,0.973333,0.823672,0.159419,0.94,0.013333,217,0.8477,1.8626,10.558021
6,258,42,296.37,0.0013,0.5374,0.181283,0.138439,0.127,0.0509,0.0,0.94,0.788178,0.173697,0.905,0.02,0.0,0.973333,0.812765,0.180827,0.94,0.013333,221,0.8566,1.8626,10.478717
7,258,42,300.44,0.0007,0.5374,0.194093,0.150089,0.1268,0.0521,0.0,0.94,0.758798,0.175338,0.785,0.13,0.0,0.973333,0.780517,0.183789,0.766667,0.18,223,0.8643,1.8626,10.318543
8,285,15,337.42,0.0009,0.5374,0.186972,0.154728,0.1263,0.0076,0.0,0.94,0.739877,0.168847,0.67,0.135,0.0,0.973333,0.76021,0.177626,0.693333,0.153333,247,0.8667,1.8626,10.342151
9,266,34,316.3,0.0008,0.5381,0.19274,0.159333,0.1263,0.00585,0.0,0.93,0.727632,0.169174,0.67,0.135,0.0,0.96,0.748296,0.177978,0.693333,0.153333,230,0.8647,1.8619,10.206132
10,275,25,328.17,0.0013,0.5461,0.219484,0.173004,0.1267,0.1129,0.0,0.93,0.715909,0.173629,0.66,0.125,0.0,0.953333,0.737503,0.180979,0.693333,0.153333,228,0.8291,1.8539,9.752589
