generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,245,55,724.68,0.0014,0.4873,0.101724,0.095996,0.1207,0.0437,0.0015,0.5193,0.135111,0.127392,0.1237,0.0149,0.0019,0.4914,0.106552,0.124844,0.1189,0.1024,0.0007,0.4941,0.134529,0.145055,0.1223,0.0523,0.0027,0.4956,0.156911,0.157567,0.1221,0.0765,0.0017,0.495,0.145941,0.156621,0.1236,0.1019,0.001,0.4961,0.111209,0.113711,0.1209,0.0439,0.002,0.4801,0.108022,0.113953,0.1208,0.052,206,0.8408,1.0303,13.907905
1,259,41,326.99,0.0026,0.4879,0.111254,0.117531,0.1184,0.0461,0.0009,0.5406,0.13022,0.14327,0.1229,0.0624,0.0019,0.5359,0.130549,0.154732,0.1099,0.0972,0.0007,0.497,0.11801,0.138566,0.1185,0.0777,0.001,0.4992,0.134858,0.162696,0.0809,0.0683,0.0009,0.5358,0.142624,0.162185,0.1187,0.1102,0.0007,0.4978,0.134195,0.152197,0.1187,0.0927,0.0006,0.486,0.09829,0.121103,0.0672,0.0593,242,0.9344,1.0269,12.391551
2,273,27,330.31,0.0011,0.491,0.097722,0.114113,0.0739,0.0557,0.0006,0.6697,0.134273,0.163789,0.1197,0.11,0.0006,0.5445,0.121725,0.154055,0.0672,0.0595,0.0007,0.497,0.124028,0.150052,0.0832,0.0729,0.0009,0.4964,0.156503,0.177156,0.0999,0.0883,0.0009,0.5725,0.12897,0.162682,0.068,0.0607,0.0007,0.4985,0.130201,0.15567,0.077,0.0635,0.0009,0.4901,0.106578,0.137607,0.0659,0.0593,250,0.9158,1.0236,11.971263
3,292,8,343.71,0.001,0.491,0.116764,0.128006,0.11695,0.10495,0.0008,0.6835,0.129576,0.1696,0.0995,0.09135,0.0006,0.5445,0.139205,0.165338,0.1044,0.09345,0.0007,0.5125,0.108703,0.144902,0.0645,0.05985,0.0009,0.9588,0.12733,0.167632,0.0686,0.06105,0.0008,0.5391,0.127212,0.171477,0.0509,0.0494,0.0007,0.6589,0.144803,0.172275,0.07665,0.0689,0.0005,0.5689,0.106407,0.142662,0.0618,0.0582,258,0.8836,1.0236,11.730136
4,293,7,359.05,0.0004,0.4998,0.104633,0.138875,0.0422,0.0395,0.0005,0.6838,0.112901,0.152174,0.0479,0.0459,0.0008,0.6928,0.108889,0.155647,0.0216,0.0204,0.0003,0.8932,0.118494,0.172806,0.0308,0.0294,0.0009,0.9588,0.158972,0.223408,0.0706,0.0647,0.0006,0.9168,0.123644,0.169707,0.0343,0.0329,0.0007,0.9294,0.156341,0.197096,0.0737,0.0664,0.0005,0.6915,0.116126,0.16089,0.0218,0.0203,264,0.901,1.0013,12.107308
5,289,11,364.8,0.0003,0.9051,0.09492,0.141745,0.0138,0.0131,0.0005,0.7883,0.109855,0.171702,0.0152,0.014,0.0003,0.9709,0.119204,0.185549,0.0256,0.0225,0.0005,0.9742,0.132852,0.213438,0.0121,0.0109,0.0003,0.9588,0.130421,0.206543,0.0313,0.0289,0.0006,0.9696,0.129399,0.215367,0.0131,0.012,0.0006,0.9294,0.16384,0.239563,0.0471,0.0447,0.0007,0.702,0.119509,0.189428,0.0118,0.0097,258,0.8927,0.8477,12.248679
6,290,10,352.8,0.0002,0.9259,0.10189,0.222466,0.008,0.0065,0.0003,0.9717,0.084681,0.181612,0.0076,0.0054,0.0,0.9731,0.156134,0.261256,0.00835,0.00735,0.0004,0.9748,0.135743,0.247058,0.0081,0.0072,0.0,0.9744,0.164209,0.278402,0.03795,0.0361,0.0004,0.9729,0.111476,0.227639,0.0082,0.0064,0.0005,0.9724,0.163337,0.260256,0.00955,0.00825,0.0004,0.702,0.082531,0.158335,0.0071,0.0042,240,0.8276,0.5456,10.949378
7,295,5,360.64,0.0,0.9716,0.097467,0.194539,0.0089,0.008,0.0005,0.9751,0.109986,0.220056,0.0085,0.0067,0.0,0.9716,0.135885,0.226433,0.0084,0.0077,0.0,0.9745,0.124452,0.231569,0.0078,0.0062,0.0,0.9744,0.152698,0.253561,0.0121,0.0116,0.0003,0.9731,0.120827,0.219126,0.0111,0.0094,0.0003,0.9755,0.154357,0.242446,0.0148,0.0141,0.0004,0.9737,0.104327,0.193169,0.0079,0.0058,254,0.861,0.5456,11.094081
8,289,11,360.98,0.0,0.9741,0.083597,0.204036,0.0074,0.0056,0.0003,0.9742,0.096067,0.221401,0.0072,0.005,0.0001,0.975,0.1606,0.250693,0.009,0.0086,0.0004,0.9754,0.155388,0.27597,0.0088,0.0075,0.0002,0.975,0.162252,0.295301,0.0079,0.0071,0.0001,0.9736,0.10041,0.206045,0.0075,0.0053,0.0,0.9744,0.131036,0.220684,0.0091,0.0083,0.0003,0.9737,0.110649,0.216802,0.0077,0.0062,251,0.8685,0.545,10.984461
9,288,12,362.28,0.0001,0.9716,0.081753,0.183531,0.00745,0.00665,0.0005,0.9742,0.09146,0.197949,0.0075,0.0057,0.0002,0.9739,0.174673,0.272537,0.0159,0.0156,0.0005,0.9774,0.125325,0.240979,0.00795,0.00625,0.0002,0.975,0.153935,0.252076,0.0101,0.0097,0.0002,0.9748,0.120118,0.238333,0.0076,0.0061,0.0002,0.9751,0.160689,0.226237,0.03085,0.03055,0.0004,0.9741,0.092048,0.193132,0.0072,0.00535,260,0.9028,0.545,10.913287
10,292,8,365.25,0.0,0.9748,0.106652,0.213679,0.0091,0.0085,0.0001,0.9742,0.120148,0.230948,0.0085,0.00695,0.0001,0.9745,0.165445,0.254452,0.0145,0.0143,0.0001,0.9773,0.12859,0.238218,0.00895,0.00735,0.0001,0.975,0.136197,0.239901,0.0089,0.0083,0.0004,0.9748,0.112816,0.217969,0.0081,0.0068,0.0001,0.9783,0.141142,0.231476,0.0127,0.0122,0.0004,0.9745,0.08901,0.185527,0.0081,0.0063,264,0.9041,0.545,11.412023
11,292,8,329.18,0.0,0.9742,0.074983,0.178524,0.0074,0.0064,0.0004,0.975,0.126129,0.261502,0.0075,0.0054,0.0001,0.9745,0.162341,0.271414,0.007,0.0067,0.0005,0.9773,0.128111,0.253694,0.00755,0.00595,0.0002,0.9761,0.167042,0.306633,0.00735,0.00655,0.0004,0.9748,0.112548,0.237878,0.00795,0.00575,0.0003,0.9783,0.125257,0.231997,0.007,0.0057,0.0007,0.974,0.103587,0.237698,0.0069,0.0049,257,0.8801,0.5439,10.757273
12,288,12,346.92,0.0,0.9743,0.083876,0.206822,0.0072,0.0064,0.0001,0.974,0.11398,0.223632,0.0075,0.0059,0.0002,0.9745,0.161177,0.258633,0.00795,0.00765,0.0001,0.9773,0.140111,0.262167,0.0085,0.0069,0.0001,0.9764,0.129877,0.251396,0.0079,0.00715,0.0004,0.9748,0.114305,0.227676,0.00825,0.00645,0.0001,0.9783,0.153969,0.240602,0.01095,0.01045,0.0003,0.974,0.102705,0.212992,0.0079,0.0059,265,0.9201,0.5236,11.179498
13,290,10,364.08,0.0,0.9743,0.094628,0.206992,0.00755,0.00685,0.0,0.9792,0.107177,0.21469,0.0074,0.00585,0.0001,0.9744,0.161351,0.245422,0.01565,0.01535,0.0002,0.9798,0.159086,0.268899,0.00865,0.00735,0.0002,0.9784,0.146227,0.265962,0.0084,0.00785,0.0003,0.9748,0.093909,0.194133,0.0068,0.0051,0.0002,0.9783,0.143137,0.229649,0.01055,0.0102,0.0003,0.9728,0.094485,0.197843,0.0068,0.0052,266,0.9172,0.4222,11.230877
14,278,22,326.73,0.0001,0.9771,0.084997,0.182511,0.007,0.0065,0.0001,0.9792,0.113898,0.222256,0.0075,0.0071,0.0002,0.9786,0.140889,0.246012,0.0078,0.0074,0.0001,0.9807,0.124982,0.232651,0.0089,0.00805,0.0,0.98,0.161012,0.27548,0.0124,0.0122,0.0002,0.9791,0.11464,0.222697,0.00845,0.00795,0.0002,0.9783,0.153096,0.265758,0.0133,0.013,0.0001,0.9737,0.106487,0.210939,0.008,0.0074,231,0.8309,0.42,11.18201
15,287,13,366.25,0.0001,0.9771,0.070565,0.158998,0.006,0.0053,0.0001,0.9794,0.119576,0.237341,0.0064,0.0058,0.0001,0.9797,0.141959,0.226135,0.0079,0.0077,0.0,0.9807,0.129481,0.248401,0.0076,0.0069,0.0,0.98,0.177247,0.296387,0.0085,0.0083,0.0,0.9792,0.094772,0.20134,0.0077,0.0066,0.0001,0.978,0.167605,0.248014,0.0158,0.0154,0.0001,0.9776,0.098797,0.197358,0.0075,0.0067,262,0.9129,0.42,10.670628
16,295,5,372.14,0.0,0.9771,0.084805,0.176754,0.0067,0.0062,0.0001,0.9791,0.11963,0.238162,0.0064,0.0056,0.0,0.9798,0.135471,0.230987,0.011,0.0106,0.0,0.9819,0.126468,0.247105,0.0079,0.0071,0.0001,0.98,0.153661,0.250683,0.0124,0.0121,0.0,0.9795,0.11686,0.224534,0.0071,0.0061,0.0001,0.9787,0.168166,0.245785,0.0467,0.0463,0.0001,0.9805,0.09494,0.195389,0.0078,0.007,268,0.9085,0.42,11.010068
17,292,8,377.61,0.0002,0.9781,0.091551,0.184034,0.009,0.0084,0.0002,0.9796,0.113042,0.208725,0.0076,0.0068,0.0,0.9792,0.148473,0.228322,0.01585,0.0156,0.0001,0.98,0.136631,0.237934,0.01,0.0097,0.0,0.9803,0.158075,0.277132,0.01505,0.01475,0.0,0.98,0.106271,0.205697,0.008,0.007,0.0001,0.9769,0.13523,0.217264,0.0137,0.0133,0.0001,0.979,0.110727,0.220388,0.0084,0.0079,273,0.9349,0.4197,10.869939
18,298,2,366.01,0.0,0.9792,0.077634,0.171689,0.006,0.0056,0.0,0.9795,0.101695,0.21736,0.006,0.00525,0.0,0.9796,0.143235,0.2436,0.00675,0.00635,0.0002,0.9809,0.145108,0.263077,0.00765,0.007,0.0001,0.9803,0.162712,0.278452,0.0072,0.00695,0.0,0.9792,0.119115,0.234579,0.0067,0.00535,0.0001,0.9836,0.156482,0.2615,0.01025,0.00975,0.0001,0.979,0.094019,0.194869,0.0077,0.0069,268,0.8993,0.4197,10.603462
19,285,15,370.23,0.0,0.9785,0.087726,0.185216,0.0065,0.0059,0.0001,0.9789,0.093111,0.205151,0.0061,0.0049,0.0002,0.9811,0.1518,0.231776,0.0147,0.0144,0.0002,0.9792,0.155092,0.263285,0.0093,0.009,0.0001,0.9803,0.141276,0.257169,0.0085,0.0081,0.0001,0.9792,0.115791,0.224826,0.0073,0.0063,0.0002,0.9803,0.151528,0.236499,0.0151,0.0147,0.0002,0.979,0.103676,0.197047,0.0083,0.0074,268,0.9404,0.4197,10.763636
20,294,6,366.68,0.0,0.9781,0.076887,0.162985,0.0062,0.0058,0.0001,0.9797,0.086975,0.195588,0.006,0.0049,0.0,0.9801,0.137415,0.211859,0.0132,0.0129,0.0,0.9802,0.137376,0.241897,0.00915,0.00885,0.0002,0.9803,0.17047,0.289262,0.0101,0.0098,0.0001,0.9795,0.113203,0.223396,0.0075,0.0061,0.0002,0.9803,0.143923,0.226219,0.0117,0.0114,0.0002,0.979,0.133752,0.248635,0.0085,0.00795,271,0.9218,0.4197,10.414904
21,294,6,376.7,0.0,0.9781,0.068864,0.156896,0.0061,0.0055,0.0001,0.9788,0.078101,0.170065,0.0062,0.0047,0.0,0.9801,0.169738,0.259171,0.0165,0.0163,0.0,0.9792,0.12677,0.230019,0.00805,0.0076,0.0,0.9803,0.161928,0.289481,0.0093,0.0089,0.0001,0.9798,0.128678,0.241615,0.0081,0.00715,0.0002,0.9801,0.147125,0.224703,0.01845,0.0181,0.0,0.9791,0.118796,0.219928,0.00875,0.00805,278,0.9456,0.4197,10.759093
22,291,9,354.29,0.0,0.9805,0.098393,0.215458,0.0063,0.0059,0.0,0.9788,0.093875,0.202246,0.0067,0.0055,0.0,0.9801,0.147738,0.229997,0.0099,0.0096,0.0,0.9795,0.154293,0.264918,0.0095,0.0092,0.0,0.9803,0.151915,0.272995,0.008,0.0078,0.0002,0.9798,0.097385,0.199154,0.0069,0.0055,0.0002,0.9801,0.150596,0.254575,0.0126,0.0122,0.0,0.979,0.105804,0.207099,0.0079,0.0073,269,0.9244,0.4197,10.832003
23,295,5,356.99,0.0,0.9799,0.099927,0.206693,0.0108,0.0104,0.0,0.9795,0.101777,0.21479,0.0076,0.0063,0.0,0.9795,0.158561,0.23106,0.0641,0.0635,0.0,0.9795,0.140446,0.240121,0.0111,0.0108,0.0001,0.9803,0.168927,0.297311,0.0132,0.013,0.0002,0.9798,0.116465,0.229818,0.008,0.0068,0.0001,0.9787,0.115752,0.205555,0.013,0.0126,0.0002,0.9792,0.098145,0.197209,0.0075,0.0069,273,0.9254,0.4197,10.673107
24,298,2,381.65,0.0,0.9803,0.082994,0.176107,0.00735,0.00685,0.0003,0.9805,0.110283,0.216563,0.00895,0.00785,0.0,0.9762,0.148661,0.220924,0.05775,0.05745,0.0,0.9804,0.154605,0.259731,0.0219,0.0217,0.0,0.9803,0.146784,0.255366,0.01255,0.01235,0.0003,0.9796,0.117628,0.218497,0.00805,0.00715,0.0002,0.9785,0.143267,0.213099,0.02885,0.02855,0.0001,0.9792,0.095778,0.194118,0.0079,0.0071,281,0.943,0.4197,10.947713
