generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,228,72,724.84,0.0019,0.4938,0.09693,0.108623,0.054,0.0471,0.0024,0.5501,0.091852,0.081768,0.09775,0.0464,0.0034,0.9733,0.148023,0.198256,0.1196,0.06125,0.0014,0.5685,0.147608,0.148303,0.12125,0.09285,0.0002,0.4876,0.117945,0.12579,0.10325,0.06765,0.0006,0.5722,0.128171,0.148571,0.09755,0.0743,0.0034,0.5675,0.13631,0.138474,0.11905,0.0681,0.0015,0.5728,0.133161,0.12946,0.1224,0.08065,207,0.9079,1.0674,13.826664
1,248,52,282.32,0.001,0.502,0.095302,0.133658,0.04585,0.0404,0.001,0.5512,0.072825,0.108028,0.02995,0.02735,0.0029,0.9758,0.164954,0.223859,0.0901,0.0638,0.001,0.5529,0.136647,0.164934,0.05,0.04845,0.0001,0.6126,0.130079,0.156678,0.08155,0.0738,0.0005,0.5805,0.098997,0.136829,0.06255,0.0588,0.0034,0.9164,0.156181,0.176222,0.10545,0.0908,0.0012,0.6278,0.145016,0.170071,0.09235,0.0853,210,0.8468,1.0501,11.634097
2,263,37,307.14,0.0006,0.4938,0.098332,0.1164,0.0538,0.0466,0.0013,0.8646,0.121606,0.150776,0.0762,0.0567,0.0014,0.9758,0.142822,0.214705,0.0809,0.049,0.0014,0.5631,0.121878,0.156193,0.0547,0.0475,0.0001,0.9136,0.124154,0.148487,0.0813,0.0548,0.0005,0.9113,0.130386,0.157284,0.1098,0.0578,0.0014,0.9252,0.132506,0.196194,0.0599,0.0521,0.0012,0.9143,0.128315,0.161673,0.0755,0.0597,227,0.8631,1.0501,12.760887
3,278,22,345.92,0.0003,0.5554,0.094188,0.124626,0.0209,0.0199,0.0005,0.9084,0.119374,0.190354,0.0363,0.0339,0.0012,0.9732,0.130104,0.209277,0.0352,0.0316,0.0009,0.8921,0.114246,0.163634,0.02365,0.01985,0.0002,0.9203,0.123964,0.190563,0.03755,0.0345,0.0005,0.9205,0.129594,0.214452,0.0369,0.03485,0.0006,0.9263,0.150339,0.204408,0.0767,0.0656,0.0008,0.9205,0.13819,0.216234,0.0287,0.02595,253,0.9101,1.0501,12.243464
4,284,16,377.35,0.0006,0.5554,0.105868,0.144698,0.01565,0.01365,0.0008,0.9152,0.101741,0.158914,0.028,0.0242,0.0009,0.973,0.110308,0.165538,0.0175,0.0135,0.0013,0.9282,0.144409,0.203856,0.02945,0.02645,0.0003,0.9311,0.101758,0.156272,0.0247,0.02175,0.0008,0.9211,0.145417,0.225402,0.0304,0.0291,0.0004,0.9559,0.134039,0.189355,0.01985,0.01845,0.0008,0.9248,0.15646,0.22659,0.0406,0.0345,265,0.9331,1.0501,12.215019
5,285,15,376.4,0.0005,0.5554,0.094841,0.128895,0.0177,0.0162,0.0006,0.9317,0.103023,0.168573,0.0242,0.0227,0.0005,0.973,0.152302,0.223993,0.0278,0.0266,0.0016,0.9154,0.121608,0.192127,0.0212,0.0188,0.0001,0.9311,0.113252,0.177346,0.0262,0.0248,0.0005,0.9163,0.111782,0.17383,0.0198,0.0185,0.0007,0.9563,0.151265,0.228043,0.0285,0.0262,0.0008,0.9375,0.151927,0.233141,0.0417,0.0403,267,0.9368,1.0501,11.708705
6,286,14,362.24,0.0003,0.9338,0.110048,0.157212,0.01945,0.01825,0.0006,0.9317,0.103425,0.1699,0.02455,0.02295,0.0004,0.9753,0.151431,0.24365,0.0237,0.02235,0.0005,0.9183,0.113497,0.194123,0.01485,0.0127,0.0001,0.9475,0.14177,0.230368,0.01745,0.01695,0.0005,0.9181,0.123472,0.212561,0.0169,0.01535,0.0005,0.9726,0.158762,0.253058,0.0269,0.02455,0.0004,0.9222,0.097595,0.165635,0.02,0.0185,263,0.9196,1.0501,12.171566
7,294,6,380.07,0.0001,0.9344,0.136298,0.190378,0.0267,0.0264,0.0005,0.9455,0.127153,0.2,0.0167,0.01515,0.0006,0.9753,0.111965,0.20968,0.01375,0.00945,0.0004,0.9333,0.08236,0.179886,0.0103,0.0076,0.0001,0.9475,0.204948,0.272639,0.1214,0.1161,0.0004,0.9309,0.116115,0.198332,0.0149,0.0133,0.0006,0.9765,0.129655,0.234065,0.01475,0.01105,0.0001,0.9222,0.091506,0.197863,0.01,0.0083,270,0.9184,1.0501,12.006317
8,286,14,363.83,0.0001,0.946,0.163717,0.233841,0.0946,0.09015,0.0001,0.9455,0.147633,0.223269,0.02715,0.02615,0.0008,0.9731,0.110419,0.191635,0.0177,0.0134,0.0002,0.9549,0.100633,0.181229,0.014,0.0113,0.0003,0.9446,0.162297,0.242608,0.03145,0.0308,0.0006,0.9453,0.108512,0.181775,0.0115,0.009,0.0001,0.9765,0.114081,0.207316,0.015,0.0129,0.0001,0.9213,0.092708,0.171722,0.0117,0.0095,266,0.9301,1.0501,11.851138
9,289,11,332.31,0.0001,0.9347,0.113096,0.189371,0.0107,0.0102,0.0004,0.9477,0.150305,0.25465,0.014,0.0123,0.0005,0.9731,0.1102,0.202273,0.0143,0.0111,0.0002,0.958,0.136407,0.245575,0.0153,0.0129,0.0003,0.95,0.145287,0.240778,0.011,0.0103,0.0005,0.9569,0.135789,0.245361,0.0116,0.0092,0.0001,0.9765,0.116006,0.214464,0.0141,0.0128,0.0001,0.9213,0.092911,0.170546,0.0127,0.0109,245,0.8478,1.0448,11.798369
