generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,257,43,744.75,0.0016,0.4583,0.105407,0.079373,0.1206,0.0416,0.0044,0.5401,0.129809,0.113957,0.1205,0.0492,0.0033,0.4772,0.10026,0.101809,0.0725,0.0576,0.0029,0.6794,0.107278,0.097594,0.1144,0.0538,0.0018,0.5461,0.169662,0.157348,0.1256,0.0679,0.0049,0.4851,0.125461,0.119699,0.1105,0.058,0.0042,0.5282,0.1298,0.113557,0.122,0.0521,0.0056,0.5642,0.132323,0.094501,0.123,0.0343,222,0.8638,1.8166,13.681543
1,273,27,355.83,0.0036,0.5449,0.111079,0.09431,0.1215,0.0482,0.0044,0.596,0.128195,0.122152,0.1201,0.0615,0.0037,0.5958,0.103641,0.100699,0.0819,0.0486,0.0042,0.6805,0.116111,0.117644,0.1163,0.058,0.0022,0.5412,0.164807,0.148722,0.1248,0.0723,0.0033,0.4849,0.1157,0.107759,0.1167,0.0615,0.0026,0.5264,0.134688,0.116909,0.1228,0.0657,0.0029,0.6755,0.125779,0.102939,0.1215,0.0521,255,0.9341,1.8166,14.34364
2,287,13,386.78,0.0033,0.5917,0.133016,0.114993,0.1234,0.0503,0.0042,0.6793,0.144187,0.142749,0.12,0.0536,0.003,0.597,0.115368,0.117582,0.096,0.0418,0.0037,0.6749,0.121299,0.107688,0.1122,0.0569,0.0018,0.5898,0.139831,0.139015,0.112,0.0628,0.0015,0.5827,0.123178,0.11898,0.0862,0.0434,0.0007,0.5416,0.10918,0.110161,0.0801,0.0529,0.0019,0.68,0.113942,0.106893,0.0953,0.0462,275,0.9582,1.811,14.538983
3,284,16,377.36,0.0037,0.6007,0.131049,0.124639,0.1205,0.0572,0.0014,0.6827,0.137931,0.11767,0.1227,0.0563,0.0035,0.5958,0.10512,0.105799,0.073,0.0519,0.0016,0.6815,0.130067,0.11826,0.1228,0.0564,0.0044,0.605,0.139815,0.132025,0.10815,0.0515,0.002,0.5964,0.10663,0.096475,0.0789,0.0478,0.0044,0.6755,0.128738,0.131528,0.10725,0.04615,0.0017,0.6808,0.12065,0.121213,0.08335,0.04765,265,0.9331,1.811,14.324708
4,290,10,403.47,0.005,0.7046,0.130377,0.127265,0.11735,0.07135,0.0041,0.6883,0.138196,0.107883,0.12395,0.05255,0.0042,0.5942,0.106894,0.08771,0.0905,0.03945,0.0036,0.6858,0.129781,0.111423,0.12035,0.06685,0.0045,0.685,0.131061,0.129314,0.096,0.0578,0.0048,0.5964,0.121632,0.110961,0.111,0.06905,0.0043,0.6755,0.115701,0.114362,0.0933,0.0628,0.0039,0.6808,0.126358,0.127864,0.11465,0.07,282,0.9724,1.811,14.769609
5,300,0,423.66,0.0027,0.6984,0.15335,0.16686,0.1197,0.0737,0.0032,0.7012,0.132114,0.138726,0.1087,0.0708,0.0032,0.5813,0.114546,0.099078,0.0914,0.0558,0.0027,0.7093,0.127567,0.121824,0.1124,0.0617,0.0036,0.685,0.119118,0.117195,0.09535,0.06455,0.0027,0.7188,0.115004,0.121373,0.08715,0.06155,0.0047,0.6884,0.125248,0.130704,0.0889,0.06235,0.0021,0.6772,0.113054,0.113773,0.0844,0.0608,294,0.98,1.811,14.892663
6,296,4,416.58,0.0012,0.6934,0.145261,0.158958,0.10005,0.065,0.0018,0.7094,0.129616,0.124907,0.12045,0.07815,0.0009,0.539,0.115358,0.106516,0.09265,0.0637,0.0023,0.7093,0.135811,0.126742,0.12075,0.0547,0.0011,0.6836,0.12146,0.131698,0.0917,0.06475,0.0021,0.7188,0.120744,0.131673,0.09325,0.0647,0.0024,0.6884,0.115909,0.112699,0.10095,0.05985,0.0014,0.6805,0.115841,0.105724,0.10745,0.07315,289,0.9764,1.811,14.77581
7,293,7,421.63,0.0029,0.6949,0.164873,0.167404,0.1237,0.0927,0.004,0.672,0.118234,0.103856,0.0991,0.0677,0.0037,0.6888,0.130744,0.115174,0.1224,0.0799,0.0039,0.6851,0.137128,0.142052,0.1039,0.0734,0.0029,0.6756,0.109015,0.110741,0.0876,0.0667,0.0028,0.7182,0.113635,0.122463,0.0853,0.0634,0.0032,0.6884,0.11185,0.108738,0.0952,0.0712,0.0033,0.6878,0.114522,0.126325,0.0801,0.0562,289,0.9863,1.811,14.934352
8,296,4,411.8,0.0024,0.7913,0.15171,0.166997,0.11985,0.08915,0.0037,0.6741,0.123808,0.145715,0.0841,0.05905,0.0042,0.696,0.140583,0.144662,0.1225,0.083,0.0034,0.6937,0.142068,0.154345,0.11695,0.0856,0.0026,0.7275,0.11273,0.139554,0.07105,0.05835,0.0011,0.7245,0.094594,0.109982,0.05345,0.04575,0.0021,0.7176,0.114174,0.139065,0.07135,0.0569,0.0022,0.7112,0.120333,0.133699,0.09105,0.0713,287,0.9696,1.811,15.356487
9,290,10,406.11,0.0038,0.8075,0.144211,0.154053,0.12445,0.095,0.0026,0.7798,0.145656,0.163173,0.11785,0.08975,0.0032,0.6934,0.125832,0.132837,0.1058,0.0814,0.0031,0.6966,0.133421,0.135453,0.11815,0.0823,0.0026,0.6928,0.123576,0.140732,0.07945,0.06925,0.0018,0.6841,0.090133,0.106447,0.0501,0.04155,0.003,0.7176,0.124123,0.157908,0.07235,0.06105,0.0022,0.7091,0.113048,0.143457,0.06445,0.05845,282,0.9724,1.811,14.807729
10,296,4,411.58,0.0038,0.8218,0.134766,0.160813,0.08935,0.07245,0.002,0.7886,0.133907,0.165814,0.0843,0.0709,0.0031,0.7051,0.130268,0.155079,0.08095,0.06615,0.0024,0.8183,0.138072,0.154758,0.09945,0.0813,0.0023,0.6748,0.117787,0.125093,0.08565,0.07345,0.0016,0.7831,0.124153,0.168715,0.05045,0.04675,0.0024,0.8209,0.105078,0.122075,0.06895,0.05755,0.002,0.866,0.115969,0.149885,0.0711,0.05815,290,0.9797,1.811,13.766049
11,295,5,401.37,0.0037,0.9314,0.149922,0.175893,0.1214,0.1035,0.0028,0.7874,0.149343,0.182661,0.1207,0.1067,0.0036,0.799,0.134288,0.155698,0.1224,0.1063,0.0029,0.8102,0.123486,0.151148,0.0785,0.0647,0.0018,0.6825,0.119278,0.163116,0.0494,0.045,0.0004,0.7831,0.108385,0.148867,0.0417,0.038,0.0012,0.8196,0.102082,0.12542,0.0695,0.0609,0.0001,0.8713,0.113214,0.160344,0.0668,0.0602,285,0.9661,1.811,13.574666
12,298,2,419.96,0.0019,0.9323,0.137887,0.15608,0.11735,0.1001,0.0023,0.7852,0.1311,0.164628,0.07365,0.06365,0.0028,0.8204,0.133499,0.167369,0.0816,0.07,0.0007,0.9261,0.124129,0.158752,0.07775,0.0671,0.0011,0.802,0.113214,0.153066,0.04555,0.04205,0.0,0.7869,0.112251,0.160354,0.04165,0.0387,0.0003,0.8229,0.126092,0.157145,0.09195,0.08235,0.0,0.8884,0.121827,0.180738,0.06735,0.0602,292,0.9799,1.811,13.603386
13,300,0,416.53,0.0015,0.9365,0.164133,0.216027,0.10615,0.0944,0.0018,0.825,0.107762,0.145497,0.03795,0.032,0.0016,0.9155,0.118394,0.164559,0.0365,0.0317,0.0015,0.9261,0.129791,0.192621,0.04925,0.0436,0.001,0.8058,0.128691,0.172876,0.07235,0.0646,0.0005,0.7858,0.110668,0.154347,0.0472,0.0438,0.0005,0.7857,0.111367,0.136848,0.0609,0.0575,0.0003,0.8913,0.129193,0.184747,0.0494,0.0469,287,0.9567,1.811,13.765399
14,300,0,415.52,0.0015,0.9376,0.161376,0.205702,0.08025,0.07105,0.0018,0.825,0.119437,0.160782,0.0416,0.0351,0.0026,0.918,0.122037,0.165579,0.03995,0.0348,0.0022,0.9276,0.144045,0.204632,0.0405,0.03615,0.0007,0.8397,0.100158,0.151576,0.0281,0.025,0.0001,0.7858,0.113285,0.16937,0.02565,0.02305,0.0013,0.7942,0.12044,0.164297,0.0424,0.03965,0.0006,0.8923,0.11922,0.177223,0.02805,0.0261,287,0.9567,1.811,13.598515
15,300,0,416.12,0.0015,0.9447,0.16436,0.211678,0.1175,0.10805,0.0012,0.9575,0.124146,0.177643,0.0294,0.0262,0.002,0.9205,0.125737,0.189081,0.02915,0.02595,0.0008,0.9276,0.11039,0.185339,0.0209,0.01645,0.0008,0.8397,0.103444,0.149099,0.0306,0.02845,0.0008,0.9192,0.129742,0.194898,0.02315,0.02155,0.0002,0.9134,0.11438,0.174328,0.02155,0.02025,0.0008,0.9153,0.1278,0.190883,0.044,0.04225,288,0.96,1.811,12.790258
16,300,0,420.78,0.0023,0.9032,0.131579,0.166975,0.07855,0.0675,0.0014,0.9575,0.100253,0.152449,0.01925,0.01665,0.0017,0.9465,0.142309,0.20659,0.04195,0.03945,0.0008,0.9296,0.126771,0.194895,0.03355,0.02995,0.0006,0.8687,0.110578,0.170134,0.01885,0.017,0.0,0.925,0.112563,0.182123,0.01805,0.0159,0.0008,0.915,0.156027,0.232248,0.07745,0.0682,0.0,0.907,0.119919,0.175426,0.0355,0.0331,288,0.96,1.811,13.288237
17,300,0,410.21,0.0019,0.9619,0.131186,0.172448,0.05525,0.0487,0.0012,0.9607,0.123978,0.185964,0.0293,0.0259,0.0016,0.9359,0.138746,0.188004,0.04195,0.03975,0.0007,0.9296,0.135507,0.200212,0.02735,0.0241,0.0008,0.8856,0.116245,0.199187,0.01765,0.0148,0.0,0.925,0.121964,0.214347,0.01795,0.01515,0.0,0.9134,0.143287,0.240897,0.0172,0.01565,0.0,0.9032,0.089087,0.147785,0.0207,0.0175,279,0.93,1.7966,12.804903
18,300,0,410.8,0.0011,0.9699,0.145545,0.196455,0.08535,0.0776,0.0009,0.9658,0.147052,0.201987,0.0672,0.0607,0.0009,0.9359,0.129201,0.181741,0.03355,0.03155,0.0009,0.9296,0.134433,0.191325,0.0416,0.0388,0.0008,0.894,0.095689,0.147382,0.01825,0.0163,0.0006,0.9408,0.126384,0.206615,0.01555,0.01355,0.0004,0.9132,0.123486,0.199961,0.0168,0.0158,0.0001,0.9041,0.098211,0.172277,0.01745,0.01565,285,0.95,1.6322,12.291216
19,300,0,405.06,0.0009,0.9563,0.185264,0.238066,0.1236,0.1155,0.0006,0.9063,0.142773,0.190309,0.0574,0.05425,0.001,0.9522,0.132142,0.1894,0.0279,0.0263,0.0,0.9459,0.124336,0.193418,0.02245,0.0197,0.0007,0.9008,0.090589,0.147896,0.01585,0.01305,0.0,0.9408,0.113029,0.190612,0.0155,0.01375,0.0005,0.9347,0.118117,0.182917,0.03735,0.03415,0.0,0.9032,0.09375,0.157577,0.01585,0.01465,274,0.9133,1.6322,12.428771
20,300,0,389.87,0.0009,0.9544,0.143748,0.206185,0.03615,0.0345,0.0007,0.9084,0.125767,0.200088,0.0233,0.02075,0.001,0.9556,0.135544,0.205562,0.0176,0.01565,0.0002,0.9375,0.130354,0.210864,0.0134,0.01135,0.0006,0.9012,0.118745,0.166832,0.016,0.0139,0.0001,0.943,0.117691,0.198616,0.0132,0.01195,0.0001,0.9538,0.129074,0.206806,0.01785,0.0162,0.0,0.9402,0.099077,0.170606,0.0151,0.0137,272,0.9067,1.0163,11.843375
21,300,0,400.72,0.0,0.9573,0.152854,0.212088,0.1189,0.1133,0.0003,0.9118,0.107595,0.165464,0.0239,0.0221,0.0,0.9586,0.155538,0.208184,0.1207,0.1148,0.0005,0.9405,0.132383,0.197838,0.02145,0.02075,0.0001,0.9064,0.10675,0.157729,0.0144,0.0126,0.0,0.9331,0.110017,0.170801,0.01615,0.0156,0.0,0.9572,0.127458,0.190085,0.0265,0.02535,0.0002,0.9753,0.107406,0.164266,0.014,0.013,275,0.9167,0.8025,11.694249
22,300,0,397.01,0.0001,0.8559,0.148786,0.212988,0.0302,0.0289,0.0001,0.9212,0.106613,0.166609,0.0239,0.02225,0.0,0.9748,0.134852,0.219069,0.0351,0.0332,0.0,0.9591,0.102055,0.177836,0.0155,0.0148,0.0002,0.9064,0.10545,0.167101,0.0144,0.0123,0.0,0.9377,0.115898,0.18356,0.01525,0.01445,0.0003,0.9744,0.167315,0.259885,0.03995,0.03875,0.0001,0.9771,0.11903,0.194237,0.01405,0.01305,273,0.91,0.6848,12.099102
23,300,0,401.01,0.0006,0.9735,0.154606,0.191002,0.1222,0.11615,0.0009,0.9126,0.128805,0.168576,0.07675,0.07215,0.0,0.9607,0.146221,0.208585,0.0429,0.0429,0.0,0.9571,0.121692,0.174257,0.0326,0.0322,0.0,0.9056,0.09978,0.154014,0.0145,0.0134,0.0,0.9383,0.107414,0.185106,0.00955,0.00925,0.0002,0.977,0.121484,0.192111,0.02205,0.02095,0.0002,0.9771,0.119998,0.20132,0.011,0.01025,276,0.92,0.6817,11.739986
24,300,0,409.75,0.0003,0.9313,0.165209,0.207964,0.1225,0.11765,0.0002,0.9204,0.126304,0.185472,0.02465,0.02325,0.0,0.9556,0.141221,0.186433,0.0738,0.06925,0.0,0.9599,0.125814,0.196319,0.01705,0.01685,0.0,0.9056,0.120591,0.195195,0.0157,0.01505,0.0,0.9383,0.094793,0.170454,0.0094,0.009,0.0001,0.9769,0.126254,0.205231,0.0324,0.031,0.0,0.9779,0.099814,0.173901,0.0135,0.0132,284,0.9467,0.6817,11.668473
25,300,0,389.26,0.0001,0.929,0.135421,0.181334,0.09495,0.09005,0.0001,0.9581,0.123887,0.183614,0.02515,0.0239,0.0,0.978,0.142555,0.20215,0.0766,0.0732,0.0,0.9674,0.11938,0.190868,0.0274,0.0272,0.0,0.9496,0.118835,0.186902,0.0235,0.0233,0.0001,0.9383,0.108788,0.195622,0.00975,0.00945,0.0001,0.9744,0.128305,0.206663,0.0378,0.03685,0.0,0.9774,0.12283,0.184607,0.04715,0.04585,274,0.9133,0.6817,11.285279
26,300,0,400.27,0.0,0.9049,0.123097,0.162181,0.03435,0.03395,0.0,0.9581,0.139801,0.203927,0.0608,0.05955,0.0,0.9542,0.136896,0.183647,0.1035,0.1001,0.0,0.9599,0.144553,0.201411,0.06275,0.0623,0.0,0.9512,0.104807,0.170844,0.0118,0.01145,0.0,0.9394,0.094956,0.166297,0.0094,0.0088,0.0,0.9746,0.14156,0.233489,0.01395,0.01385,0.0,0.9774,0.11433,0.190201,0.01115,0.01035,273,0.91,0.6806,11.418311
27,300,0,410.49,0.0,0.9508,0.150053,0.20208,0.1082,0.1041,0.0,0.9547,0.139061,0.198872,0.02465,0.02425,0.0,0.9782,0.170477,0.225754,0.124,0.12005,0.0,0.9599,0.11679,0.173747,0.0122,0.0121,0.0,0.9512,0.101213,0.16389,0.0109,0.0103,0.0,0.9394,0.089192,0.159725,0.0074,0.007,0.0,0.9763,0.12812,0.19576,0.02915,0.02845,0.0,0.9774,0.105094,0.192103,0.00975,0.00915,282,0.94,0.6806,11.364875
