generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,238,62,736.78,0.0007,0.487,0.133029,0.055831,0.12465,0.00285,0.0,0.94,0.767248,0.185522,0.76,0.0875,0.0,0.973333,0.79126,0.192206,0.78,0.09,193,0.8109,1.813,11.711424
1,244,56,290.87,0.0012,0.487,0.135875,0.066516,0.125,0.0027,0.045,0.94,0.865943,0.101016,0.915,0.0075,0.033333,0.973333,0.896858,0.106365,0.946667,0.006666,200,0.8197,1.813,11.195437
2,246,54,293.52,0.0007,0.5415,0.148446,0.087678,0.12585,0.00375,0.0,0.955,0.852378,0.134542,0.915,0.005,0.0,0.973333,0.883686,0.138153,0.953333,0.006666,200,0.813,1.7185,11.130498
3,257,43,318.74,0.0012,0.5415,0.169423,0.106771,0.127,0.005,0.155,0.95,0.848035,0.1261,0.915,0.01,0.16,0.973333,0.878314,0.128441,0.946667,0.006666,224,0.8716,1.7185,10.932601
4,269,31,311.49,0.0012,0.5732,0.190273,0.135137,0.1283,0.0559,0.095,0.955,0.819052,0.159988,0.915,0.025,0.126667,0.973333,0.849517,0.162119,0.946667,0.026666,229,0.8513,1.7185,10.566976
5,273,27,326.69,0.0006,0.579,0.202928,0.153624,0.1275,0.0538,0.06,0.955,0.764158,0.174614,0.76,0.155,0.06,0.973333,0.795189,0.175358,0.78,0.173333,242,0.8864,1.7185,10.31187
6,271,29,328.73,0.0008,0.6039,0.209302,0.1697,0.127,0.0626,0.0,0.955,0.703192,0.208348,0.675,0.15,0.0,0.973333,0.732915,0.212642,0.713333,0.153333,239,0.8819,1.7125,10.319259
7,266,34,305.1,0.0011,0.6039,0.228991,0.184719,0.1278,0.09765,0.0,0.955,0.721861,0.19558,0.675,0.15,0.0,0.973333,0.75218,0.199859,0.713333,0.153333,232,0.8722,1.7125,9.699505
8,272,28,344.24,0.001,0.6039,0.237229,0.192523,0.12715,0.10565,0.0,0.955,0.657298,0.190841,0.675,0.085,0.0,0.973333,0.688529,0.19597,0.713333,0.070001,249,0.9154,1.7125,9.971154
9,272,28,312.74,0.0017,0.6018,0.249135,0.189962,0.1285,0.06365,0.0,0.945,0.658695,0.185642,0.675,0.07,0.0,0.973333,0.690662,0.1889,0.713333,0.056667,242,0.8897,1.7125,9.919321
10,268,32,323.4,0.001,0.6018,0.250293,0.202579,0.12715,0.11655,0.0,0.955,0.649701,0.176608,0.675,0.035,0.0,0.973333,0.681965,0.181691,0.713333,0.033333,235,0.8769,1.7096,9.558662
11,262,38,316.26,0.0022,0.599,0.265184,0.207356,0.12915,0.1153,0.0,0.955,0.631641,0.183263,0.67,0.015,0.0,0.973333,0.664885,0.188048,0.713333,0.006667,235,0.8969,1.7096,9.315808
12,277,23,359.68,0.0048,0.6012,0.256784,0.205826,0.1284,0.111,0.0,0.955,0.62657,0.184099,0.67,0.015,0.0,0.973333,0.658941,0.18865,0.713333,0.02,256,0.9242,1.7096,9.612386
13,267,33,356.13,0.0041,0.6048,0.265009,0.208079,0.1291,0.1158,0.0,0.94,0.609607,0.175136,0.67,0.015,0.0,0.973333,0.641748,0.182725,0.713333,0.013333,252,0.9438,1.7092,9.658812
14,278,22,343.18,0.0042,0.604,0.266358,0.212137,0.12815,0.1145,0.0,0.945,0.616978,0.166114,0.67,0.015,0.0,0.973333,0.649065,0.170907,0.713333,0.013333,261,0.9388,1.7024,9.299398
15,279,21,318.86,0.0011,0.6079,0.274868,0.219381,0.1294,0.1192,0.0,0.945,0.605986,0.177837,0.67,0.015,0.0,0.973333,0.638088,0.183197,0.713333,0.006667,249,0.8925,1.7024,9.106996
16,273,27,328.83,0.0021,0.6079,0.281267,0.214955,0.1291,0.1166,0.0,0.95,0.591227,0.19818,0.67,0.015,0.0,0.973333,0.623492,0.20466,0.713333,0.013333,251,0.9194,1.7024,9.172213
17,283,17,355.04,0.0032,0.6061,0.280199,0.212839,0.1328,0.1186,0.0,0.94,0.586696,0.189588,0.67,0.02,0.0,0.973333,0.617786,0.196092,0.713333,0.026666,263,0.9293,1.7024,9.167787
18,277,23,355.27,0.0009,0.6048,0.241924,0.20257,0.1285,0.0988,0.0,0.94,0.588809,0.198741,0.67,0.02,0.0,0.973333,0.620794,0.205131,0.713333,0.013333,264,0.9531,1.7024,10.104358
19,285,15,354.01,0.0023,0.6038,0.250555,0.204355,0.128,0.1014,0.0,0.945,0.615877,0.195975,0.67,0.015,0.0,0.973333,0.648023,0.201141,0.713333,0.013333,262,0.9193,1.7024,9.739059
20,288,12,367.49,0.0016,0.6038,0.24664,0.201461,0.1285,0.1123,0.0,0.945,0.638108,0.18253,0.675,0.01,0.0,0.973333,0.672245,0.184809,0.713333,0.006666,269,0.934,1.7024,9.772249
21,292,8,364.92,0.0021,0.6038,0.245801,0.199198,0.12795,0.09215,0.0,0.94,0.637209,0.197316,0.675,0.0125,0.0,0.973333,0.668424,0.202875,0.713333,0.013333,267,0.9144,1.7024,9.71639
