generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,258,42,740.17,0.002,0.9354,0.147283,0.12479,0.1242,0.04705,0.0017,0.4868,0.122031,0.108811,0.1221,0.0559,0.0026,0.5232,0.115493,0.126651,0.0745,0.05865,0.0017,0.5687,0.156747,0.167439,0.1217,0.0816,0.0044,0.5363,0.115994,0.136446,0.0674,0.0569,0.0029,0.5252,0.100951,0.101822,0.06945,0.05525,0.0049,0.5373,0.120391,0.125057,0.1194,0.05505,0.0025,0.5367,0.12111,0.125208,0.11885,0.04755,221,0.8566,1.9796,13.647065
1,272,28,339.04,0.002,0.9411,0.130015,0.164267,0.1211,0.0243,0.005,0.5878,0.136285,0.127863,0.1232,0.0535,0.0025,0.5322,0.110556,0.117712,0.0731,0.05185,0.0025,0.5849,0.161494,0.162656,0.1226,0.0562,0.0042,0.8931,0.09535,0.118546,0.0683,0.05605,0.0038,0.5262,0.11421,0.127115,0.11315,0.0465,0.003,0.5419,0.119718,0.12002,0.1204,0.0497,0.0017,0.5627,0.132374,0.134336,0.1217,0.052,249,0.9154,1.9078,12.755106
2,282,18,343.19,0.0074,0.9464,0.156608,0.196395,0.1208,0.05105,0.0032,0.591,0.132934,0.145221,0.1219,0.0551,0.0043,0.8984,0.102105,0.123923,0.0668,0.0549,0.0024,0.5877,0.153287,0.167403,0.11595,0.053,0.0037,0.8971,0.106678,0.170499,0.06665,0.05645,0.0022,0.5257,0.101432,0.129459,0.06635,0.05735,0.0033,0.8885,0.126489,0.13378,0.1156,0.0503,0.0022,0.5696,0.120467,0.130717,0.1125,0.0472,246,0.8723,1.5216,12.461371
3,287,13,364.6,0.0065,0.9503,0.183382,0.228932,0.122,0.0557,0.0029,0.547,0.121684,0.135792,0.1199,0.0562,0.0031,0.9018,0.116715,0.176216,0.0674,0.0561,0.0031,0.5492,0.135632,0.157118,0.1168,0.0988,0.0029,0.8983,0.126843,0.18169,0.0674,0.0579,0.0026,0.5532,0.103959,0.130177,0.0663,0.058,0.0027,0.8921,0.115185,0.148119,0.0698,0.0557,0.0028,0.5428,0.0966,0.115403,0.0666,0.058,260,0.9059,1.5182,12.551368
4,299,1,365.28,0.0033,0.9503,0.151982,0.195623,0.122,0.0551,0.0033,0.547,0.123919,0.150658,0.1196,0.0907,0.0031,0.9425,0.131634,0.196386,0.0659,0.056,0.0031,0.535,0.117962,0.138113,0.0688,0.0571,0.0025,0.8983,0.124451,0.186535,0.0674,0.0576,0.0027,0.5532,0.104838,0.133139,0.0682,0.0581,0.0035,0.8982,0.129458,0.168533,0.1171,0.0531,0.0033,0.5428,0.115756,0.133749,0.1198,0.0572,268,0.8963,1.4987,12.418734
5,297,3,361.08,0.0037,0.9073,0.141747,0.181007,0.1169,0.0524,0.0035,0.547,0.121174,0.142912,0.0756,0.0554,0.0024,0.9521,0.137581,0.202916,0.0668,0.0562,0.0016,0.9704,0.125926,0.158879,0.0756,0.0573,0.0007,0.8557,0.126281,0.189939,0.0663,0.0579,0.0016,0.5532,0.108963,0.144351,0.0683,0.0588,0.001,0.8921,0.127802,0.158005,0.0762,0.0499,0.0015,0.8357,0.110524,0.13721,0.0693,0.058,261,0.8788,1.3879,12.433597
6,300,0,368.29,0.0014,0.9105,0.144297,0.20984,0.06795,0.05815,0.001,0.9061,0.09525,0.145742,0.01855,0.01445,0.0009,0.9521,0.157186,0.217819,0.0669,0.0574,0.0031,0.9736,0.145124,0.213374,0.0655,0.05895,0.0007,0.8598,0.116502,0.179018,0.0605,0.0565,0.0003,0.876,0.093768,0.13604,0.01985,0.0181,0.0013,0.8582,0.12135,0.173145,0.0639,0.0587,0.0021,0.8411,0.126524,0.187344,0.0648,0.0591,256,0.8533,1.1098,12.030747
7,300,0,372.47,0.0007,0.9517,0.144995,0.218824,0.06895,0.05825,0.0009,0.926,0.108071,0.192964,0.0213,0.01735,0.0005,0.9526,0.152509,0.215398,0.11975,0.1006,0.0006,0.9736,0.11362,0.183735,0.054,0.0497,0.0012,0.898,0.124398,0.181678,0.0605,0.05805,0.0003,0.8834,0.094395,0.155163,0.01985,0.01585,0.0004,0.8605,0.141437,0.19614,0.0607,0.0594,0.0003,0.8444,0.120575,0.186811,0.03485,0.03255,264,0.88,1.1098,12.303425
8,300,0,381.22,0.0017,0.9688,0.153207,0.238023,0.05095,0.04605,0.0016,0.9676,0.136481,0.228931,0.0322,0.0284,0.0007,0.9516,0.138058,0.220897,0.0378,0.03525,0.0006,0.9293,0.127298,0.207745,0.0506,0.0475,0.0002,0.8799,0.110901,0.189565,0.01715,0.01585,0.0001,0.894,0.114732,0.193332,0.0192,0.0175,0.0002,0.8733,0.107989,0.158773,0.05305,0.05165,0.0004,0.8688,0.111334,0.18475,0.02135,0.02025,269,0.8967,0.5884,11.988275
9,300,0,380.46,0.0014,0.9502,0.16279,0.248907,0.05495,0.05275,0.0015,0.9712,0.126758,0.211873,0.0289,0.0264,0.0006,0.9743,0.139222,0.209658,0.0645,0.05935,0.0005,0.9696,0.140947,0.22708,0.04025,0.03805,0.0003,0.9183,0.1007,0.167673,0.0165,0.01505,0.0004,0.9054,0.109595,0.192707,0.0163,0.015,0.0003,0.8733,0.104924,0.1439,0.0311,0.0303,0.0002,0.8688,0.115063,0.186479,0.0309,0.03,265,0.8833,0.5457,12.093778
