generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
57,300,0,400.16,0.001,0.9778,0.299903,0.276184,0.24105,0.1688,0.0,0.915,0.7257,0.218178,0.845,0.06,0.0,0.94,0.758933,0.215507,0.88,0.053333,277,0.9233,0.4422,9.30163
58,300,0,398.31,0.0004,0.9778,0.378238,0.335249,0.24525,0.2082,0.0,0.95,0.726883,0.236312,0.85,0.045,0.0,0.973333,0.758222,0.234589,0.886667,0.033333,271,0.9033,0.4422,8.330962
59,300,0,383.12,0.0009,0.9778,0.322677,0.277223,0.24705,0.22765,0.0,0.95,0.72655,0.25765,0.87,0.035,0.0,0.973333,0.758267,0.257924,0.896667,0.043333,253,0.8433,0.4422,8.39899
60,300,0,401.73,0.0015,0.9778,0.257378,0.237388,0.23345,0.11005,0.0,0.955,0.755433,0.233919,0.875,0.065,0.0,0.973333,0.785933,0.233924,0.9,0.073333,266,0.8867,0.4422,9.803888
61,300,0,376.35,0.0012,0.9779,0.437021,0.370834,0.25225,0.2337,0.0,0.945,0.7325,0.235163,0.86,0.035,0.0,0.96,0.7622,0.231308,0.893333,0.026667,252,0.84,0.4421,7.550713
62,300,0,407.09,0.001,0.9779,0.272069,0.258944,0.21835,0.1461,0.0,0.95,0.69655,0.25605,0.84,0.095,0.0,0.973333,0.730244,0.252141,0.873333,0.086667,279,0.93,0.4421,9.598131
63,300,0,404.81,0.0012,0.9779,0.364876,0.348016,0.2402,0.1794,0.0,0.915,0.7096,0.240375,0.85,0.045,0.0,0.933333,0.741889,0.233024,0.88,0.04,275,0.9167,0.4421,8.513258
64,300,0,389.19,0.0005,0.9779,0.408006,0.362599,0.2497,0.23515,0.0,0.915,0.74875,0.217225,0.86,0.035,0.0,0.94,0.780333,0.212669,0.893333,0.02,274,0.9133,0.4421,7.809994
65,300,0,389.87,0.0009,0.9779,0.353772,0.299187,0.247,0.1949,0.0,0.95,0.735633,0.227851,0.855,0.045,0.0,0.973333,0.770778,0.222022,0.886667,0.046666,281,0.9367,0.4421,8.485494
66,300,0,401.94,0.0001,0.9779,0.307045,0.282642,0.243,0.1729,0.0,0.95,0.7366,0.220409,0.865,0.04,0.0,0.973333,0.767889,0.217978,0.886667,0.046666,283,0.9433,0.4421,8.884488
67,300,0,397.55,0.0003,0.9779,0.313795,0.284601,0.24105,0.21885,0.025,0.955,0.735617,0.222404,0.855,0.085,0.066667,0.973333,0.764689,0.218189,0.886667,0.06,274,0.9133,0.4421,8.610405
68,300,0,386.88,0.0013,0.9779,0.392614,0.363885,0.24255,0.2334,0.0,0.945,0.730067,0.223398,0.855,0.035,0.0,0.966667,0.765156,0.218321,0.886667,0.026667,264,0.88,0.4421,7.931986
69,300,0,396.62,0.0008,0.9779,0.248126,0.237261,0.23305,0.10965,0.0,0.955,0.767333,0.220132,0.865,0.065,0.0,0.973333,0.799867,0.214573,0.893333,0.06,269,0.8967,0.4421,10.21834
70,300,0,399.49,0.0011,0.9779,0.342472,0.350806,0.23395,0.21805,0.0,0.955,0.7447,0.224071,0.855,0.04,0.0,0.973333,0.777956,0.220835,0.886667,0.033333,271,0.9033,0.4421,8.616528
71,300,0,413.58,0.001,0.9779,0.258211,0.22781,0.2274,0.149,0.0,0.955,0.696317,0.256398,0.82,0.095,0.0,0.973333,0.728844,0.252817,0.86,0.08,270,0.9,0.4247,9.623789
