generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,246,54,737.06,0.0043,0.4516,0.132023,0.093958,0.12215,0.01445,0.0028,0.5207,0.119407,0.111711,0.1218,0.03995,0.0051,0.4862,0.112925,0.118337,0.08185,0.0506,0.0038,0.5464,0.14462,0.14465,0.12385,0.05545,0.0046,0.6744,0.097326,0.130645,0.06755,0.05685,0.0027,0.4884,0.124136,0.129124,0.1193,0.04855,0.0042,0.5131,0.136746,0.127273,0.1213,0.04615,0.0023,0.7421,0.132817,0.137863,0.12125,0.0499,215,0.874,1.8338,14.04805
1,282,18,360.75,0.0045,0.4638,0.11548,0.083119,0.1215,0.0341,0.0048,0.662,0.13769,0.127741,0.12305,0.0512,0.0047,0.5483,0.114543,0.115257,0.10605,0.04775,0.0035,0.5491,0.152145,0.141831,0.1239,0.0534,0.0045,0.7715,0.113979,0.136907,0.0936,0.054,0.0037,0.809,0.124628,0.127372,0.1204,0.05215,0.0042,0.5148,0.12399,0.113746,0.1208,0.0458,0.004,0.7421,0.117545,0.1268,0.119,0.0498,264,0.9362,1.7517,14.243471
2,271,29,349.55,0.0032,0.4664,0.122139,0.105097,0.1148,0.0572,0.0026,0.6947,0.115577,0.118684,0.0981,0.0549,0.0031,0.7351,0.134552,0.141156,0.1201,0.0817,0.0017,0.5491,0.151831,0.145875,0.1191,0.0753,0.0043,0.7792,0.112952,0.143997,0.0704,0.0539,0.0044,0.809,0.12713,0.142148,0.0976,0.0374,0.0034,0.5131,0.134209,0.126977,0.12,0.0614,0.005,0.7634,0.101609,0.102219,0.0744,0.0518,245,0.9041,1.751,13.998363
3,280,20,388.63,0.0049,0.4675,0.118725,0.093175,0.1187,0.0631,0.005,0.7032,0.128351,0.130614,0.11085,0.06655,0.0053,0.792,0.123482,0.135393,0.1013,0.06445,0.0038,0.8214,0.128075,0.13306,0.09455,0.0591,0.0044,0.7836,0.108455,0.107725,0.08245,0.0537,0.0037,0.8387,0.135236,0.153638,0.10835,0.05655,0.0048,0.4959,0.126875,0.118787,0.09955,0.06095,0.0047,0.773,0.1308,0.138825,0.1101,0.0722,276,0.9857,1.751,15.406589
4,295,5,389.37,0.005,0.5385,0.124235,0.105551,0.1153,0.0797,0.0043,0.835,0.113481,0.121039,0.0811,0.0576,0.0055,0.8023,0.112196,0.138753,0.0677,0.0514,0.0043,0.7939,0.117854,0.118162,0.0922,0.0589,0.005,0.7836,0.141626,0.156047,0.0961,0.063,0.004,0.8601,0.13911,0.149683,0.1079,0.0618,0.0049,0.7517,0.133905,0.133875,0.0937,0.0664,0.0063,0.8044,0.117592,0.133402,0.0808,0.0522,283,0.9593,1.751,15.522177
5,299,1,404.35,0.0052,0.8373,0.109682,0.107231,0.0832,0.0525,0.0041,0.842,0.116883,0.153198,0.0753,0.0536,0.0045,0.8077,0.133318,0.168289,0.0911,0.0675,0.0046,0.8386,0.129692,0.153442,0.0842,0.0555,0.0059,0.7836,0.13034,0.156352,0.0994,0.0732,0.0041,0.8608,0.140192,0.168496,0.092,0.0603,0.0048,0.8214,0.125978,0.158827,0.0727,0.0528,0.0054,0.8044,0.113916,0.135367,0.0748,0.0535,279,0.9331,1.751,15.123404
6,296,4,422.17,0.0078,0.8424,0.122063,0.132002,0.09135,0.06395,0.0074,0.8317,0.121436,0.141034,0.07225,0.0517,0.0073,0.7973,0.122649,0.120585,0.09435,0.06765,0.005,0.86,0.140211,0.160809,0.0964,0.0716,0.0087,0.7979,0.136699,0.155993,0.0978,0.0721,0.0057,0.8599,0.125254,0.141243,0.08925,0.0614,0.0042,0.8171,0.119164,0.137701,0.07895,0.0534,0.0073,0.8044,0.112524,0.115442,0.08385,0.0613,289,0.9764,1.751,15.842149
7,299,1,416.71,0.0076,0.8513,0.131022,0.165966,0.0866,0.0645,0.0036,0.8036,0.117106,0.108173,0.1022,0.069,0.0071,0.7958,0.118804,0.127213,0.0841,0.0589,0.0059,0.8454,0.131154,0.14539,0.0952,0.0706,0.0068,0.814,0.128489,0.145179,0.0928,0.0671,0.0059,0.8193,0.131729,0.143836,0.1102,0.0808,0.0053,0.8213,0.134676,0.152387,0.1162,0.0756,0.0029,0.8057,0.10702,0.121828,0.0748,0.0536,287,0.9599,1.5551,15.285477
8,295,5,425.36,0.0061,0.8428,0.132374,0.161607,0.0886,0.0649,0.0036,0.8076,0.123156,0.123287,0.0893,0.0622,0.0063,0.8091,0.123017,0.131761,0.0985,0.0661,0.0061,0.8547,0.13924,0.170441,0.0867,0.065,0.004,0.7287,0.111785,0.109384,0.0827,0.06,0.0044,0.8486,0.124804,0.142485,0.0866,0.0619,0.0086,0.815,0.120386,0.123315,0.0946,0.0707,0.0029,0.8057,0.125238,0.130048,0.1015,0.0775,289,0.9797,1.5551,15.122745
9,294,6,422.42,0.0032,0.8496,0.132118,0.16465,0.08305,0.0605,0.0036,0.8036,0.109903,0.122187,0.07525,0.0542,0.0044,0.8191,0.130678,0.16196,0.08495,0.06155,0.0057,0.8544,0.133802,0.151864,0.09045,0.0673,0.005,0.8137,0.118041,0.141251,0.074,0.05205,0.006,0.8426,0.122165,0.135619,0.0864,0.064,0.0061,0.8484,0.118705,0.129452,0.08695,0.064,0.0029,0.849,0.134587,0.156721,0.0924,0.0706,287,0.9762,1.5551,14.646873
