generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,237,63,726.38,0.0094,0.253,0.125461,0.029301,0.1255,0.0022,0.0,0.935,0.784705,0.156555,0.775,0.0,0.0,0.96,0.796343,0.163851,0.773333,0.0,166,0.7004,11.047,11.768632
1,262,38,301.64,0.0017,0.5401,0.133373,0.044435,0.1256,0.0025,0.0,0.94,0.86229,0.106984,0.915,0.01,0.0,0.973333,0.886972,0.116295,0.953333,0.006666,200,0.7634,10.3799,11.401894
2,276,24,331.85,0.0136,0.5462,0.144785,0.056943,0.1265,0.0031,0.0,0.94,0.847536,0.182733,0.915,0.01,0.0,0.973333,0.874227,0.190221,0.953333,0.006666,223,0.808,10.3799,11.53536
3,270,30,322.36,0.001,0.5462,0.164365,0.073703,0.1283,0.00595,0.0,0.95,0.840852,0.200644,0.915,0.01,0.0,0.973333,0.865901,0.206907,0.953333,0.006666,232,0.8593,0.7698,11.543042
4,279,21,327.97,0.0016,0.5462,0.199616,0.091884,0.2429,0.0114,0.0,0.95,0.865233,0.170915,0.925,0.005,0.0,0.973333,0.891684,0.172556,0.953333,0.0,229,0.8208,0.7594,11.085546
5,264,36,312.23,0.0023,0.9769,0.234994,0.120233,0.24585,0.0087,0.0,0.955,0.886496,0.128118,0.925,0.01,0.0,0.973333,0.913131,0.129183,0.953333,0.0,217,0.822,0.2431,10.15387
6,269,31,303.24,0.0016,0.9769,0.279972,0.159209,0.2479,0.1166,0.0,0.965,0.901989,0.083712,0.925,0.01,0.0,0.973333,0.926939,0.088011,0.953333,0.006666,225,0.8364,0.2431,8.903968
7,277,23,322.94,0.0012,0.9769,0.314668,0.190066,0.2503,0.1264,0.0,0.965,0.900884,0.091524,0.925,0.01,0.0,0.973333,0.924934,0.093703,0.953333,0.006666,241,0.87,0.2431,7.63804
8,273,27,333.98,0.0013,0.9791,0.332421,0.217931,0.2488,0.1245,0.26,0.965,0.900183,0.073867,0.925,0.01,0.26,0.973333,0.923223,0.079408,0.953333,0.006666,242,0.8864,0.2409,7.550363
9,282,18,358.21,0.0021,0.9791,0.338854,0.234783,0.2497,0.1242,0.525,0.965,0.89828,0.069736,0.925,0.01,0.52,0.973333,0.921489,0.075763,0.953333,0.006666,251,0.8901,0.2409,7.592849
10,287,13,359.04,0.0016,0.9791,0.396329,0.266434,0.4797,0.2331,0.635,0.97,0.901289,0.063655,0.925,0.01,0.646667,0.973333,0.924181,0.068749,0.953333,0.006667,259,0.9024,0.2409,6.015936
