generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,262,38,804.62,0.0039,0.4828,0.139927,0.122105,0.1254,0.087,0.0005,0.3997,0.0869,0.07922,0.1076,0.07205,0.0014,0.6735,0.144802,0.122614,0.12465,0.03255,0.0014,0.4713,0.121946,0.111801,0.1216,0.042,0.0008,0.5394,0.148545,0.119245,0.1246,0.0212,0.0002,0.48,0.111598,0.103002,0.12225,0.05965,0.0012,0.4859,0.127599,0.122518,0.1229,0.071,0.0002,0.5729,0.118684,0.123646,0.11985,0.07255,223,0.8511,1.8341,12.947821
1,270,30,375.22,0.0041,0.4821,0.108591,0.114659,0.10435,0.07035,0.0004,0.4735,0.081881,0.082798,0.0547,0.0497,0.002,0.6841,0.153888,0.146521,0.1239,0.04095,0.0008,0.6721,0.129154,0.131534,0.11935,0.05415,0.0039,0.5394,0.125704,0.109971,0.12135,0.05205,0.0005,0.5736,0.122486,0.120756,0.1205,0.06925,0.0009,0.488,0.130506,0.123694,0.11905,0.05805,0.0008,0.5821,0.14779,0.150513,0.12155,0.06695,241,0.8926,1.832,13.526309
2,271,29,382.15,0.0006,0.7092,0.103356,0.127509,0.0519,0.045,0.0004,0.5668,0.092098,0.112227,0.0468,0.0407,0.0013,0.7149,0.188236,0.200887,0.1243,0.0505,0.0008,0.6784,0.115562,0.135405,0.0781,0.0475,0.0009,0.5644,0.117977,0.108326,0.1172,0.043,0.0007,0.5843,0.126117,0.144771,0.1177,0.0682,0.0007,0.5987,0.110365,0.116446,0.0755,0.0498,0.0005,0.6031,0.146289,0.159357,0.1207,0.0794,246,0.9077,1.7789,13.104764
3,280,20,404.58,0.0038,0.7173,0.107261,0.151527,0.0471,0.0379,0.0042,0.5842,0.087315,0.115601,0.04755,0.03685,0.0054,0.7149,0.153983,0.175436,0.11755,0.0468,0.0056,0.6917,0.127118,0.151133,0.0824,0.04775,0.0044,0.7027,0.119744,0.113481,0.1082,0.04555,0.0042,0.6518,0.120811,0.130809,0.104,0.05435,0.0065,0.7154,0.122182,0.149521,0.0696,0.0519,0.0068,0.6077,0.161586,0.173079,0.1202,0.0759,259,0.925,1.7789,13.240104
4,284,16,383.49,0.0043,0.7173,0.089791,0.141857,0.0424,0.02515,0.0042,0.7213,0.095806,0.122592,0.04985,0.0335,0.0076,0.7151,0.169914,0.191013,0.11715,0.06565,0.0068,0.7095,0.140498,0.172779,0.06415,0.04775,0.006,0.7156,0.128955,0.150725,0.10345,0.04985,0.0065,0.678,0.123981,0.135909,0.1032,0.0539,0.0059,0.6885,0.110531,0.127696,0.05565,0.04045,0.0083,0.5993,0.140524,0.162125,0.07045,0.04705,247,0.8697,1.7789,13.295455
5,298,2,408.59,0.0037,0.7273,0.099943,0.149584,0.0483,0.03095,0.0048,0.7213,0.096309,0.14207,0.0467,0.02425,0.0047,0.7227,0.161374,0.197538,0.1095,0.0638,0.0073,0.7067,0.141948,0.168641,0.0622,0.04825,0.0039,0.7131,0.122768,0.15373,0.0682,0.03985,0.0052,0.6672,0.114227,0.136569,0.06075,0.04595,0.0065,0.6988,0.122249,0.159699,0.054,0.03805,0.0079,0.6659,0.141181,0.158441,0.0684,0.03965,271,0.9094,1.7789,13.052583
6,298,2,363.21,0.0052,0.7173,0.101723,0.139678,0.05155,0.03365,0.0049,0.7213,0.108512,0.153929,0.04905,0.02455,0.0073,0.7148,0.151541,0.191751,0.0623,0.0449,0.0082,0.709,0.13308,0.175607,0.0541,0.03195,0.0054,0.7,0.112514,0.146629,0.05335,0.02175,0.0091,0.6756,0.133468,0.163768,0.05495,0.02535,0.0058,0.7062,0.129152,0.170799,0.05445,0.0268,0.0087,0.7106,0.13001,0.156179,0.0588,0.0271,260,0.8725,1.7789,13.191922
7,300,0,395.17,0.0046,0.7093,0.096967,0.135987,0.0511,0.0332,0.004,0.7213,0.103002,0.152002,0.0456,0.0268,0.0069,0.7158,0.176486,0.210694,0.1186,0.0758,0.0077,0.7092,0.13837,0.17134,0.0564,0.03555,0.0046,0.7032,0.108641,0.134171,0.0558,0.0369,0.0047,0.6834,0.118486,0.142308,0.0543,0.0376,0.0075,0.7211,0.129113,0.169115,0.0523,0.03595,0.0087,0.7106,0.128934,0.159234,0.0569,0.03205,276,0.92,1.7789,13.132087
8,298,2,391.37,0.0048,0.7234,0.110666,0.163274,0.05045,0.03265,0.0049,0.7213,0.09958,0.140865,0.04815,0.0199,0.0076,0.7154,0.176643,0.210198,0.11805,0.074,0.0063,0.7063,0.134433,0.162851,0.05765,0.0337,0.0066,0.7094,0.117704,0.140675,0.0541,0.0282,0.007,0.7075,0.106187,0.126213,0.05375,0.0238,0.0053,0.7,0.135891,0.17912,0.0565,0.03195,0.0073,0.7169,0.118897,0.146471,0.058,0.02455,283,0.9497,1.7789,12.859008
9,300,0,400.69,0.0052,0.7193,0.096503,0.137982,0.0476,0.0316,0.0048,0.7133,0.103805,0.137847,0.0487,0.0262,0.0065,0.7395,0.199736,0.230214,0.12175,0.07635,0.0077,0.71,0.109242,0.133522,0.0544,0.0341,0.0062,0.7083,0.119706,0.156445,0.05495,0.0408,0.0047,0.714,0.119373,0.15325,0.05655,0.03765,0.0061,0.709,0.132314,0.168371,0.05675,0.0345,0.006,0.7139,0.119321,0.154715,0.0543,0.0249,285,0.95,1.7789,13.063686
