generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,239,61,717.42,0.0022,0.2514,0.124756,0.034656,0.1254,0.0024,0.0,0.94,0.775439,0.160659,0.755,0.0,0.0,0.96,0.80265,0.163662,0.78,0.0,169,0.7071,11.0486,11.818172
1,261,39,300.01,0.0015,0.2538,0.134957,0.042184,0.1254,0.003,0.0,0.94,0.862797,0.120321,0.915,0.005,0.0,0.973333,0.893231,0.126706,0.953333,0.0,193,0.7395,11.0281,11.448185
2,263,37,274.35,0.0023,0.321,0.148811,0.059638,0.1266,0.0041,0.0,0.95,0.882015,0.120376,0.915,0.005,0.0,0.973333,0.912978,0.12435,0.953333,0.0,210,0.7985,10.9527,11.348832
3,272,28,324.18,0.0012,0.2569,0.1694,0.073945,0.1294,0.0421,0.39,0.95,0.887261,0.075623,0.915,0.01,0.446667,0.973333,0.916544,0.078974,0.953333,0.0,216,0.7941,10.9527,11.281556
4,282,18,333.93,0.0013,0.3248,0.183388,0.077307,0.24215,0.01415,0.0,0.95,0.891241,0.090807,0.925,0.0,0.0,0.973333,0.919527,0.095319,0.953333,0.0,216,0.766,10.9452,11.269023
5,275,25,310.57,0.0,0.4127,0.178704,0.084196,0.242,0.0149,0.0,0.95,0.879018,0.120713,0.925,0.0,0.0,0.973333,0.907709,0.122498,0.953333,0.0,205,0.7455,10.9449,11.343914
6,278,22,343.68,0.0,0.4807,0.184647,0.079536,0.2422,0.01535,0.0,0.95,0.889137,0.0915,0.925,0.01,0.0,0.973333,0.918369,0.093432,0.953333,0.0,224,0.8058,1.8793,11.228734
7,285,15,316.32,0.0006,0.487,0.175385,0.092118,0.1335,0.1132,0.51,0.95,0.888667,0.085016,0.925,0.01,0.546667,0.973333,0.917941,0.085702,0.953333,0.006666,224,0.786,1.8793,11.164686
8,260,40,316.69,0.0014,0.4809,0.176978,0.089317,0.1294,0.1113,0.0,0.955,0.861327,0.145455,0.925,0.0175,0.0,0.973333,0.891436,0.145674,0.953333,0.02,224,0.8615,1.8793,11.282714
9,264,36,316.79,0.0008,0.4809,0.177981,0.090624,0.13015,0.11225,0.0,0.955,0.857235,0.133839,0.925,0.025,0.0,0.973333,0.887146,0.133473,0.953333,0.02,234,0.8864,1.8793,11.254898
