generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,244,56,745.65,0.0028,0.4797,0.132383,0.055366,0.125,0.0025,0.0,0.94,0.785184,0.161992,0.76,0.025,0.0,0.973333,0.809372,0.167287,0.78,0.026667,180,0.7377,10.8003,11.758027
1,258,42,302.96,0.0017,0.492,0.146016,0.077437,0.1252,0.0029,0.0,0.95,0.845698,0.142595,0.915,0.01,0.0,0.973333,0.873049,0.150935,0.946667,0.006667,214,0.8295,0.828,11.46724
2,273,27,326.98,0.0011,0.961,0.167679,0.110272,0.1264,0.0053,0.0,0.94,0.850549,0.146874,0.915,0.01,0.0,0.973333,0.877704,0.153813,0.946667,0.006666,246,0.9011,0.793,11.223603
3,259,41,310.36,0.0014,0.9792,0.189483,0.147589,0.1282,0.1119,0.0,0.94,0.844324,0.159315,0.915,0.01,0.0,0.973333,0.869936,0.165737,0.946667,0.013333,243,0.9382,0.2808,11.068355
4,263,37,316.49,0.001,0.9792,0.225218,0.179444,0.2349,0.1095,0.28,0.94,0.851293,0.120662,0.915,0.015,0.293333,0.973333,0.876122,0.126968,0.946667,0.006667,237,0.9011,0.2808,10.495086
5,263,37,312.29,0.0,0.9792,0.271603,0.217266,0.246,0.123,0.0,0.95,0.83211,0.149484,0.915,0.02,0.0,0.973333,0.854778,0.156589,0.946667,0.013333,237,0.9011,0.242,9.813948
6,272,28,348.8,0.0,0.9792,0.259283,0.207614,0.24345,0.1222,0.42,0.95,0.85204,0.11457,0.915,0.015,0.453333,0.973333,0.87598,0.119269,0.946667,0.013333,259,0.9522,0.242,9.788437
7,281,19,343.3,0.0002,0.9787,0.287916,0.235952,0.2465,0.1252,0.0,0.945,0.851192,0.1279,0.915,0.015,0.0,0.966667,0.874021,0.133805,0.946667,0.006667,263,0.9359,0.2413,9.232226
8,281,19,338.99,0.0001,0.9787,0.326767,0.274354,0.2464,0.1519,0.0,0.945,0.862918,0.111332,0.915,0.02,0.0,0.973333,0.885457,0.117072,0.946667,0.006667,258,0.9181,0.2413,8.341418
9,278,22,345.04,0.0007,0.9792,0.377219,0.31686,0.24885,0.2282,0.05,0.95,0.868615,0.108876,0.915,0.02,0.12,0.966667,0.892062,0.110656,0.946667,0.006667,254,0.9137,0.2413,7.479256
10,282,18,369.07,0.0004,0.9801,0.360179,0.321094,0.24845,0.2324,0.0,0.95,0.836277,0.147169,0.91,0.0275,0.0,0.973333,0.857825,0.151936,0.94,0.02,268,0.9504,0.2221,7.867338
11,277,23,343.12,0.0,0.9801,0.369464,0.340914,0.2454,0.2164,0.045,0.955,0.836191,0.132826,0.91,0.03,0.113333,0.973333,0.855788,0.137566,0.933333,0.033333,265,0.9567,0.2213,8.000572
12,295,5,392.75,0.0003,0.9809,0.341919,0.322096,0.2453,0.2326,0.0,0.95,0.832966,0.145216,0.905,0.035,0.0,0.966667,0.853898,0.151994,0.933333,0.026667,281,0.9525,0.2213,8.1492
13,292,8,381.68,0.0005,0.9809,0.347379,0.295856,0.2471,0.17245,0.03,0.96,0.843048,0.137907,0.91,0.0275,0.073333,0.973333,0.86605,0.139245,0.94,0.02,282,0.9658,0.2213,8.095498
14,292,8,376.82,0.0001,0.9801,0.354361,0.296008,0.2491,0.2145,0.285,0.955,0.839777,0.141194,0.915,0.025,0.32,0.973333,0.861073,0.144836,0.94,0.02,279,0.9555,0.2213,7.793378
15,293,7,380.56,0.0,0.9801,0.3663,0.329358,0.249,0.2381,0.0,0.955,0.836724,0.158345,0.915,0.025,0.0,0.973333,0.857474,0.160518,0.94,0.02,275,0.9386,0.2213,7.604348
16,294,6,375.55,0.0,0.9801,0.375093,0.327849,0.24785,0.2382,0.02,0.95,0.848197,0.129039,0.91,0.03,0.086667,0.966667,0.868594,0.132146,0.936666,0.026666,279,0.949,0.22,7.456608
