generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,256,44,763.25,0.0074,0.521,0.128728,0.038467,0.1252,0.0027,0.0,0.94,0.766973,0.194918,0.775,0.03,0.0,0.973333,0.778359,0.202723,0.773333,0.023333,189,0.7383,9.579,11.8251
1,247,53,293.04,0.002,0.521,0.131292,0.051231,0.1258,0.0028,0.0,0.94,0.841377,0.188958,0.915,0.005,0.0,0.973333,0.868502,0.195895,0.946667,0.006666,199,0.8057,9.579,11.508951
2,261,39,303.72,0.0013,0.5215,0.139257,0.068929,0.1264,0.0035,0.0,0.945,0.843697,0.196429,0.915,0.01,0.0,0.973333,0.87106,0.206091,0.946667,0.006667,217,0.8314,9.5785,11.502123
3,258,42,301.15,0.0027,0.5215,0.167405,0.080733,0.12815,0.00625,0.0,0.955,0.840678,0.219545,0.915,0.015,0.0,0.973333,0.868139,0.225347,0.953333,0.02,223,0.8643,9.5785,11.500812
4,259,41,312.75,0.0027,0.5215,0.187659,0.092378,0.1303,0.0923,0.0,0.955,0.845676,0.193765,0.92,0.01,0.0,0.973333,0.869755,0.201569,0.953333,0.013333,223,0.861,9.5785,11.486627
5,267,33,335.85,0.0026,0.5215,0.194224,0.096601,0.2105,0.0817,0.0,0.96,0.831779,0.20798,0.915,0.015,0.0,0.973333,0.856629,0.214526,0.946667,0.006666,238,0.8914,0.765,11.505701
6,263,37,333.52,0.0015,0.4967,0.211628,0.099717,0.2434,0.039,0.0,0.96,0.856331,0.157592,0.915,0.015,0.0,0.973333,0.881394,0.163232,0.946667,0.006666,232,0.8821,0.7633,11.267079
7,258,42,317.65,0.0016,0.4967,0.229784,0.112118,0.24585,0.05245,0.405,0.96,0.883702,0.081956,0.915,0.02,0.4,0.973333,0.908811,0.087421,0.946667,0.023333,230,0.8915,0.7633,10.925332
8,245,55,302.11,0.0013,0.577,0.233179,0.131816,0.2458,0.1187,0.38,0.96,0.873347,0.107823,0.915,0.025,0.406667,0.973333,0.896816,0.112669,0.946667,0.026666,220,0.898,0.7631,10.375474
9,263,37,312.28,0.0022,0.5005,0.258895,0.139319,0.2474,0.1196,0.315,0.97,0.872909,0.114626,0.925,0.025,0.306667,0.973333,0.894449,0.122423,0.953333,0.02,224,0.8517,0.632,9.652511
10,273,27,342.67,0.0016,0.504,0.270877,0.150138,0.2479,0.122,0.315,0.97,0.885092,0.102563,0.925,0.01,0.306667,0.973333,0.907448,0.109699,0.953333,0.006667,235,0.8608,0.6241,8.697914
11,279,21,342.07,0.0013,0.9765,0.30439,0.16282,0.2504,0.1259,0.29,0.97,0.899068,0.077332,0.925,0.01,0.306667,0.973333,0.920836,0.083049,0.953333,0.006667,242,0.8674,0.2435,7.515108
12,283,17,352.21,0.0011,0.9765,0.297987,0.173279,0.248,0.1254,0.51,0.97,0.896449,0.082308,0.925,0.01,0.52,0.973333,0.91894,0.087955,0.953333,0.006667,241,0.8516,0.2435,7.476642
13,282,18,340.52,0.0012,0.9853,0.334133,0.184768,0.25065,0.1287,0.25,0.985,0.902128,0.084214,0.9275,0.0075,0.253333,0.993333,0.922506,0.08981,0.953333,0.006667,238,0.844,0.0747,6.872959
14,286,14,387.33,0.0013,0.9874,0.321664,0.220597,0.24785,0.1258,0.515,0.985,0.896783,0.083549,0.925,0.01,0.513333,0.993333,0.917203,0.089376,0.953333,0.006667,262,0.9161,0.0726,7.314979
