generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,239,61,717.47,0.0006,0.4896,0.306093,0.177195,0.3073,0.1724,0.095,0.94,0.717887,0.153584,0.815,0.025,0.14,0.973333,0.759359,0.15897,0.86,0.026667,165,0.6904,1.1137,11.152903
1,258,42,330.73,0.002,0.4915,0.175395,0.138152,0.1262,0.0054,0.03,0.945,0.748391,0.208233,0.8025,0.1375,0.066667,0.973333,0.778966,0.202039,0.84,0.133333,210,0.814,0.8295,11.443443
2,290,10,349.82,0.0011,0.5316,0.260748,0.18112,0.23745,0.17345,0.0,0.92,0.669621,0.219706,0.755,0.1225,0.0,0.946667,0.710759,0.212113,0.806667,0.12,234,0.8069,0.8282,9.683459
3,284,16,368.68,0.0012,0.5316,0.230479,0.166862,0.1677,0.0789,0.0,0.925,0.624243,0.245932,0.685,0.155,0.0,0.96,0.663662,0.239994,0.7,0.166667,260,0.9155,0.8282,10.801634
4,291,9,357.97,0.0013,0.5267,0.25583,0.180809,0.2331,0.1687,0.0,0.94,0.662526,0.245025,0.775,0.115,0.0,0.973333,0.700779,0.241338,0.813333,0.12,254,0.8729,0.8282,10.494754
5,290,10,354.05,0.0011,0.4918,0.264366,0.18474,0.23815,0.2198,0.0,0.935,0.684362,0.223887,0.785,0.13,0.0,0.953333,0.720598,0.216047,0.82,0.113333,254,0.8759,0.8282,10.137772
6,292,8,349.27,0.0025,0.4918,0.265749,0.176184,0.2343,0.16545,0.0,0.94,0.675959,0.228836,0.7725,0.1275,0.0,0.973333,0.711164,0.223201,0.813333,0.12,265,0.9075,0.8282,10.398703
7,288,12,383.74,0.0011,0.4918,0.252108,0.174745,0.21745,0.1483,0.0,0.925,0.670469,0.231473,0.7625,0.1025,0.0,0.953333,0.705625,0.229509,0.8,0.1,277,0.9618,0.8282,10.727128
8,294,6,356.36,0.0005,0.4928,0.264515,0.18111,0.23675,0.1747,0.0,0.92,0.690051,0.213692,0.7675,0.105,0.0,0.933333,0.725828,0.209507,0.813333,0.106667,265,0.9014,0.8282,10.179838
9,293,7,384.14,0.0013,0.4928,0.257476,0.177814,0.2356,0.1682,0.0,0.92,0.668737,0.226196,0.735,0.12,0.0,0.953333,0.704551,0.222483,0.78,0.106667,274,0.9352,0.8282,10.542319
