generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,244,56,752.62,0.0048,0.4905,0.155595,0.116499,0.1258,0.0062,0.0009,0.5199,0.120343,0.116203,0.12175,0.018,0.002,0.4926,0.185877,0.157775,0.12515,0.07195,0.0007,0.4916,0.111975,0.105046,0.1227,0.0314,0.0015,0.4757,0.09784,0.086547,0.12025,0.0554,0.0006,0.4785,0.098346,0.098325,0.1202,0.0508,0.0014,0.5096,0.12225,0.108707,0.1235,0.04025,0.0002,0.4803,0.107773,0.089236,0.12225,0.00895,230,0.9426,1.1689,13.258435
1,245,55,285.16,0.0019,0.5336,0.131444,0.135154,0.1227,0.0504,0.0012,0.5339,0.101687,0.112898,0.1207,0.0568,0.0018,0.4873,0.149229,0.156039,0.1226,0.0938,0.0007,0.4911,0.12053,0.131182,0.1204,0.0537,0.0025,0.5374,0.123195,0.127713,0.1232,0.0547,0.0003,0.4946,0.116527,0.129084,0.1214,0.0567,0.0014,0.4933,0.134671,0.137946,0.1221,0.0564,0.0005,0.4831,0.122718,0.126699,0.1224,0.0538,217,0.8857,1.1689,12.582001
2,262,38,316.32,0.0019,0.5446,0.130706,0.135418,0.12215,0.04875,0.0012,0.5611,0.107425,0.121023,0.12095,0.05265,0.0015,0.5023,0.144887,0.151882,0.1219,0.05825,0.0016,0.5355,0.112824,0.130272,0.11815,0.05545,0.0017,0.544,0.12824,0.14304,0.1206,0.0605,0.0004,0.4946,0.112992,0.126497,0.1194,0.05355,0.0014,0.5233,0.141879,0.144836,0.1227,0.057,0.0002,0.5329,0.121047,0.129397,0.1206,0.0539,246,0.9389,1.1668,12.531222
3,278,22,333.81,0.0019,0.5426,0.120218,0.146368,0.12165,0.082,0.001,0.5359,0.102255,0.108333,0.1186,0.0513,0.0015,0.5057,0.139992,0.154021,0.1218,0.0579,0.0014,0.5355,0.11725,0.133476,0.11705,0.057,0.0017,0.9054,0.131651,0.150221,0.1212,0.05735,0.0011,0.4946,0.106492,0.113257,0.1184,0.05325,0.0017,0.5298,0.143978,0.139919,0.1223,0.0563,0.002,0.5358,0.138164,0.140446,0.1223,0.05735,259,0.9317,1.1668,12.393397
4,272,28,329.93,0.0017,0.5369,0.128071,0.144007,0.12185,0.10345,0.001,0.5384,0.100301,0.11915,0.11685,0.10235,0.0009,0.9068,0.149935,0.163666,0.12275,0.1054,0.0,0.5355,0.112815,0.134551,0.11875,0.09665,0.0008,0.9698,0.142322,0.192362,0.121,0.1083,0.0011,0.5268,0.109521,0.129647,0.11665,0.0949,0.0017,0.7671,0.142476,0.163231,0.1212,0.10265,0.0017,0.5354,0.114558,0.140083,0.10565,0.088,258,0.9485,1.0608,12.241155
5,285,15,362.2,0.0003,0.4888,0.099923,0.135055,0.0426,0.04,0.0001,0.496,0.090707,0.129008,0.0153,0.014,0.0007,0.9716,0.150841,0.198443,0.1226,0.1109,0.0,0.5363,0.098405,0.12938,0.0338,0.0332,0.0005,0.9722,0.152123,0.204819,0.1222,0.1094,0.0001,0.8085,0.09362,0.13217,0.0217,0.0196,0.0017,0.9727,0.189393,0.229673,0.1232,0.112,0.0022,0.8634,0.124989,0.155795,0.0778,0.0658,265,0.9298,1.0441,12.399069
6,283,17,341.12,0.0001,0.5256,0.090566,0.121411,0.0294,0.029,0.0,0.5315,0.081028,0.125374,0.0097,0.0096,0.0005,0.9731,0.129234,0.212161,0.0654,0.0604,0.0,0.5433,0.092422,0.13464,0.0217,0.0204,0.0003,0.9747,0.194216,0.257402,0.1211,0.1136,0.0,0.9448,0.103271,0.163115,0.0285,0.0272,0.0008,0.9735,0.178462,0.26104,0.0794,0.0707,0.0013,0.9701,0.130802,0.204411,0.0655,0.0596,245,0.8657,1.0441,12.110688
7,282,18,335.71,0.0,0.5396,0.116434,0.151835,0.06685,0.06135,0.0,0.5315,0.084997,0.123582,0.0653,0.05965,0.0002,0.9732,0.134738,0.20317,0.06895,0.062,0.0,0.5433,0.098655,0.141041,0.0638,0.05945,0.0001,0.9743,0.181239,0.245907,0.0738,0.0623,0.0,0.9472,0.109326,0.188023,0.0652,0.0585,0.0012,0.9747,0.167292,0.244672,0.0687,0.0588,0.0001,0.974,0.107318,0.18285,0.0646,0.0583,234,0.8298,1.0441,11.751983
8,282,18,328.66,0.0,0.5441,0.09101,0.126223,0.0625,0.0607,0.0,0.5375,0.088511,0.128231,0.0504,0.049,0.0001,0.9772,0.132104,0.234372,0.0658,0.06,0.0,0.946,0.108248,0.159486,0.0609,0.0577,0.0,0.9743,0.156467,0.240245,0.0685,0.06155,0.0,0.9472,0.094195,0.168345,0.0603,0.05675,0.0017,0.9753,0.193911,0.281536,0.0687,0.0599,0.001,0.9778,0.135554,0.227792,0.06575,0.0589,234,0.8298,1.0417,11.57239
9,286,14,349.68,0.0,0.5441,0.080824,0.120387,0.01115,0.01115,0.0,0.5334,0.076142,0.119932,0.0105,0.0104,0.0,0.9788,0.131004,0.233433,0.065,0.06015,0.0,0.9661,0.119744,0.219479,0.0166,0.0165,0.0,0.9759,0.153088,0.225354,0.06825,0.0624,0.0,0.97,0.132954,0.225654,0.0637,0.0593,0.0018,0.977,0.165981,0.259354,0.0666,0.0587,0.0007,0.9782,0.140263,0.237803,0.0635,0.05795,247,0.8636,0.6939,11.505431
10,292,8,355.02,0.0,0.5441,0.079364,0.119782,0.01055,0.01045,0.0,0.9658,0.088826,0.141806,0.0097,0.0097,0.0,0.9783,0.136971,0.238291,0.0653,0.06045,0.0,0.9774,0.141737,0.258519,0.0546,0.05295,0.0,0.9765,0.14614,0.240497,0.0644,0.061,0.0,0.9775,0.111545,0.200076,0.01945,0.01945,0.0008,0.9794,0.17003,0.266214,0.067,0.0613,0.0008,0.9778,0.125388,0.216861,0.0635,0.0592,247,0.8459,0.4847,11.168811
11,287,13,339.72,0.0,0.9641,0.089811,0.139224,0.0111,0.0111,0.0,0.9728,0.103473,0.190261,0.0207,0.0207,0.0,0.9783,0.111279,0.206064,0.0184,0.0184,0.0,0.9816,0.10606,0.202651,0.0147,0.0147,0.0,0.9759,0.100543,0.164897,0.0648,0.061,0.0,0.9795,0.143563,0.236948,0.0671,0.0614,0.0,0.9782,0.176769,0.283899,0.0698,0.0622,0.0001,0.9799,0.168501,0.274277,0.0691,0.0622,239,0.8328,0.4847,11.625647
