generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,267,33,780.0,0.0034,0.2976,0.081746,0.075567,0.0601,0.0539,0.0021,0.4784,0.0866,0.084308,0.0684,0.0572,0.0077,0.5061,0.132388,0.104213,0.1221,0.0301,0.0038,0.552,0.133294,0.116745,0.1213,0.0468,0.0051,0.6843,0.151743,0.156018,0.1229,0.0408,0.0027,0.5364,0.131127,0.116067,0.1235,0.0387,0.0044,0.5395,0.122416,0.108867,0.1173,0.0521,0.0023,0.5477,0.160687,0.144602,0.1239,0.0568,248,0.9288,1.8405,14.90058
1,258,42,324.59,0.0027,0.4949,0.092616,0.07967,0.0668,0.05595,0.002,0.4784,0.105707,0.096284,0.0886,0.037,0.0047,0.5277,0.130325,0.114631,0.11985,0.05195,0.0042,0.5448,0.13277,0.126245,0.1171,0.04985,0.005,0.6794,0.113819,0.107127,0.1115,0.04295,0.0023,0.5667,0.138328,0.139562,0.119,0.0524,0.0055,0.5585,0.132434,0.132253,0.10155,0.03625,0.0055,0.5489,0.154001,0.150162,0.1205,0.0506,232,0.8992,1.0539,14.225705
2,273,27,343.73,0.0027,0.5061,0.087059,0.101104,0.0626,0.0521,0.002,0.5384,0.118859,0.123785,0.0718,0.053,0.0041,0.6672,0.123196,0.116129,0.1173,0.0499,0.0042,0.5436,0.129962,0.134581,0.116,0.0514,0.0047,0.6794,0.128578,0.141092,0.1047,0.0398,0.0023,0.5724,0.125094,0.128487,0.1045,0.0392,0.0059,0.5487,0.141705,0.128804,0.1212,0.0546,0.0055,0.5494,0.145548,0.151781,0.1203,0.0572,249,0.9121,1.0539,13.545988
3,277,23,342.82,0.0027,0.4949,0.097937,0.112101,0.0654,0.0549,0.002,0.5384,0.107962,0.118265,0.0694,0.0542,0.0043,0.6757,0.111525,0.096999,0.1149,0.0475,0.0038,0.5656,0.129343,0.115008,0.1204,0.0505,0.0043,0.6771,0.120415,0.117347,0.1073,0.0413,0.0023,0.5749,0.142873,0.150397,0.1107,0.047,0.0063,0.5822,0.139404,0.145444,0.1151,0.0511,0.0058,0.5738,0.150542,0.155005,0.1169,0.0532,253,0.9134,1.0539,13.339369
4,285,15,371.27,0.0027,0.5266,0.093691,0.103233,0.0667,0.0559,0.002,0.5563,0.111704,0.129757,0.0708,0.055,0.0045,0.676,0.114349,0.111181,0.1173,0.0444,0.0041,0.5723,0.133953,0.127707,0.1214,0.0516,0.005,0.6747,0.130568,0.137364,0.1179,0.0537,0.0023,0.5766,0.138202,0.135341,0.1179,0.052,0.0054,0.5852,0.124064,0.127804,0.1156,0.0508,0.0044,0.6074,0.15347,0.1544,0.1221,0.0706,270,0.9474,1.0539,13.93334
5,289,11,371.74,0.0027,0.5549,0.098435,0.113904,0.0675,0.0549,0.002,0.6824,0.111181,0.124066,0.0783,0.0513,0.0049,0.6753,0.122837,0.112334,0.1172,0.0466,0.0042,0.5707,0.127559,0.128937,0.1168,0.0566,0.0047,0.6728,0.109657,0.101702,0.1113,0.0462,0.0023,0.7151,0.151388,0.152948,0.121,0.0567,0.0064,0.5879,0.134687,0.132757,0.119,0.0516,0.0049,0.6107,0.144256,0.152114,0.1179,0.0649,272,0.9412,1.0539,13.922338
6,295,5,387.27,0.0027,0.5567,0.114582,0.117201,0.0766,0.0538,0.002,0.6824,0.117913,0.115643,0.1047,0.0623,0.0041,0.6945,0.121812,0.122209,0.1126,0.0628,0.0042,0.571,0.129513,0.125475,0.1086,0.0568,0.0043,0.6764,0.117992,0.102718,0.1152,0.0592,0.0023,0.7151,0.136333,0.133453,0.1162,0.0629,0.0044,0.5879,0.119676,0.113009,0.1126,0.0612,0.0039,0.6013,0.142179,0.148041,0.1101,0.0725,278,0.9424,1.0539,15.398222
7,292,8,382.68,0.0027,0.6169,0.111783,0.119654,0.07125,0.0506,0.002,0.6824,0.110804,0.120473,0.0736,0.0519,0.0043,0.6788,0.132049,0.140065,0.117,0.0582,0.0042,0.5561,0.121527,0.112021,0.1165,0.0532,0.005,0.6863,0.122388,0.114932,0.109,0.0453,0.0023,0.7202,0.135488,0.130678,0.11825,0.05935,0.0053,0.5879,0.123475,0.12918,0.08425,0.04495,0.0058,0.6052,0.142485,0.140912,0.12135,0.07805,275,0.9418,1.0539,14.783169
8,290,10,387.57,0.0027,0.7216,0.111797,0.11233,0.094,0.05845,0.002,0.6824,0.118928,0.125539,0.09225,0.0545,0.005,0.7492,0.129841,0.132778,0.1144,0.05815,0.0042,0.5644,0.123816,0.114814,0.1091,0.0459,0.005,0.6863,0.118201,0.104145,0.1057,0.0574,0.0023,0.7197,0.136768,0.138335,0.11635,0.06185,0.0074,0.5851,0.125549,0.123083,0.09305,0.05105,0.0058,0.6099,0.1351,0.135509,0.10975,0.06995,278,0.9586,1.0539,15.398864
9,295,5,402.07,0.0027,0.8164,0.103341,0.107105,0.0695,0.0527,0.002,0.8113,0.123941,0.12959,0.0999,0.0637,0.0068,0.7564,0.11722,0.120306,0.0849,0.0488,0.0042,0.6677,0.127497,0.126284,0.0972,0.0569,0.005,0.6863,0.1199,0.112694,0.1035,0.0616,0.0023,0.7157,0.128304,0.123923,0.1163,0.0626,0.0081,0.8172,0.139482,0.140442,0.1184,0.0725,0.0058,0.7765,0.140314,0.138111,0.1134,0.0716,280,0.9492,1.0539,15.143433
10,299,1,401.37,0.0027,0.8383,0.119389,0.131831,0.0649,0.0452,0.002,0.8132,0.119012,0.14286,0.0871,0.0574,0.004,0.859,0.128741,0.137707,0.0927,0.0634,0.0028,0.8412,0.128433,0.132797,0.1032,0.0737,0.005,0.7771,0.114081,0.126772,0.0671,0.0499,0.0023,0.7847,0.131514,0.139576,0.0976,0.0692,0.0035,0.8174,0.137269,0.175615,0.0797,0.0539,0.0039,0.777,0.121561,0.138584,0.081,0.0562,280,0.9365,1.0539,15.62427
11,300,0,405.03,0.0027,0.8456,0.136139,0.156241,0.0845,0.0611,0.002,0.8126,0.127799,0.161095,0.0839,0.06495,0.0029,0.8611,0.144236,0.179176,0.0884,0.0608,0.0027,0.9034,0.118216,0.151447,0.06345,0.0489,0.003,0.9052,0.119896,0.144847,0.0739,0.0527,0.0023,0.8337,0.11669,0.156577,0.06095,0.04815,0.0028,0.8305,0.109064,0.122249,0.0627,0.04785,0.0029,0.8113,0.12796,0.166941,0.0707,0.0561,279,0.93,1.0539,15.374403
