generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,243,57,740.72,0.003,0.3958,0.120076,0.067812,0.1237,0.0071,0.0013,0.5428,0.134788,0.123242,0.1234,0.0302,0.0034,0.4826,0.113591,0.108164,0.1162,0.0497,0.0012,0.542,0.153729,0.137526,0.1227,0.0476,0.0015,0.5507,0.101267,0.121644,0.0738,0.0566,0.0017,0.4894,0.103036,0.103331,0.1131,0.0682,0.0013,0.4918,0.151184,0.126904,0.123,0.0333,0.001,0.4821,0.122329,0.115336,0.1212,0.0462,218,0.8971,1.9574,14.358754
1,245,55,289.62,0.003,0.4778,0.113104,0.086946,0.121,0.0401,0.0011,0.5386,0.13686,0.143676,0.1218,0.0537,0.0014,0.4826,0.11234,0.125422,0.0719,0.0531,0.0012,0.5455,0.13991,0.148793,0.1202,0.0564,0.0015,0.5542,0.097252,0.119847,0.0644,0.0561,0.0021,0.5518,0.116236,0.128625,0.0746,0.0531,0.0017,0.5329,0.135677,0.135828,0.1172,0.052,0.0043,0.5582,0.148622,0.136466,0.1228,0.0554,216,0.8816,1.9574,13.573048
2,276,24,336.04,0.0034,0.5333,0.121384,0.104049,0.11935,0.0543,0.0011,0.5449,0.122041,0.116675,0.1189,0.0551,0.0002,0.5747,0.119905,0.121569,0.1028,0.04305,0.0003,0.5455,0.160522,0.157465,0.1223,0.0703,0.0015,0.5456,0.109781,0.119598,0.0686,0.0563,0.0038,0.5209,0.115384,0.123969,0.0731,0.0526,0.0017,0.5671,0.12742,0.122017,0.11735,0.05135,0.0018,0.5634,0.123563,0.131046,0.08525,0.0451,247,0.8949,1.8969,13.495965
3,275,25,340.06,0.0016,0.5505,0.120212,0.110582,0.121,0.0511,0.0013,0.5424,0.119636,0.122861,0.1181,0.0501,0.0001,0.6272,0.124895,0.136009,0.1103,0.0448,0.0001,0.5411,0.140004,0.140309,0.1203,0.0542,0.0028,0.5602,0.10616,0.124852,0.067,0.0571,0.001,0.718,0.124519,0.131476,0.1062,0.0414,0.0015,0.5666,0.133287,0.132723,0.1215,0.0535,0.0008,0.5566,0.131288,0.146692,0.1188,0.0597,253,0.92,1.0929,12.666668
4,285,15,370.72,0.0012,0.5333,0.102387,0.090627,0.1035,0.0364,0.0011,0.5462,0.121854,0.131345,0.1155,0.0503,0.0006,0.9471,0.124301,0.142105,0.1079,0.0455,0.0009,0.5366,0.146166,0.151939,0.1146,0.0604,0.0011,0.5493,0.116177,0.134306,0.068,0.0573,0.0007,0.8897,0.118885,0.140397,0.0951,0.0345,0.0031,0.5963,0.134589,0.143217,0.1202,0.0555,0.0008,0.5616,0.135642,0.150419,0.1118,0.057,265,0.9298,1.0483,12.434015
5,284,16,344.64,0.0012,0.6665,0.109048,0.125746,0.0741,0.05525,0.001,0.5716,0.093896,0.113588,0.0698,0.0573,0.0,0.949,0.168246,0.225746,0.1135,0.0804,0.0009,0.542,0.126517,0.143016,0.10365,0.0629,0.0011,0.9733,0.114072,0.139477,0.067,0.058,0.0002,0.8971,0.139259,0.20567,0.0951,0.04625,0.0006,0.5963,0.137375,0.159429,0.10255,0.0767,0.0009,0.5684,0.111588,0.135156,0.06935,0.05665,249,0.8768,1.0254,12.174289
6,288,12,343.85,0.0009,0.6712,0.096227,0.132659,0.066,0.0583,0.0005,0.8043,0.110485,0.151842,0.0608,0.05765,0.0,0.9736,0.139728,0.214286,0.06505,0.05945,0.0004,0.6709,0.129869,0.162766,0.06795,0.05885,0.0003,0.9742,0.131696,0.197577,0.0648,0.05835,0.0001,0.9353,0.127463,0.19996,0.0672,0.0595,0.0012,0.6691,0.141442,0.169142,0.0916,0.08065,0.0008,0.6648,0.123089,0.161848,0.0652,0.0599,251,0.8715,0.5464,12.063883
7,291,9,384.77,0.0015,0.6665,0.10709,0.149929,0.039,0.036,0.0007,0.9052,0.110371,0.160182,0.0396,0.0379,0.0,0.9737,0.125275,0.181426,0.0594,0.0579,0.0005,0.8958,0.091377,0.141322,0.028,0.0268,0.0003,0.9742,0.191022,0.237547,0.125,0.1152,0.0007,0.9049,0.140118,0.183518,0.0822,0.0721,0.0009,0.6674,0.118637,0.149923,0.0816,0.0703,0.0011,0.7664,0.11611,0.161157,0.0487,0.0462,269,0.9244,0.5463,12.261736
8,299,1,381.16,0.0008,0.7672,0.090958,0.145874,0.0168,0.0137,0.0008,0.9052,0.099054,0.17572,0.0161,0.0143,0.0,0.9745,0.128359,0.219295,0.0269,0.025,0.0005,0.8975,0.092138,0.145293,0.0194,0.0178,0.0001,0.9756,0.18154,0.235935,0.121,0.1122,0.0007,0.8932,0.150245,0.217763,0.0416,0.0389,0.0012,0.891,0.143418,0.188424,0.041,0.0375,0.0014,0.8557,0.114288,0.170044,0.0298,0.0277,268,0.8963,0.5455,12.158866
9,300,0,395.0,0.0016,0.9256,0.095144,0.171458,0.0169,0.01285,0.0006,0.9052,0.096013,0.170646,0.01605,0.0134,0.0007,0.9752,0.136659,0.211132,0.03235,0.0294,0.0007,0.9006,0.118308,0.203007,0.0156,0.0131,0.0001,0.8793,0.13597,0.191208,0.05605,0.05145,0.0003,0.9027,0.156616,0.240618,0.0432,0.0401,0.0018,0.891,0.137267,0.216894,0.0196,0.0149,0.0013,0.8961,0.124023,0.204819,0.02095,0.0186,275,0.9167,0.5448,12.325741
