generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,200,100,676.34,0.0058,0.5403,0.275764,0.201459,0.1632,0.157,0.38,0.785,0.6167,0.053982,0.635,0.0075,0.413333,0.766667,0.644833,0.060955,0.673333,0.013334,101,0.505,1.9165,8.657436
1,270,30,332.52,0.0069,0.4835,0.151304,0.11319,0.1249,0.0034,0.31,0.925,0.744204,0.092404,0.785,0.0,0.3,0.953333,0.738963,0.087419,0.766667,0.0,150,0.5556,1.8777,11.649659
2,248,52,285.14,0.0008,0.4922,0.213038,0.137341,0.24345,0.1186,0.42,0.925,0.835141,0.123974,0.915,0.01,0.48,0.953333,0.862661,0.128679,0.953333,0.0,117,0.4718,1.8678,10.236721
3,253,47,309.19,0.0011,0.4922,0.183267,0.130069,0.1269,0.1175,0.31,0.925,0.830435,0.134331,0.915,0.01,0.3,0.953333,0.85415,0.144582,0.953333,0.0,159,0.6285,1.8678,10.70448
4,258,42,286.24,0.0008,0.4922,0.203161,0.136348,0.2422,0.11565,0.42,0.925,0.829981,0.131312,0.915,0.01,0.46,0.953333,0.854418,0.138916,0.953333,0.0,168,0.6512,1.8678,10.624203
5,267,33,285.7,0.0009,0.4922,0.209669,0.131422,0.2414,0.1144,0.31,0.925,0.820712,0.137557,0.915,0.01,0.3,0.953333,0.84392,0.148121,0.953333,0.0,195,0.7303,1.8678,10.533702
6,259,41,296.43,0.0006,0.4922,0.196866,0.125496,0.2418,0.1138,0.285,0.93,0.846351,0.128326,0.915,0.01,0.306667,0.953333,0.875495,0.127319,0.953333,0.0,187,0.722,1.8678,10.722748
7,273,27,318.85,0.0,0.4922,0.204607,0.14626,0.2431,0.117,0.4,0.95,0.824212,0.137557,0.915,0.01,0.453333,0.96,0.856752,0.133105,0.953333,0.0,200,0.7326,1.8678,10.436272
8,267,33,312.45,0.0,0.4922,0.120819,0.167712,0.0075,0.0075,0.095,0.95,0.785936,0.170491,0.86,0.09,0.073333,0.973333,0.808315,0.168899,0.873333,0.093334,155,0.5805,1.8678,10.799106
9,267,33,307.24,0.0,0.4922,0.186113,0.14874,0.2435,0.1165,0.31,0.95,0.805206,0.141369,0.885,0.045,0.3,0.966667,0.830736,0.139788,0.906667,0.046666,203,0.7603,1.8678,10.843999
10,215,85,235.13,0.0,0.5042,0.306863,0.195155,0.4744,0.0298,0.34,0.95,0.866814,0.089894,0.91,0.01,0.426667,0.96,0.892248,0.095986,0.94,0.006667,124,0.5767,0.7769,9.737509
11,237,63,275.89,0.0,0.4999,0.17631,0.185569,0.1258,0.1243,0.38,0.95,0.861709,0.120676,0.935,0.015,0.453333,0.966667,0.879691,0.121382,0.953333,0.006667,149,0.6287,0.709,9.351538
12,249,51,276.21,0.0,0.5023,0.187455,0.176206,0.1258,0.1217,0.13,0.95,0.851185,0.140502,0.935,0.015,0.22,0.973333,0.871218,0.14556,0.953333,0.013334,170,0.6827,0.707,9.279292
13,237,63,273.25,0.0,0.5037,0.26343,0.204768,0.2458,0.2373,0.145,0.95,0.825443,0.156272,0.91,0.025,0.22,0.973333,0.845626,0.157404,0.94,0.02,177,0.7468,0.707,7.426359
14,237,63,296.23,0.0005,0.5017,0.257229,0.195409,0.2448,0.238,0.095,0.95,0.822764,0.15138,0.895,0.055,0.066667,0.973333,0.841069,0.158428,0.933333,0.026667,195,0.8228,0.6983,7.78083
15,248,52,290.8,0.0004,0.5049,0.267325,0.202009,0.24595,0.2393,0.145,0.955,0.84252,0.136181,0.92,0.03,0.24,0.973333,0.863172,0.13807,0.946667,0.013333,208,0.8387,0.6951,7.330336
16,265,35,331.35,0.0,0.5049,0.193152,0.157805,0.1262,0.1193,0.305,0.96,0.85117,0.132654,0.92,0.035,0.38,0.973333,0.870038,0.138362,0.946667,0.026666,226,0.8528,0.6951,9.704056
17,277,23,332.47,0.0001,0.5049,0.251713,0.204908,0.2402,0.2369,0.0,0.955,0.812004,0.182066,0.91,0.04,0.0,0.973333,0.830132,0.184642,0.94,0.02,221,0.7978,0.6951,7.785038
18,269,31,330.23,0.0,0.5071,0.278723,0.200294,0.2476,0.2402,0.0,0.955,0.818327,0.189306,0.92,0.03,0.0,0.973333,0.836729,0.191018,0.946667,0.013333,231,0.8587,0.6951,7.397262
19,285,15,336.25,0.0001,0.5049,0.209239,0.163792,0.1267,0.1189,0.16,0.955,0.85386,0.145675,0.935,0.015,0.233333,0.973333,0.872842,0.15273,0.96,0.006667,231,0.8105,0.6951,9.340235
20,282,18,331.31,0.001,0.5311,0.233506,0.162937,0.2419,0.11795,0.06,0.955,0.871826,0.138781,0.935,0.015,0.033333,0.973333,0.889834,0.144175,0.96,0.013333,241,0.8546,0.6951,8.974224
21,282,18,335.99,0.0005,0.5049,0.255121,0.192818,0.2434,0.23825,0.0,0.955,0.82523,0.163706,0.9325,0.0175,0.0,0.973333,0.835603,0.171349,0.956666,0.010001,224,0.7943,0.6951,7.969418
22,287,13,339.91,0.0004,0.5049,0.211314,0.166472,0.2407,0.1185,0.065,0.955,0.848676,0.151177,0.935,0.015,0.053333,0.973333,0.863461,0.161363,0.96,0.006667,224,0.7805,0.6951,9.373076
23,275,25,307.73,0.0008,0.5049,0.23734,0.158433,0.2456,0.1203,0.15,0.955,0.865291,0.13826,0.94,0.015,0.18,0.973333,0.8776,0.145895,0.96,0.013333,211,0.7673,0.6951,9.010588
24,285,15,340.8,0.0016,0.5049,0.281146,0.191165,0.2481,0.2381,0.0,0.955,0.841982,0.174913,0.935,0.015,0.0,0.973333,0.854269,0.181294,0.96,0.006667,225,0.7895,0.6951,7.253731
