generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,222,78,723.46,0.0073,0.5388,0.232042,0.199071,0.12465,0.07085,0.07,0.75,0.551059,0.124665,0.56,0.09,0.106667,0.746667,0.568108,0.126996,0.553333,0.093333,172,0.7748,1.8669,9.861021
1,231,69,251.4,0.0067,0.5366,0.264469,0.208435,0.1293,0.1209,0.0,0.67,0.582208,0.115054,0.64,0.02,0.1,0.706667,0.602337,0.12025,0.64,0.053333,160,0.6926,1.8669,9.116743
2,236,64,299.37,0.0026,0.5421,0.219258,0.200273,0.1258,0.1155,0.0,0.755,0.561907,0.13409,0.62,0.04,0.1,0.813333,0.580621,0.139204,0.636667,0.056666,193,0.8178,1.7779,10.711166
3,218,82,260.66,0.0024,0.5421,0.153036,0.178302,0.1223,0.11705,0.0,0.91,0.62656,0.158188,0.66,0.095,0.0,0.946667,0.666055,0.160292,0.693333,0.12,165,0.7569,1.354,11.425679
4,211,89,245.76,0.0032,0.486,0.203417,0.162626,0.1248,0.0034,0.0,0.915,0.748981,0.166333,0.79,0.08,0.0,0.953333,0.784518,0.168783,0.853333,0.08,162,0.7678,1.354,10.529095
5,196,104,220.91,0.0038,0.486,0.230395,0.13929,0.2402,0.0097,0.0,0.925,0.753138,0.165401,0.79,0.09,0.12,0.953333,0.788911,0.1633,0.853333,0.06,127,0.648,1.354,10.788177
6,223,77,258.95,0.0031,0.4876,0.23626,0.151382,0.2402,0.1134,0.0,0.925,0.739013,0.198253,0.79,0.09,0.0,0.953333,0.776293,0.198804,0.853333,0.06,156,0.6996,1.354,10.515669
7,222,78,243.26,0.0032,0.8708,0.246149,0.161791,0.23985,0.1171,0.0,0.925,0.703221,0.222621,0.79,0.09,0.0,0.953333,0.737567,0.223132,0.853333,0.06,182,0.8198,0.7492,11.156734
8,272,28,351.04,0.0034,0.8795,0.324158,0.251809,0.2434,0.12015,0.0,0.925,0.709118,0.223152,0.8325,0.0625,0.0,0.953333,0.738922,0.2221,0.87,0.06,228,0.8382,0.7405,10.502386
9,275,25,344.39,0.0011,0.8795,0.299866,0.209562,0.2519,0.1306,0.0,0.885,0.745309,0.179563,0.84,0.04,0.0,0.913333,0.774109,0.179575,0.873333,0.04,223,0.8109,0.7405,11.082897
10,287,13,346.56,0.0012,0.9309,0.466817,0.337215,0.4483,0.357,0.0,0.88,0.73777,0.175147,0.845,0.01,0.0,0.913333,0.767828,0.172821,0.873333,0.013334,203,0.7073,0.6507,7.831789
11,285,15,326.91,0.0019,0.9329,0.332835,0.271632,0.2419,0.1381,0.0,0.935,0.73514,0.198775,0.845,0.035,0.0,0.966667,0.759532,0.201637,0.88,0.033333,214,0.7509,0.6445,10.159516
12,297,3,380.01,0.0026,0.947,0.200663,0.215174,0.1267,0.006,0.0,0.955,0.732963,0.214779,0.775,0.16,0.0,0.973333,0.754186,0.221035,0.78,0.173333,246,0.8283,0.6445,11.222031
13,300,0,364.5,0.0011,0.9707,0.406648,0.356451,0.24695,0.22555,0.0,0.925,0.676767,0.209001,0.76,0.095,0.0,0.953333,0.702889,0.205547,0.76,0.12,212,0.7067,0.6093,9.056685
14,300,0,375.76,0.0037,0.9707,0.462076,0.364767,0.45935,0.33885,0.0,0.91,0.702117,0.200879,0.8225,0.0325,0.0,0.946667,0.728978,0.199147,0.853333,0.033334,214,0.7133,0.5678,8.006391
