arm,state,seed,run_id,fidelity,gate_count,depth,two_qubit_gates,raw_two_qubit_gates,raw_gate_count,raw_depth,raw_fitness,stop_reason,early_stopped_gen
epsilon_lexicase,011,29440,10,0.9772,16,9,4,4,42,20,0.34280000000000005,"Hardware targets achieved: fidelity=0.977, gates=16, depth=9",15
epsilon_lexicase,011,47182,2,0.9801,8,4,1,5,29,16,0.17990000000000003,"Hardware targets achieved: fidelity=0.980, gates=8, depth=4",22
epsilon_lexicase,011,80248,8,0.9784,11,7,2,3,31,18,0.24159999999999995,"Hardware targets achieved: fidelity=0.978, gates=11, depth=7",31
epsilon_lexicase,100,21315,1,0.9748,10,5,1,6,46,23,0.2252,"Hardware targets achieved: fidelity=0.975, gates=10, depth=5",27
epsilon_lexicase,100,74135,6,0.9573,16,9,3,6,63,31,0.36269999999999997,"Hardware targets achieved: fidelity=0.957, gates=16, depth=9",29
epsilon_lexicase,100,91197,9,0.9792,7,4,1,3,28,13,0.16080000000000005,"Hardware targets achieved: fidelity=0.979, gates=7, depth=4",15
epsilon_lexicase,100,33537,4,0.9805,20,12,3,8,58,29,0.4195,"Hardware targets achieved: fidelity=0.981, gates=20, depth=12",35
epsilon_lexicase,100,12147,3,0.9845,4,2,0,4,45,21,0.09549999999999996,"Hardware targets achieved: fidelity=0.985, gates=4, depth=2",34
epsilon_lexicase,100,67154,7,0.9824,8,5,1,4,41,19,0.17759999999999995,"Hardware targets achieved: fidelity=0.982, gates=8, depth=5",27
epsilon_lexicase,100,70300,5,0.9835,4,2,0,4,44,20,0.09649999999999996,"Hardware targets achieved: fidelity=0.984, gates=4, depth=2",35
epsilon_lexicase,100,29440,10,0.9881,8,5,0,4,43,20,0.17190000000000003,"Hardware targets achieved: fidelity=0.988, gates=8, depth=5",17
epsilon_lexicase,100,47182,2,0.9755,18,10,3,17,126,64,0.38449999999999995,"Hardware targets achieved: fidelity=0.976, gates=18, depth=10",77
epsilon_lexicase,100,80248,8,0.9788,11,6,2,2,25,11,0.2412,"Hardware targets achieved: fidelity=0.979, gates=11, depth=6",15
epsilon_lexicase,101,21315,1,0.9663,8,5,0,4,44,21,0.19369999999999996,"Hardware targets achieved: fidelity=0.966, gates=8, depth=5",15
epsilon_lexicase,101,74135,6,0.9887,5,2,0,12,108,51,0.11129999999999998,"Hardware targets achieved: fidelity=0.989, gates=5, depth=2",44
epsilon_lexicase,101,91197,9,0.9753,20,13,3,8,63,29,0.4247000000000001,"Hardware targets achieved: fidelity=0.975, gates=20, depth=13",71
epsilon_lexicase,101,33537,4,0.9537,20,11,3,2,29,13,0.44630000000000003,"Hardware targets achieved: fidelity=0.954, gates=20, depth=11",16
epsilon_lexicase,101,12147,3,0.9799,10,6,2,2,25,11,0.22010000000000002,"Hardware targets achieved: fidelity=0.980, gates=10, depth=6",15
epsilon_lexicase,101,67154,7,0.9812,17,10,3,7,59,28,0.35880000000000006,"Hardware targets achieved: fidelity=0.981, gates=17, depth=10",27
epsilon_lexicase,101,70300,5,0.9794,15,11,3,4,29,14,0.32059999999999994,"Hardware targets achieved: fidelity=0.979, gates=15, depth=11",44
epsilon_lexicase,101,29440,10,0.9772,10,5,1,4,42,20,0.22280000000000005,"Hardware targets achieved: fidelity=0.977, gates=10, depth=5",15
epsilon_lexicase,101,47182,2,0.9632,14,7,1,4,41,19,0.3168000000000001,"Hardware targets achieved: fidelity=0.963, gates=14, depth=7",23
epsilon_lexicase,101,80248,8,0.9895,6,3,0,2,28,14,0.13049999999999995,"Hardware targets achieved: fidelity=0.990, gates=6, depth=3",30
epsilon_lexicase,110,21315,1,0.9766,16,8,2,5,43,21,0.3434,"Hardware targets achieved: fidelity=0.977, gates=16, depth=8",20
epsilon_lexicase,110,74135,6,0.9788,10,5,2,3,28,13,0.2212,"Hardware targets achieved: fidelity=0.979, gates=10, depth=5",15
epsilon_lexicase,110,91197,9,0.9792,9,5,2,3,28,14,0.20080000000000003,"Hardware targets achieved: fidelity=0.979, gates=9, depth=5",45
epsilon_lexicase,110,33537,4,0.9859,6,2,0,4,42,19,0.1341,"Hardware targets achieved: fidelity=0.986, gates=6, depth=2",29
epsilon_lexicase,110,12147,3,0.9813,7,3,0,5,49,26,0.15870000000000006,"Hardware targets achieved: fidelity=0.981, gates=7, depth=3",25
epsilon_lexicase,110,67154,7,0.9772,9,6,2,2,27,13,0.20280000000000004,"Hardware targets achieved: fidelity=0.977, gates=9, depth=6",23
epsilon_lexicase,110,70300,5,0.9802,8,5,2,2,30,13,0.17980000000000004,"Hardware targets achieved: fidelity=0.980, gates=8, depth=5",25
epsilon_lexicase,110,29440,10,0.9255,35,18,6,4,45,24,0.7745000000000001,completed_all_generations,99
epsilon_lexicase,110,47182,2,0.9799,9,5,2,2,26,12,0.2001,"Hardware targets achieved: fidelity=0.980, gates=9, depth=5",29
epsilon_lexicase,110,80248,8,0.9859,7,4,0,5,47,22,0.15410000000000001,"Hardware targets achieved: fidelity=0.986, gates=7, depth=4",53
epsilon_lexicase,111,21315,1,0.9786,19,12,3,7,58,28,0.4014,"Hardware targets achieved: fidelity=0.979, gates=19, depth=12",31
epsilon_lexicase,111,74135,6,0.955,13,8,2,2,32,13,0.30500000000000005,"Hardware targets achieved: fidelity=0.955, gates=13, depth=8",19
epsilon_lexicase,111,91197,9,0.958,18,10,3,6,59,28,0.402,"Hardware targets achieved: fidelity=0.958, gates=18, depth=10",27
epsilon_lexicase,111,33537,4,0.9779,19,12,4,5,51,28,0.4021,"Hardware targets achieved: fidelity=0.978, gates=19, depth=12",15
epsilon_lexicase,111,12147,3,0.9814,19,10,3,7,62,30,0.39859999999999995,"Hardware targets achieved: fidelity=0.981, gates=19, depth=10",19
epsilon_lexicase,111,67154,7,0.9504,10,4,0,4,45,21,0.2496,"Hardware targets achieved: fidelity=0.950, gates=10, depth=4",54
epsilon_lexicase,111,70300,5,0.9781,16,8,2,6,57,27,0.34190000000000004,"Hardware targets achieved: fidelity=0.978, gates=16, depth=8",17
epsilon_lexicase,111,29440,10,0.9798,8,4,1,3,26,13,0.1802,"Hardware targets achieved: fidelity=0.980, gates=8, depth=4",36
epsilon_lexicase,111,47182,2,0.9793,8,4,2,2,33,18,0.18070000000000006,"Hardware targets achieved: fidelity=0.979, gates=8, depth=4",31
epsilon_lexicase,111,80248,8,0.9812,8,5,2,3,28,13,0.17880000000000004,"Hardware targets achieved: fidelity=0.981, gates=8, depth=5",27
lexi2,000,21315,1,0.9768,14,8,2,7,53,28,0.3032,completed_all_generations,99
lexi2,000,74135,6,0.9821,9,5,1,5,32,17,0.19790000000000002,"Hardware targets achieved: fidelity=0.982, gates=9, depth=5",33
lexi2,000,91197,9,0.9739,19,11,2,8,62,32,0.4061,"Hardware targets achieved: fidelity=0.974, gates=19, depth=11",45
lexi2,000,33537,4,0.981,7,3,1,2,32,15,0.15900000000000003,"Hardware targets achieved: fidelity=0.981, gates=7, depth=3",30
lexi2,000,12147,3,0.9755,14,10,2,9,63,33,0.3045,"Hardware targets achieved: fidelity=0.976, gates=14, depth=10",21
lexi2,000,67154,7,0.9738,16,8,2,8,60,30,0.3462,"Hardware targets achieved: fidelity=0.974, gates=16, depth=8",45
lexi2,000,70300,5,0.9772,10,6,2,6,64,32,0.22280000000000005,"Hardware targets achieved: fidelity=0.977, gates=10, depth=6",47
lexi2,000,29440,10,0.9692,34,18,7,6,40,25,0.7108000000000001,completed_all_generations,99
lexi2,000,47182,2,0.9834,5,2,0,5,45,23,0.11659999999999995,"Hardware targets achieved: fidelity=0.983, gates=5, depth=2",31
lexi2,000,80248,8,0.6555,68,47,11,4,30,15,1.7045000000000001,completed_all_generations,99
lexi2,001,21315,1,0.9789,10,5,1,9,82,43,0.22110000000000002,"Hardware targets achieved: fidelity=0.979, gates=10, depth=5",45
lexi2,001,74135,6,0.9801,6,3,1,3,31,14,0.13990000000000002,"Hardware targets achieved: fidelity=0.980, gates=6, depth=3",31
lexi2,001,91197,9,0.9794,9,6,2,5,35,18,0.20059999999999995,"Hardware targets achieved: fidelity=0.979, gates=9, depth=6",18
lexi2,001,33537,4,0.9819,12,7,2,2,32,16,0.2581,"Hardware targets achieved: fidelity=0.982, gates=12, depth=7",30
lexi2,001,12147,3,0.9769,19,12,4,9,46,25,0.4031,"Hardware targets achieved: fidelity=0.977, gates=19, depth=12",39
lexi2,001,67154,7,0.9737,13,8,3,6,46,25,0.2863,"Hardware targets achieved: fidelity=0.974, gates=13, depth=8",35
lexi2,001,70300,5,0.5459,62,42,10,3,28,15,1.6941,completed_all_generations,99
lexi2,001,29440,10,0.9783,10,5,1,5,33,17,0.22170000000000006,"Hardware targets achieved: fidelity=0.978, gates=10, depth=5",64
lexi2,001,47182,2,0.9789,9,6,1,7,63,33,0.2011,"Hardware targets achieved: fidelity=0.979, gates=9, depth=6",25
lexi2,001,80248,8,0.9754,28,15,5,6,65,33,0.5846,completed_all_generations,99
lexi2,010,21315,1,0.9794,18,10,3,7,62,29,0.38059999999999994,"Hardware targets achieved: fidelity=0.979, gates=18, depth=10",38
lexi2,010,74135,6,0.9771,19,11,4,7,44,22,0.40290000000000004,"Hardware targets achieved: fidelity=0.977, gates=19, depth=11",28
lexi2,010,91197,9,0.9743,20,11,4,6,45,23,0.42569999999999997,"Hardware targets achieved: fidelity=0.974, gates=20, depth=11",21
