generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,262,38,773.26,0.002,0.5888,0.138223,0.150122,0.07055,0.05175,0.001,0.5481,0.096276,0.104979,0.05955,0.05265,0.0025,0.9751,0.164619,0.186994,0.12225,0.0688,0.0031,0.5709,0.127411,0.138436,0.08325,0.0534,0.0002,0.4861,0.124436,0.104921,0.1203,0.0762,0.0006,0.5616,0.113734,0.119407,0.08175,0.04995,0.0048,0.567,0.130229,0.138489,0.0725,0.0514,0.0013,0.7139,0.105071,0.110773,0.06685,0.0581,240,0.916,2.0737,14.5538
1,283,17,358.24,0.0025,0.9713,0.137859,0.150104,0.0832,0.0515,0.0008,0.5516,0.099524,0.11902,0.0536,0.0419,0.0049,0.9747,0.136959,0.181662,0.0666,0.047,0.0022,0.5933,0.110515,0.135527,0.0545,0.0463,0.0002,0.5352,0.140937,0.130257,0.1209,0.0841,0.0006,0.5747,0.10678,0.122948,0.0548,0.047,0.0004,0.5796,0.141441,0.144474,0.0992,0.0649,0.0009,0.7162,0.125987,0.147325,0.0746,0.0533,258,0.9117,2.0737,13.699204
2,290,10,345.67,0.0018,0.9755,0.151442,0.208006,0.0707,0.0582,0.0018,0.5619,0.116846,0.13633,0.06395,0.0575,0.0024,0.9738,0.162806,0.225647,0.0715,0.05495,0.0002,0.9716,0.117402,0.150748,0.0516,0.0439,0.0,0.9552,0.109465,0.125518,0.0547,0.0497,0.0004,0.5689,0.106507,0.128212,0.0531,0.05075,0.0001,0.5746,0.122327,0.139785,0.0627,0.0556,0.0008,0.7139,0.113205,0.137217,0.0548,0.0516,258,0.8897,0.9796,13.18212
3,282,18,341.04,0.0007,0.9755,0.1094,0.153575,0.0525,0.0482,0.0005,0.6863,0.10356,0.145681,0.04835,0.04575,0.0024,0.9755,0.235238,0.301984,0.1237,0.10285,0.0,0.9751,0.128107,0.202806,0.04295,0.0378,0.0,0.9552,0.119872,0.186971,0.0456,0.0449,0.0001,0.5803,0.08252,0.118332,0.03925,0.03755,0.0003,0.9744,0.125039,0.161713,0.0547,0.05095,0.0008,0.7177,0.096267,0.131858,0.04485,0.0425,249,0.883,0.9796,12.706795
4,277,23,332.64,0.0002,0.9755,0.112705,0.19119,0.0443,0.0402,0.0006,0.6889,0.093838,0.145837,0.017,0.0153,0.0006,0.9757,0.221208,0.313032,0.065,0.0593,0.0,0.9751,0.156924,0.269403,0.0414,0.0386,0.0,0.969,0.124405,0.214799,0.0329,0.0323,0.0,0.5897,0.096581,0.149387,0.0177,0.0173,0.0003,0.9744,0.123788,0.203718,0.0404,0.0378,0.0006,0.9177,0.07055,0.118014,0.0204,0.0184,245,0.8845,0.9796,12.707318
5,292,8,358.58,0.0002,0.9755,0.100588,0.18152,0.01755,0.01675,0.0002,0.9716,0.09875,0.186472,0.0084,0.00775,0.0001,0.9756,0.214994,0.302154,0.0831,0.07555,0.0008,0.9751,0.110921,0.195569,0.02855,0.02615,0.0001,0.9737,0.124649,0.225729,0.0212,0.021,0.0001,0.7251,0.082722,0.134863,0.00795,0.007,0.0002,0.9744,0.147611,0.235224,0.05135,0.04925,0.0004,0.9699,0.119765,0.203386,0.0369,0.0351,253,0.8664,0.5491,11.92988
6,295,5,356.89,0.0002,0.9757,0.102921,0.211851,0.0087,0.0065,0.0002,0.9729,0.113883,0.233866,0.0073,0.0062,0.0002,0.9753,0.229029,0.315453,0.1198,0.1138,0.0004,0.9758,0.143871,0.24864,0.021,0.0202,0.0,0.9741,0.119101,0.241711,0.0069,0.0065,0.0001,0.926,0.062096,0.124998,0.0068,0.0056,0.0001,0.9744,0.130624,0.214391,0.0278,0.0266,0.0006,0.9699,0.098475,0.173242,0.0091,0.0079,254,0.861,0.5471,11.6011
7,285,15,338.88,0.0002,0.9756,0.117907,0.245403,0.0078,0.0063,0.0002,0.9744,0.109488,0.239279,0.0063,0.0047,0.0001,0.975,0.197964,0.312959,0.0291,0.0285,0.0003,0.9751,0.126706,0.236642,0.0084,0.0071,0.0001,0.9742,0.134326,0.272039,0.0057,0.0051,0.0001,0.9463,0.068828,0.169443,0.0054,0.004,0.0001,0.9744,0.120276,0.235464,0.0085,0.0073,0.0005,0.9735,0.124505,0.230133,0.0065,0.0053,247,0.8667,0.5456,11.049248
8,278,22,369.34,0.0,0.9748,0.161398,0.283646,0.01485,0.0138,0.0002,0.9754,0.100321,0.209437,0.00775,0.00625,0.0,0.9762,0.156096,0.267576,0.01355,0.01305,0.0002,0.9754,0.131193,0.239573,0.0087,0.0077,0.0,0.9749,0.127795,0.237552,0.00835,0.00805,0.0003,0.9701,0.076848,0.153264,0.0069,0.0056,0.0001,0.9757,0.114153,0.210242,0.0078,0.0073,0.0002,0.9748,0.132197,0.239104,0.0077,0.0066,250,0.8993,0.5266,11.465723
9,293,7,347.53,0.0001,0.9759,0.166146,0.271181,0.0316,0.031,0.0001,0.9734,0.111001,0.214431,0.0087,0.0076,0.0,0.9747,0.128251,0.237885,0.0079,0.007,0.0002,0.9751,0.129828,0.250069,0.0086,0.0076,0.0,0.9755,0.125179,0.23279,0.0086,0.008,0.0001,0.9736,0.127577,0.247536,0.0079,0.0071,0.0001,0.9744,0.112174,0.218562,0.0074,0.0067,0.0001,0.9748,0.099843,0.204334,0.0087,0.0077,243,0.8294,0.5266,11.334118
