generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,211,89,666.88,0.0015,0.4723,0.203619,0.127826,0.2103,0.0845,0.0,0.955,0.630284,0.372808,0.84,0.1,0.0,0.973333,0.657283,0.376121,0.88,0.093333,128,0.6066,10.9511,12.305575
1,211,89,228.11,0.0013,0.481,0.193388,0.124549,0.1289,0.0808,0.11,0.955,0.746777,0.206905,0.81,0.13,0.173333,0.973333,0.774502,0.206516,0.82,0.153333,153,0.7251,2.579,11.77211
2,245,55,296.18,0.0012,0.484,0.167547,0.113079,0.1279,0.084,0.0,0.955,0.778735,0.195602,0.89,0.05,0.046667,0.973333,0.803864,0.198545,0.92,0.053333,178,0.7265,1.896,11.635963
3,257,43,304.04,0.0016,0.5672,0.203301,0.147833,0.1297,0.0821,0.0,0.955,0.694027,0.220508,0.65,0.175,0.0,0.973333,0.71834,0.222624,0.666667,0.186667,210,0.8171,1.896,11.749228
4,252,48,266.7,0.0007,0.5707,0.20771,0.157601,0.2064,0.0817,0.0,0.955,0.730476,0.227256,0.76,0.18,0.0,0.973333,0.753598,0.232477,0.756667,0.213334,186,0.7381,1.2755,10.570147
5,295,5,370.69,0.0017,0.9668,0.252769,0.22273,0.1265,0.1166,0.0,0.845,0.589458,0.196098,0.615,0.16,0.0,0.88,0.62165,0.197648,0.633333,0.153334,235,0.7966,0.8732,9.427434
6,293,7,358.41,0.0017,0.9737,0.408098,0.411687,0.2393,0.2321,0.0,0.905,0.674915,0.178556,0.785,0.05,0.0,0.926667,0.713811,0.177513,0.826667,0.04,228,0.7782,0.653,8.219957
7,292,8,389.76,0.0012,0.9737,0.213393,0.233983,0.12625,0.01425,0.0,0.95,0.700616,0.229729,0.81,0.095,0.0,0.973333,0.73121,0.225822,0.84,0.086667,261,0.8938,0.6493,11.086264
8,298,2,368.8,0.0009,0.9707,0.247477,0.283415,0.12785,0.11875,0.0,0.955,0.717718,0.220172,0.8175,0.0875,0.0,0.973333,0.746421,0.220229,0.85,0.076667,266,0.8926,0.6493,10.504066
9,296,4,384.63,0.0012,0.9707,0.206793,0.212399,0.1287,0.1146,0.0,0.95,0.759409,0.198451,0.845,0.07,0.0,0.973333,0.785991,0.196081,0.88,0.06,275,0.9291,0.6493,11.02868
10,300,0,389.88,0.0002,0.9716,0.272425,0.260538,0.1607,0.1477,0.0,0.93,0.756567,0.203942,0.845,0.07,0.0,0.953333,0.781444,0.197059,0.87,0.05,252,0.84,0.4884,9.522241
11,296,4,386.9,0.0005,0.9776,0.342602,0.384289,0.12715,0.1216,0.0,0.96,0.675574,0.23329,0.765,0.12,0.0,0.98,0.705158,0.231155,0.796666,0.110001,259,0.875,0.4272,8.858344
12,300,0,389.94,0.0005,0.9779,0.333702,0.386017,0.12485,0.11875,0.0,0.925,0.704133,0.211289,0.8,0.085,0.0,0.953333,0.735067,0.208167,0.833333,0.073334,269,0.8967,0.4021,8.898564
13,296,4,387.15,0.0005,0.9779,0.351764,0.388734,0.12765,0.1205,0.0,0.92,0.689037,0.221154,0.785,0.1,0.0,0.953333,0.720586,0.216958,0.83,0.083333,272,0.9189,0.4021,8.776885
14,293,7,394.23,0.0017,0.9779,0.378374,0.405983,0.1307,0.124,0.0,0.925,0.694676,0.215787,0.775,0.11,0.0,0.953333,0.723595,0.214822,0.826667,0.086667,272,0.9283,0.4021,8.284152
15,293,7,379.57,0.0002,0.9779,0.369899,0.393924,0.1287,0.1229,0.0,0.915,0.701348,0.236911,0.825,0.06,0.0,0.953333,0.729875,0.235303,0.853333,0.06,274,0.9352,0.4021,8.13918
