generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,268,32,750.9,0.0044,0.5283,0.09324,0.103646,0.0705,0.0582,0.0008,0.5623,0.101898,0.096246,0.1025,0.05405,0.0051,0.5197,0.138089,0.12433,0.1235,0.032,0.0037,0.4674,0.093204,0.081203,0.0759,0.0511,0.0052,0.5346,0.145125,0.1126,0.1257,0.0377,0.0036,0.5148,0.135363,0.118191,0.1222,0.05475,0.0061,0.4838,0.160427,0.132422,0.12435,0.0516,0.0008,0.5102,0.132654,0.116934,0.122,0.0582,225,0.8396,1.9906,13.952794
1,271,29,336.99,0.0029,0.5733,0.083387,0.108564,0.0493,0.0422,0.0025,0.5671,0.080296,0.086653,0.0639,0.0562,0.0011,0.5412,0.132928,0.107537,0.1244,0.0084,0.0002,0.5725,0.129156,0.125276,0.1208,0.051,0.0038,0.5411,0.139484,0.114347,0.1237,0.0108,0.0037,0.4816,0.131552,0.106592,0.1222,0.0376,0.001,0.5351,0.174972,0.152438,0.124,0.0567,0.0002,0.5782,0.128226,0.129499,0.1193,0.0535,245,0.9041,1.9906,13.608601
2,282,18,361.54,0.0043,0.5752,0.091203,0.111911,0.0635,0.05455,0.0033,0.5671,0.092761,0.098714,0.066,0.05665,0.0037,0.615,0.131411,0.112039,0.12135,0.0395,0.0023,0.5769,0.120462,0.121149,0.09055,0.03685,0.0036,0.5749,0.144928,0.13443,0.1225,0.052,0.0033,0.5074,0.118152,0.103669,0.1145,0.04775,0.0049,0.542,0.153141,0.141194,0.12075,0.05405,0.0031,0.5782,0.147941,0.140145,0.1206,0.05675,267,0.9468,1.9906,13.963335
3,298,2,387.07,0.0027,0.6028,0.092823,0.109898,0.05315,0.045,0.0049,0.6225,0.094171,0.10909,0.0578,0.04815,0.0052,0.6334,0.134322,0.133168,0.11595,0.04295,0.0039,0.5899,0.129777,0.129411,0.1043,0.0364,0.005,0.5926,0.149106,0.146733,0.1187,0.05355,0.0051,0.5907,0.127074,0.111323,0.1117,0.05215,0.0052,0.5713,0.147285,0.142263,0.1064,0.0559,0.0048,0.5731,0.125441,0.120759,0.099,0.03395,280,0.9396,1.9906,14.404022
4,298,2,363.3,0.0044,0.6228,0.098517,0.128353,0.05145,0.0427,0.0051,0.6554,0.114618,0.144461,0.0661,0.0537,0.0051,0.623,0.129211,0.123305,0.11365,0.04625,0.004,0.5737,0.133088,0.13132,0.1112,0.0455,0.0052,0.5749,0.127267,0.119151,0.11085,0.05015,0.0053,0.5664,0.12451,0.116882,0.10765,0.0487,0.006,0.6405,0.14661,0.152764,0.0949,0.04965,0.0041,0.5731,0.126178,0.121464,0.0919,0.03965,268,0.8993,1.9556,14.226037
5,300,0,399.71,0.0037,0.6228,0.115294,0.137607,0.0671,0.05415,0.003,0.6345,0.087502,0.097855,0.0645,0.04935,0.0025,0.7069,0.144669,0.137808,0.1171,0.06135,0.0029,0.6086,0.113319,0.117977,0.08065,0.04375,0.0046,0.5962,0.136675,0.136161,0.0958,0.0484,0.0052,0.6025,0.14522,0.147547,0.10035,0.058,0.0064,0.6415,0.132257,0.127371,0.08755,0.0406,0.0071,0.5604,0.125064,0.111419,0.08915,0.03715,288,0.96,1.9556,14.300136
6,296,4,379.41,0.004,0.6216,0.090788,0.111393,0.0554,0.04115,0.0047,0.6385,0.108966,0.136152,0.06825,0.0508,0.0037,0.7069,0.148322,0.15665,0.1127,0.05285,0.0057,0.6255,0.127606,0.122989,0.088,0.039,0.0053,0.5917,0.126008,0.118135,0.10255,0.04735,0.0055,0.6229,0.142741,0.138046,0.11685,0.05905,0.0048,0.6415,0.131723,0.135919,0.0797,0.0457,0.0094,0.6453,0.123846,0.117109,0.08795,0.0387,275,0.9291,1.9556,14.355816
7,299,1,412.91,0.005,0.6541,0.112506,0.137927,0.0689,0.0492,0.0062,0.6385,0.111732,0.121723,0.0708,0.0485,0.0079,0.7069,0.125706,0.130459,0.0817,0.047,0.0055,0.6393,0.134092,0.139853,0.0871,0.047,0.0068,0.5749,0.128877,0.122453,0.0973,0.0466,0.0056,0.6078,0.107913,0.108265,0.0712,0.048,0.009,0.6415,0.143902,0.149243,0.0862,0.0502,0.0098,0.7171,0.135272,0.138332,0.0875,0.0472,290,0.9699,1.9556,14.414561
8,298,2,395.65,0.0047,0.6379,0.106328,0.121445,0.0724,0.0489,0.0039,0.6258,0.092269,0.101195,0.06355,0.04335,0.0045,0.7069,0.125564,0.142014,0.09035,0.03975,0.0055,0.6477,0.118152,0.123636,0.07835,0.0442,0.0053,0.642,0.14888,0.140547,0.11525,0.05155,0.005,0.6078,0.146007,0.159361,0.087,0.0483,0.0079,0.7232,0.138272,0.13945,0.08975,0.05225,0.0083,0.7231,0.124529,0.12823,0.0865,0.046,280,0.9396,1.9556,14.347753
9,300,0,423.01,0.0062,0.633,0.108628,0.127926,0.0663,0.0466,0.0062,0.6581,0.113319,0.126215,0.0709,0.0504,0.0062,0.7069,0.118356,0.122935,0.08225,0.0469,0.0086,0.6314,0.112978,0.106099,0.0847,0.04375,0.0058,0.6422,0.130204,0.120752,0.095,0.04855,0.0064,0.7286,0.145703,0.142527,0.1068,0.0609,0.0089,0.724,0.132097,0.140874,0.0772,0.04875,0.0091,0.7231,0.138716,0.135504,0.09715,0.05805,296,0.9867,1.9556,14.567751
