generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,294,6,808.45,0.005,0.5046,0.105964,0.095926,0.11455,0.0488,0.0028,0.536,0.111623,0.099909,0.1053,0.04395,0.0072,0.87,0.112904,0.112125,0.0814,0.04455,0.005,0.8875,0.108148,0.114954,0.07805,0.04805,0.0039,0.8886,0.15232,0.191668,0.11395,0.05035,0.0053,0.5256,0.138722,0.134922,0.11725,0.0674,0.0054,0.811,0.137672,0.134292,0.1188,0.0755,0.0061,0.7778,0.132648,0.11922,0.1222,0.04805,263,0.8946,2.0944,14.187128
1,295,5,360.57,0.0038,0.866,0.109137,0.118159,0.1007,0.048,0.0028,0.8839,0.110808,0.134037,0.0712,0.054,0.0026,0.8915,0.145529,0.192859,0.0963,0.0461,0.0031,0.8933,0.127557,0.188926,0.0688,0.055,0.006,0.8953,0.154706,0.205683,0.1194,0.0706,0.0035,0.8982,0.131998,0.16573,0.0955,0.0711,0.0032,0.8745,0.113819,0.147203,0.0729,0.0528,0.0034,0.8126,0.106445,0.129949,0.0966,0.0345,261,0.8847,1.8218,13.095257
2,299,1,391.28,0.0029,0.8919,0.11251,0.164895,0.0797,0.0642,0.0028,0.8885,0.107521,0.156267,0.0645,0.0578,0.0026,0.8899,0.124962,0.165006,0.1204,0.0893,0.004,0.9034,0.126102,0.177841,0.0931,0.0744,0.002,0.8887,0.132118,0.187171,0.1194,0.098,0.0028,0.8982,0.124459,0.182151,0.085,0.0676,0.0037,0.8983,0.138505,0.190888,0.1194,0.091,0.0043,0.898,0.133823,0.173006,0.1171,0.0859,272,0.9097,1.5819,12.803367
3,300,0,397.27,0.0006,0.9145,0.133022,0.186541,0.11925,0.09835,0.0001,0.8885,0.09776,0.150503,0.04125,0.0367,0.0011,0.9212,0.147826,0.198434,0.1214,0.09755,0.0003,0.9114,0.112988,0.17768,0.06065,0.0556,0.0001,0.8979,0.170376,0.215214,0.12335,0.10495,0.0001,0.9264,0.117636,0.175677,0.0666,0.0592,0.0,0.902,0.135616,0.182405,0.11885,0.09445,0.0014,0.8986,0.084776,0.115961,0.0365,0.0311,277,0.9233,0.8936,12.443364
4,300,0,401.93,0.0001,0.9007,0.122334,0.174561,0.07425,0.0609,0.0,0.9351,0.09672,0.152094,0.0375,0.0342,0.0,0.898,0.129978,0.181395,0.10605,0.09285,0.0002,0.9065,0.121324,0.184131,0.0594,0.0573,0.0002,0.9336,0.164972,0.228652,0.12035,0.1053,0.0,0.9325,0.104448,0.158329,0.06265,0.05855,0.0,0.8823,0.130092,0.18423,0.09165,0.07865,0.0,0.9358,0.130132,0.194359,0.0703,0.0599,281,0.9367,0.6894,12.385219
5,299,1,388.27,0.0011,0.9384,0.132907,0.179085,0.119,0.0967,0.0012,0.9351,0.114131,0.175457,0.0568,0.0541,0.0,0.915,0.138564,0.209375,0.1188,0.1046,0.0001,0.8757,0.104669,0.163799,0.0389,0.0383,0.0,0.8911,0.145173,0.195425,0.1205,0.1031,0.0,0.9323,0.133683,0.192738,0.0975,0.079,0.0,0.9142,0.115885,0.171065,0.0823,0.0713,0.0,0.9358,0.114989,0.185272,0.0645,0.0601,268,0.8963,0.6877,11.639695
6,300,0,400.29,0.0002,0.9384,0.125765,0.174378,0.12095,0.0958,0.0,0.9534,0.119383,0.184931,0.07065,0.0589,0.0,0.912,0.108439,0.143365,0.10115,0.0929,0.0,0.9336,0.096326,0.140165,0.0588,0.0578,0.0001,0.952,0.167762,0.203427,0.1242,0.10295,0.0,0.9323,0.144615,0.200822,0.12065,0.09275,0.0,0.9069,0.125708,0.165863,0.1198,0.10945,0.0,0.9352,0.112001,0.162337,0.0895,0.08125,281,0.9367,0.6877,10.857718
7,299,1,405.65,0.0,0.9361,0.1324,0.186528,0.12,0.0997,0.0001,0.9361,0.117187,0.180947,0.0603,0.0596,0.0,0.9552,0.1595,0.216274,0.1221,0.1079,0.0,0.9336,0.117422,0.172528,0.0894,0.0764,0.0,0.9576,0.1383,0.203054,0.1187,0.108,0.0,0.9323,0.092587,0.135068,0.0356,0.0352,0.0,0.9387,0.126669,0.170535,0.1207,0.1073,0.0,0.9278,0.115935,0.161605,0.0917,0.0807,287,0.9599,0.6877,11.323332
8,300,0,414.22,0.0001,0.9539,0.138994,0.186895,0.1221,0.1059,0.0001,0.959,0.126385,0.183268,0.11765,0.09955,0.0,0.956,0.142671,0.201518,0.1217,0.1107,0.0,0.9361,0.110415,0.168098,0.07435,0.06555,0.0,0.9561,0.139303,0.201683,0.1214,0.10775,0.0,0.9381,0.133233,0.20034,0.11855,0.1068,0.0,0.9387,0.106329,0.139149,0.10865,0.09935,0.0,0.9317,0.102671,0.155905,0.0804,0.07495,289,0.9633,0.6019,11.028234
9,300,0,382.59,0.0,0.9569,0.154849,0.234439,0.10925,0.1007,0.0,0.9611,0.121994,0.201171,0.03235,0.03155,0.0,0.9675,0.133339,0.215031,0.03715,0.03715,0.0,0.9506,0.099387,0.179475,0.0244,0.0236,0.0,0.9543,0.141249,0.212939,0.0774,0.0722,0.0,0.9381,0.128459,0.213168,0.0402,0.0402,0.0,0.9514,0.121825,0.197655,0.0328,0.0328,0.0,0.948,0.098898,0.171773,0.03035,0.03025,267,0.89,0.577,10.840741
